ward,precinct,total,Amanda Moira Pillsbury,Amanda Moira Pillsbury Percent,Preston Jones Jr.,Preston Jones Jr. Percent,Keely Patricia Hillison,Keely Patricia Hillison Percent,Ioana Salajanu,Ioana Salajanu Percent,precinct_id
1,1,186,37,19.89,91,48.92,18,9.68,40,21.51,01001
1,2,151,53,35.1,56,37.09,21,13.91,21,13.91,01002
1,3,210,48,22.86,103,49.05,25,11.9,34,16.19,01003
1,4,190,47,24.74,100,52.63,20,10.53,23,12.11,01004
1,5,171,35,20.47,99,57.89,11,6.43,26,15.2,01005
1,6,158,36,22.78,82,51.9,23,14.56,17,10.76,01006
1,7,124,29,23.39,71,57.26,9,7.26,15,12.1,01007
1,8,158,35,22.15,84,53.16,21,13.29,18,11.39,01008
1,9,165,48,29.09,80,48.48,21,12.73,16,9.7,01009
1,10,161,35,21.74,96,59.63,13,8.07,17,10.56,01010
1,11,195,34,17.44,107,54.87,29,14.87,25,12.82,01011
1,12,225,50,22.22,110,48.89,28,12.44,37,16.44,01012
1,13,93,33,35.48,43,46.24,9,9.68,8,8.6,01013
1,14,182,37,20.33,91,50.0,27,14.84,27,14.84,01014
1,15,176,41,23.3,85,48.3,16,9.09,34,19.32,01015
1,16,202,54,26.73,108,53.47,11,5.45,29,14.36,01016
1,17,171,30,17.54,90,52.63,21,12.28,30,17.54,01017
1,18,193,44,22.8,102,52.85,14,7.25,33,17.1,01018
1,19,216,45,20.83,111,51.39,19,8.8,41,18.98,01019
1,20,160,29,18.13,82,51.25,22,13.75,27,16.88,01020
1,21,177,38,21.47,96,54.24,20,11.3,23,12.99,01021
1,22,127,29,22.83,69,54.33,10,7.87,19,14.96,01022
1,23,283,63,22.26,150,53.0,22,7.77,48,16.96,01023
1,24,161,49,30.43,76,47.2,16,9.94,20,12.42,01024
1,25,164,29,17.68,83,50.61,22,13.41,30,18.29,01025
1,26,117,46,39.32,51,43.59,10,8.55,10,8.55,01026
1,27,179,37,20.67,97,54.19,12,6.7,33,18.44,01027
1,28,72,32,44.44,19,26.39,13,18.06,8,11.11,01028
1,29,210,50,23.81,103,49.05,28,13.33,29,13.81,01029
1,30,207,60,28.99,91,43.96,15,7.25,41,19.81,01030
1,31,203,63,31.03,92,45.32,26,12.81,22,10.84,01031
1,32,171,35,20.47,73,42.69,29,16.96,34,19.88,01032
1,33,201,54,26.87,99,49.25,17,8.46,31,15.42,01033
1,34,178,36,20.22,94,52.81,17,9.55,31,17.42,01034
1,35,209,54,25.84,94,44.98,36,17.22,25,11.96,01035
1,36,172,28,16.28,94,54.65,24,13.95,26,15.12,01036
1,37,185,35,18.92,91,49.19,23,12.43,36,19.46,01037
1,38,161,38,23.6,79,49.07,17,10.56,27,16.77,01038
1,39,150,43,28.67,73,48.67,11,7.33,23,15.33,01039
1,40,201,62,30.85,83,41.29,31,15.42,25,12.44,01040
1,41,134,28,20.9,68,50.75,16,11.94,22,16.42,01041
1,42,52,16,30.77,26,50.0,4,7.69,6,11.54,01042
1,43,115,25,21.74,52,45.22,20,17.39,18,15.65,01043
1,44,187,29,15.51,118,63.1,18,9.63,22,11.76,01044
2,1,173,26,15.03,97,56.07,23,13.29,27,15.61,02001
2,2,153,43,28.1,72,47.06,21,13.73,17,11.11,02002
2,3,208,51,24.52,103,49.52,30,14.42,24,11.54,02003
2,4,138,34,24.64,80,57.97,11,7.97,13,9.42,02004
2,5,209,41,19.62,109,52.15,24,11.48,35,16.75,02005
2,6,151,37,24.5,79,52.32,12,7.95,23,15.23,02006
2,7,164,38,23.17,94,57.32,16,9.76,16,9.76,02007
2,8,181,33,18.23,104,57.46,21,11.6,23,12.71,02008
2,9,106,27,25.47,50,47.17,20,18.87,9,8.49,02009
2,10,152,26,17.11,90,59.21,22,14.47,14,9.21,02010
2,11,182,41,22.53,99,54.4,31,17.03,11,6.04,02011
2,12,189,36,19.05,112,59.26,27,14.29,14,7.41,02012
2,13,171,31,18.13,102,59.65,21,12.28,17,9.94,02013
2,14,206,48,23.3,113,54.85,16,7.77,29,14.08,02014
2,15,186,32,17.2,120,64.52,13,6.99,21,11.29,02015
2,16,163,41,25.15,79,48.47,21,12.88,22,13.5,02016
2,17,251,43,17.13,141,56.18,25,9.96,42,16.73,02017
2,18,162,41,25.31,86,53.09,21,12.96,14,8.64,02018
2,19,119,28,23.53,63,52.94,11,9.24,17,14.29,02019
2,20,133,29,21.8,64,48.12,20,15.04,20,15.04,02020
2,21,209,29,13.88,142,67.94,21,10.05,17,8.13,02021
2,22,155,39,25.16,80,51.61,19,12.26,17,10.97,02022
2,23,131,32,24.43,68,51.91,17,12.98,14,10.69,02023
2,24,159,48,30.19,76,47.8,18,11.32,17,10.69,02024
2,25,179,37,20.67,104,58.1,14,7.82,24,13.41,02025
2,26,126,33,26.19,58,46.03,18,14.29,17,13.49,02026
2,27,136,37,27.21,69,50.74,16,11.76,14,10.29,02027
2,28,167,43,25.75,96,57.49,16,9.58,12,7.19,02028
2,29,181,42,23.2,88,48.62,33,18.23,18,9.94,02029
2,30,146,30,20.55,91,62.33,14,9.59,11,7.53,02030
2,31,228,49,21.49,129,56.58,34,14.91,16,7.02,02031
2,32,138,23,16.67,77,55.8,23,16.67,15,10.87,02032
2,33,270,54,20.0,163,60.37,33,12.22,20,7.41,02033
2,34,190,35,18.42,118,62.11,25,13.16,12,6.32,02034
2,35,154,34,22.08,85,55.19,19,12.34,16,10.39,02035
2,36,138,41,29.71,67,48.55,15,10.87,15,10.87,02036
2,37,164,41,25.0,75,45.73,28,17.07,20,12.2,02037
2,38,130,24,18.46,77,59.23,19,14.62,10,7.69,02038
2,39,101,38,37.62,41,40.59,9,8.91,13,12.87,02039
2,40,170,49,28.82,82,48.24,19,11.18,20,11.76,02040
2,41,112,34,30.36,43,38.39,19,16.96,16,14.29,02041
2,42,139,42,30.22,60,43.17,25,17.99,12,8.63,02042
2,43,158,27,17.09,87,55.06,23,14.56,21,13.29,02043
2,44,102,24,23.53,57,55.88,10,9.8,11,10.78,02044
2,45,181,55,30.39,70,38.67,32,17.68,24,13.26,02045
2,46,84,22,26.19,40,47.62,10,11.9,12,14.29,02046
3,1,296,35,11.82,186,62.84,58,19.59,17,5.74,03001
3,2,357,54,15.13,223,62.46,64,17.93,16,4.48,03002
3,3,180,35,19.44,104,57.78,25,13.89,16,8.89,03003
3,4,265,37,13.96,156,58.87,49,18.49,23,8.68,03004
3,5,130,25,19.23,81,62.31,19,14.62,5,3.85,03005
3,6,217,40,18.43,122,56.22,27,12.44,28,12.9,03006
3,7,196,37,18.88,112,57.14,34,17.35,13,6.63,03007
3,8,160,33,20.63,90,56.25,32,20.0,5,3.13,03008
3,9,227,31,13.66,136,59.91,37,16.3,23,10.13,03009
3,10,106,19,17.92,72,67.92,13,12.26,2,1.89,03010
3,11,224,27,12.05,153,68.3,31,13.84,13,5.8,03011
3,12,285,49,17.19,165,57.89,53,18.6,18,6.32,03012
3,13,260,60,23.08,144,55.38,33,12.69,23,8.85,03013
3,14,190,43,22.63,100,52.63,26,13.68,21,11.05,03014
3,15,196,33,16.84,109,55.61,42,21.43,12,6.12,03015
3,16,192,26,13.54,127,66.15,26,13.54,13,6.77,03016
3,17,211,45,21.33,104,49.29,31,14.69,31,14.69,03017
3,18,280,45,16.07,162,57.86,44,15.71,29,10.36,03018
3,19,213,47,22.07,122,57.28,27,12.68,17,7.98,03019
3,20,232,35,15.09,137,59.05,43,18.53,17,7.33,03020
3,21,248,58,23.39,142,57.26,32,12.9,16,6.45,03021
3,22,223,47,21.08,124,55.61,26,11.66,26,11.66,03022
3,23,172,40,23.26,92,53.49,33,19.19,7,4.07,03023
3,24,203,39,19.21,113,55.67,38,18.72,13,6.4,03024
3,25,301,69,22.92,165,54.82,41,13.62,26,8.64,03025
3,26,285,46,16.14,161,56.49,38,13.33,40,14.04,03026
3,27,226,47,20.8,111,49.12,37,16.37,31,13.72,03027
3,28,161,35,21.74,88,54.66,32,19.88,6,3.73,03028
3,29,212,41,19.34,121,57.08,41,19.34,9,4.25,03029
3,30,228,34,14.91,151,66.23,28,12.28,15,6.58,03030
3,31,252,36,14.29,135,53.57,61,24.21,20,7.94,03031
3,32,224,46,20.54,126,56.25,29,12.95,23,10.27,03032
3,33,200,40,20.0,110,55.0,21,10.5,29,14.5,03033
3,34,241,57,23.65,115,47.72,38,15.77,31,12.86,03034
3,35,83,8,9.64,57,68.67,12,14.46,6,7.23,03035
3,36,126,28,22.22,75,59.52,18,14.29,5,3.97,03036
3,37,181,31,17.13,109,60.22,30,16.57,11,6.08,03037
3,38,243,32,13.17,149,61.32,42,17.28,20,8.23,03038
3,39,248,51,20.56,129,52.02,36,14.52,32,12.9,03039
3,40,242,44,18.18,131,54.13,48,19.83,19,7.85,03040
3,41,193,40,20.73,112,58.03,23,11.92,18,9.33,03041
4,1,329,31,9.42,213,64.74,47,14.29,38,11.55,04001
4,2,257,50,19.46,139,54.09,34,13.23,34,13.23,04002
4,3,206,37,17.96,108,52.43,46,22.33,15,7.28,04003
4,4,309,54,17.48,191,61.81,48,15.53,16,5.18,04004
4,5,263,33,12.55,176,66.92,37,14.07,17,6.46,04005
4,6,317,60,18.93,179,56.47,54,17.03,24,7.57,04006
4,7,351,55,15.67,209,59.54,64,18.23,23,6.55,04007
4,8,298,32,10.74,192,64.43,51,17.11,23,7.72,04008
4,9,336,42,12.5,223,66.37,47,13.99,24,7.14,04009
4,10,315,37,11.75,212,67.3,45,14.29,21,6.67,04010
4,11,219,38,17.35,116,52.97,47,21.46,18,8.22,04011
4,12,262,35,13.36,160,61.07,49,18.7,18,6.87,04012
4,13,153,31,20.26,89,58.17,17,11.11,16,10.46,04013
4,14,270,39,14.44,158,58.52,51,18.89,22,8.15,04014
4,15,305,54,17.7,187,61.31,43,14.1,21,6.89,04015
4,16,276,53,19.2,147,53.26,40,14.49,36,13.04,04016
4,17,259,50,19.31,134,51.74,34,13.13,41,15.83,04017
4,18,274,41,14.96,154,56.2,60,21.9,19,6.93,04018
4,19,163,42,25.77,83,50.92,33,20.25,5,3.07,04019
4,20,213,46,21.6,118,55.4,30,14.08,19,8.92,04020
4,21,216,40,18.52,106,49.07,36,16.67,34,15.74,04021
4,22,243,23,9.47,174,71.6,22,9.05,24,9.88,04022
4,23,351,46,13.11,229,65.24,41,11.68,35,9.97,04023
4,24,235,25,10.64,166,70.64,27,11.49,17,7.23,04024
4,25,225,38,16.89,129,57.33,36,16.0,22,9.78,04025
4,26,233,26,11.16,150,64.38,42,18.03,15,6.44,04026
4,27,300,38,12.67,190,63.33,32,10.67,40,13.33,04027
4,28,208,33,15.87,126,60.58,38,18.27,11,5.29,04028
4,29,225,32,14.22,127,56.44,52,23.11,14,6.22,04029
4,30,284,50,17.61,144,50.7,56,19.72,34,11.97,04030
4,31,321,36,11.21,219,68.22,42,13.08,24,7.48,04031
4,32,257,41,15.95,147,57.2,50,19.46,19,7.39,04032
4,33,248,24,9.68,162,65.32,37,14.92,25,10.08,04033
4,34,220,26,11.82,138,62.73,33,15.0,23,10.45,04034
4,35,312,32,10.26,222,71.15,35,11.22,23,7.37,04035
4,36,287,30,10.45,183,63.76,35,12.2,39,13.59,04036
4,37,301,55,18.27,164,54.49,48,15.95,34,11.3,04037
4,38,299,35,11.71,192,64.21,46,15.38,26,8.7,04038
5,1,187,27,14.44,105,56.15,42,22.46,13,6.95,05001
5,2,139,24,17.27,80,57.55,25,17.99,10,7.19,05002
5,3,206,22,10.68,128,62.14,20,9.71,36,17.48,05003
5,4,270,46,17.04,157,58.15,44,16.3,23,8.52,05004
5,5,194,41,21.13,100,51.55,43,22.16,10,5.15,05005
5,6,187,34,18.18,111,59.36,30,16.04,12,6.42,05006
5,7,241,40,16.6,144,59.75,40,16.6,17,7.05,05007
5,8,252,21,8.33,180,71.43,18,7.14,33,13.1,05008
5,9,288,38,13.19,176,61.11,39,13.54,35,12.15,05009
5,10,172,18,10.47,101,58.72,33,19.19,20,11.63,05010
5,11,285,35,12.28,181,63.51,23,8.07,46,16.14,05011
5,12,140,25,17.86,75,53.57,33,23.57,7,5.0,05012
5,13,176,25,14.2,97,55.11,36,20.45,18,10.23,05013
5,14,222,21,9.46,147,66.22,39,17.57,15,6.76,05014
5,15,201,24,11.94,132,65.67,32,15.92,13,6.47,05015
5,16,188,37,19.68,98,52.13,34,18.09,19,10.11,05016
5,17,168,34,20.24,88,52.38,36,21.43,10,5.95,05017
5,18,229,32,13.97,143,62.45,31,13.54,23,10.04,05018
5,19,244,21,8.61,162,66.39,25,10.25,36,14.75,05019
5,20,271,32,11.81,182,67.16,35,12.92,22,8.12,05020
5,21,216,29,13.43,147,68.06,18,8.33,22,10.19,05021
5,22,301,39,12.96,195,64.78,32,10.63,35,11.63,05022
5,23,391,46,11.76,262,67.01,42,10.74,41,10.49,05023
5,24,256,26,10.16,171,66.8,34,13.28,25,9.77,05024
5,25,244,27,11.07,165,67.62,34,13.93,18,7.38,05025
5,26,245,41,16.73,142,57.96,46,18.78,16,6.53,05026
5,27,197,22,11.17,134,68.02,15,7.61,26,13.2,05027
5,28,279,41,14.7,172,61.65,43,15.41,23,8.24,05028
5,29,240,23,9.58,152,63.33,43,17.92,22,9.17,05029
5,30,149,26,17.45,76,51.01,34,22.82,13,8.72,05030
5,31,169,20,11.83,99,58.58,33,19.53,17,10.06,05031
5,32,308,41,13.31,197,63.96,47,15.26,23,7.47,05032
