ward,precinct,total,Edward J. Underhill,Edward J. Underhill Percent,Charles ''Charlie'' Beach,Charles ''Charlie'' Beach Percent,Andrea Michelle Webber,Andrea Michelle Webber Percent,precinct_id
1,1,189,37,19.58,66,34.92,86,45.5,01001
1,2,151,34,22.52,52,34.44,65,43.05,01002
1,3,208,41,19.71,57,27.4,110,52.88,01003
1,4,192,27,14.06,61,31.77,104,54.17,01004
1,5,172,22,12.79,59,34.3,91,52.91,01005
1,6,162,29,17.9,56,34.57,77,47.53,01006
1,7,133,27,20.3,45,33.83,61,45.86,01007
1,8,161,31,19.25,52,32.3,78,48.45,01008
1,9,157,29,18.47,59,37.58,69,43.95,01009
1,10,166,29,17.47,66,39.76,71,42.77,01010
1,11,200,30,15.0,70,35.0,100,50.0,01011
1,12,229,56,24.45,55,24.02,118,51.53,01012
1,13,103,14,13.59,39,37.86,50,48.54,01013
1,14,182,31,17.03,57,31.32,94,51.65,01014
1,15,175,33,18.86,46,26.29,96,54.86,01015
1,16,211,44,20.85,63,29.86,104,49.29,01016
1,17,180,38,21.11,51,28.33,91,50.56,01017
1,18,197,33,16.75,48,24.37,116,58.88,01018
1,19,219,27,12.33,83,37.9,109,49.77,01019
1,20,166,32,19.28,54,32.53,80,48.19,01020
1,21,175,29,16.57,47,26.86,99,56.57,01021
1,22,129,16,12.4,47,36.43,66,51.16,01022
1,23,283,46,16.25,78,27.56,159,56.18,01023
1,24,164,29,17.68,65,39.63,70,42.68,01024
1,25,169,32,18.93,52,30.77,85,50.3,01025
1,26,117,30,25.64,30,25.64,57,48.72,01026
1,27,188,34,18.09,61,32.45,93,49.47,01027
1,28,72,20,27.78,31,43.06,21,29.17,01028
1,29,206,31,15.05,66,32.04,109,52.91,01029
1,30,222,44,19.82,75,33.78,103,46.4,01030
1,31,213,51,23.94,67,31.46,95,44.6,01031
1,32,167,22,13.17,51,30.54,94,56.29,01032
1,33,201,40,19.9,55,27.36,106,52.74,01033
1,34,181,32,17.68,52,28.73,97,53.59,01034
1,35,212,52,24.53,50,23.58,110,51.89,01035
1,36,165,33,20.0,40,24.24,92,55.76,01036
1,37,179,36,20.11,40,22.35,103,57.54,01037
1,38,172,25,14.53,58,33.72,89,51.74,01038
1,39,143,22,15.38,32,22.38,89,62.24,01039
1,40,192,44,22.92,60,31.25,88,45.83,01040
1,41,140,28,20.0,36,25.71,76,54.29,01041
1,42,55,8,14.55,18,32.73,29,52.73,01042
1,43,114,31,27.19,34,29.82,49,42.98,01043
1,44,177,40,22.6,58,32.77,79,44.63,01044
2,1,169,32,18.93,41,24.26,96,56.8,02001
2,3,210,34,16.19,64,30.48,112,53.33,02003
2,4,149,34,22.82,40,26.85,75,50.34,02004
2,5,206,37,17.96,62,30.1,107,51.94,02005
