ward,precinct,total,James ''Jamie'' Shapiro,James ''Jamie'' Shapiro Percent,Stephen J. Feldman,Stephen J. Feldman Percent,Robin Denise Shoffner,Robin Denise Shoffner Percent,John Christopher Benson,John Christopher Benson Percent,Bonnie C. McGrath,Bonnie C. McGrath Percent,precinct_id
2,2,161,78,48.45,4,2.48,41,25.47,11,6.83,27,16.77,02002
2,9,106,46,43.4,7,6.6,30,28.3,5,4.72,18,16.98,02009
2,10,162,99,61.11,7,4.32,31,19.14,9,5.56,16,9.88,02010
2,11,194,104,53.61,12,6.19,39,20.1,10,5.15,29,14.95,02011
2,12,185,85,45.95,11,5.95,47,25.41,20,10.81,22,11.89,02012
2,13,176,102,57.95,6,3.41,37,21.02,5,2.84,26,14.77,02013
2,18,173,83,47.98,12,6.94,37,21.39,9,5.2,32,18.5,02018
2,19,130,76,58.46,6,4.62,21,16.15,7,5.38,20,15.38,02019
2,20,58,29,50.0,0,0.0,17,29.31,2,3.45,10,17.24,02020
2,22,165,78,47.27,10,6.06,36,21.82,9,5.45,32,19.39,02022
2,23,145,96,66.21,8,5.52,22,15.17,2,1.38,17,11.72,02023
2,24,163,87,53.37,10,6.13,32,19.63,10,6.13,24,14.72,02024
2,26,123,55,44.72,7,5.69,31,25.2,12,9.76,18,14.63,02026
2,27,139,51,36.69,11,7.91,43,30.94,7,5.04,27,19.42,02027
2,28,171,86,50.29,11,6.43,37,21.64,8,4.68,29,16.96,02028
2,29,181,80,44.2,8,4.42,45,24.86,13,7.18,35,19.34,02029
2,30,157,91,57.96,4,2.55,38,24.2,8,5.1,16,10.19,02030
2,31,244,120,49.18,13,5.33,53,21.72,14,5.74,44,18.03,02031
2,32,135,62,45.93,4,2.96,34,25.19,5,3.7,30,22.22,02032
2,33,281,149,53.02,19,6.76,64,22.78,9,3.2,40,14.23,02033
2,34,203,130,64.04,9,4.43,46,22.66,4,1.97,14,6.9,02034
2,35,159,68,42.77,14,8.81,42,26.42,11,6.92,24,15.09,02035
2,36,149,56,37.58,8,5.37,49,32.89,11,7.38,25,16.78,02036
2,37,173,74,42.77,14,8.09,35,20.23,15,8.67,35,20.23,02037
2,38,140,78,55.71,12,8.57,28,20.0,1,0.71,21,15.0,02038
2,39,113,46,40.71,9,7.96,25,22.12,12,10.62,21,18.58,02039
2,40,168,75,44.64,8,4.76,38,22.62,15,8.93,32,19.05,02040
2,41,115,49,42.61,4,3.48,39,33.91,6,5.22,17,14.78,02041
2,42,134,58,43.28,8,5.97,34,25.37,6,4.48,28,20.9,02042
2,43,162,81,50.0,9,5.56,29,17.9,13,8.02,30,18.52,02043
2,44,111,53,47.75,6,5.41,27,24.32,6,5.41,19,17.12,02044
2,45,177,72,40.68,15,8.47,34,19.21,8,4.52,48,27.12,02045
2,46,87,30,34.48,4,4.6,24,27.59,9,10.34,20,22.99,02046
3,3,171,72,42.11,11,6.43,50,29.24,15,8.77,23,13.45,03003
3,6,217,74,34.1,12,5.53,59,27.19,15,6.91,57,26.27,03006
3,13,254,99,38.98,10,3.94,78,30.71,18,7.09,49,19.29,03013
3,14,189,71,37.57,2,1.06,56,29.63,23,12.17,37,19.58,03014
3,17,205,70,34.15,13,6.34,73,35.61,20,9.76,29,14.15,03017
3,18,44,10,22.73,2,4.55,17,38.64,6,13.64,9,20.45,03018
3,19,207,80,38.65,13,6.28,54,26.09,10,4.83,50,24.15,03019
3,21,250,86,34.4,15,6.0,67,26.8,24,9.6,58,23.2,03021
3,22,223,70,31.39,9,4.04,89,39.91,16,7.17,39,17.49,03022
3,25,308,114,37.01,9,2.92,103,33.44,21,6.82,61,19.81,03025
3,26,295,112,37.97,15,5.08,97,32.88,19,6.44,52,17.63,03026
3,27,223,71,31.84,10,4.48,80,35.87,12,5.38,50,22.42,03027
3,32,213,84,39.44,8,3.76,62,29.11,17,7.98,42,19.72,03032
3,33,192,71,36.98,5,2.6,68,35.42,12,6.25,36,18.75,03033
3,34,244,90,36.89,13,5.33,62,25.41,25,10.25,54,22.13,03034
3,39,254,98,38.58,4,1.57,81,31.89,9,3.54,62,24.41,03039
3,40,240,62,25.83,30,12.5,66,27.5,39,16.25,43,17.92,03040
4,2,256,97,37.89,5,1.95,90,35.16,10,3.91,54,21.09,04002
4,6,71,14,19.72,3,4.23,32,45.07,7,9.86,15,21.13,04006
4,13,149,61,40.94,4,2.68,45,30.2,12,8.05,27,18.12,04013
4,16,279,119,42.65,6,2.15,82,29.39,18,6.45,54,19.35,04016
4,17,262,87,33.21,4,1.53,95,36.26,25,9.54,51,19.47,04017
4,20,223,103,46.19,9,4.04,59,26.46,10,4.48,42,18.83,04020
4,21,216,90,41.67,8,3.7,58,26.85,21,9.72,39,18.06,04021
4,25,224,72,32.14,17,7.59,78,34.82,9,4.02,48,21.43,04025
4,37,320,126,39.38,9,2.81,107,33.44,24,7.5,54,16.88,04037
11,30,86,36,41.86,10,11.63,18,20.93,6,6.98,16,18.6,11030
11,36,68,33,48.53,7,10.29,10,14.71,3,4.41,15,22.06,11036
11,37,43,16,37.21,4,9.3,8,18.6,5,11.63,10,23.26,11037
25,6,59,32,54.24,6,10.17,6,10.17,6,10.17,9,15.25,25006
25,14,77,35,45.45,2,2.6,15,19.48,3,3.9,22,28.57,25014
25,18,139,32,23.02,3,2.16,89,64.03,4,2.88,11,7.91,25018
25,21,257,112,43.58,8,3.11,65,25.29,16,6.23,56,21.79,25021
25,27,50,28,56.0,3,6.0,11,22.0,3,6.0,5,10.0,25027
27,6,136,65,47.79,13,9.56,30,22.06,14,10.29,14,10.29,27006
27,9,70,21,30.0,5,7.14,25,35.71,6,8.57,13,18.57,27009
27,11,33,13,39.39,0,0.0,9,27.27,3,9.09,8,24.24,27011
27,12,87,46,52.87,3,3.45,19,21.84,5,5.75,14,16.09,27012
27,20,83,19,22.89,12,14.46,27,32.53,10,12.05,15,18.07,27020
27,21,116,54,46.55,3,2.59,32,27.59,3,2.59,24,20.69,27021
27,28,86,24,27.91,4,4.65,37,43.02,11,12.79,10,11.63,27028
27,35,138,60,43.48,3,2.17,36,26.09,14,10.14,25,18.12,27035
27,37,164,71,43.29,11,6.71,43,26.22,9,5.49,30,18.29,27037
27,38,257,104,40.47,16,6.23,58,22.57,29,11.28,50,19.46,27038
27,42,110,41,37.27,5,4.55,35,31.82,10,9.09,19,17.27,27042
27,46,89,61,68.54,5,5.62,9,10.11,2,2.25,12,13.48,27046
27,47,124,47,37.9,10,8.06,46,37.1,11,8.87,10,8.06,27047
27,48,203,80,39.41,18,8.87,42,20.69,33,16.26,30,14.78,27048
32,7,172,75,43.6,3,1.74,53,30.81,9,5.23,32,18.6,32007
32,8,172,88,51.16,4,2.33,47,27.33,10,5.81,23,13.37,32008
32,10,187,90,48.13,14,7.49,41,21.93,15,8.02,27,14.44,32010
32,13,49,21,42.86,7,14.29,12,24.49,1,2.04,8,16.33,32013
32,18,143,63,44.06,9,6.29,39,27.27,6,4.2,26,18.18,32018
32,23,145,59,40.69,6,4.14,41,28.28,8,5.52,31,21.38,32023
32,27,19,6,31.58,1,5.26,5,26.32,1,5.26,6,31.58,32027
32,39,175,86,49.14,9,5.14,38,21.71,11,6.29,31,17.71,32039
40,13,146,53,36.3,2,1.37,48,32.88,17,11.64,26,17.81,40013
40,21,96,31,32.29,6,6.25,32,33.33,7,7.29,20,20.83,40021
40,22,217,118,54.38,10,4.61,48,22.12,6,2.76,35,16.13,40022
40,23,277,98,35.38,16,5.78,95,34.3,19,6.86,49,17.69,40023
40,26,237,86,36.29,7,2.95,85,35.86,9,3.8,50,21.1,40026
40,28,57,21,36.84,1,1.75,23,40.35,4,7.02,8,14.04,40028
40,31,277,110,39.71,6,2.17,94,33.94,23,8.3,44,15.88,40031
40,32,259,103,39.77,10,3.86,82,31.66,19,7.34,45,17.37,40032
40,33,277,126,45.49,6,2.17,84,30.32,26,9.39,35,12.64,40033
40,36,193,95,49.22,8,4.15,56,29.02,11,5.7,23,11.92,40036
42,1,193,113,58.55,17,8.81,29,15.03,6,3.11,28,14.51,42001
42,2,125,59,47.2,7,5.6,33,26.4,5,4.0,21,16.8,42002
42,4,224,93,41.52,6,2.68,72,32.14,13,5.8,40,17.86,42004
42,5,129,55,42.64,11,8.53,34,26.36,10,7.75,19,14.73,42005
42,6,256,104,40.63,16,6.25,81,31.64,12,4.69,43,16.8,42006
42,7,191,94,49.21,7,3.66,49,25.65,3,1.57,38,19.9,42007
42,8,178,108,60.67,9,5.06,34,19.1,6,3.37,21,11.8,42008
42,9,165,62,37.58,8,4.85,51,30.91,15,9.09,29,17.58,42009
42,10,191,87,45.55,5,2.62,46,24.08,14,7.33,39,20.42,42010
42,11,126,59,46.83,9,7.14,30,23.81,2,1.59,26,20.63,42011
42,12,109,56,51.38,9,8.26,16,14.68,9,8.26,19,17.43,42012
42,13,200,103,51.5,7,3.5,43,21.5,15,7.5,32,16.0,42013
42,14,142,71,50.0,7,4.93,35,24.65,8,5.63,21,14.79,42014
42,15,130,62,47.69,5,3.85,33,25.38,6,4.62,24,18.46,42015
42,17,198,90,45.45,14,7.07,43,21.72,7,3.54,44,22.22,42017
42,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42018
42,19,215,120,55.81,13,6.05,36,16.74,7,3.26,39,18.14,42019
42,20,112,48,42.86,3,2.68,31,27.68,8,7.14,22,19.64,42020
42,22,69,36,52.17,6,8.7,11,15.94,5,7.25,11,15.94,42022
42,23,157,81,51.59,9,5.73,33,21.02,9,5.73,25,15.92,42023
42,24,166,91,54.82,6,3.61,33,19.88,6,3.61,30,18.07,42024
42,25,134,51,38.06,12,8.96,32,23.88,7,5.22,32,23.88,42025
42,26,155,68,43.87,7,4.52,47,30.32,11,7.1,22,14.19,42026
42,27,141,54,38.3,10,7.09,30,21.28,15,10.64,32,22.7,42027
42,28,217,93,42.86,14,6.45,64,29.49,10,4.61,36,16.59,42028
42,29,155,69,44.52,7,4.52,42,27.1,13,8.39,24,15.48,42029
42,30,174,79,45.4,10,5.75,41,23.56,5,2.87,39,22.41,42030
42,31,173,71,41.04,11,6.36,42,24.28,11,6.36,38,21.97,42031
42,32,106,51,48.11,5,4.72,21,19.81,4,3.77,25,23.58,42032
42,33,175,76,43.43,11,6.29,37,21.14,6,3.43,45,25.71,42033
42,34,160,86,53.75,14,8.75,31,19.38,5,3.13,24,15.0,42034
42,35,228,109,47.81,11,4.82,48,21.05,9,3.95,51,22.37,42035
42,36,16,10,62.5,1,6.25,2,12.5,3,18.75,0,0.0,42036
42,37,94,52,55.32,9,9.57,16,17.02,6,6.38,11,11.7,42037
42,38,128,61,47.66,9,7.03,28,21.88,4,3.13,26,20.31,42038
42,39,147,71,48.3,5,3.4,44,29.93,6,4.08,21,14.29,42039
42,40,185,80,43.24,6,3.24,53,28.65,11,5.95,35,18.92,42040
