ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,Michael A. Forti,Michael A. Forti Percent,Cyrus Hosseini,Cyrus Hosseini Percent,Athena A. Farmakis,Athena A. Farmakis Percent,precinct_id
2,2,157,57,36.31,57,36.31,6,3.82,37,23.57,02002
2,9,109,41,37.61,39,35.78,1,0.92,28,25.69,02009
2,10,155,44,28.39,85,54.84,1,0.65,25,16.13,02010
2,11,185,63,34.05,81,43.78,5,2.7,36,19.46,02011
2,12,186,76,40.86,63,33.87,4,2.15,43,23.12,02012
2,13,172,45,26.16,82,47.67,4,2.33,41,23.84,02013
2,18,172,49,28.49,73,42.44,6,3.49,44,25.58,02018
2,19,125,38,30.4,51,40.8,2,1.6,34,27.2,02019
2,20,62,26,41.94,24,38.71,1,1.61,11,17.74,02020
2,22,160,73,45.63,50,31.25,3,1.88,34,21.25,02022
2,23,136,44,32.35,60,44.12,4,2.94,28,20.59,02023
2,24,158,59,37.34,57,36.08,10,6.33,32,20.25,02024
2,26,124,57,45.97,41,33.06,3,2.42,23,18.55,02026
2,27,142,57,40.14,45,31.69,6,4.23,34,23.94,02027
2,28,171,69,40.35,64,37.43,4,2.34,34,19.88,02028
2,29,177,65,36.72,65,36.72,3,1.69,44,24.86,02029
2,30,147,50,34.01,72,48.98,3,2.04,22,14.97,02030
2,31,240,85,35.42,101,42.08,3,1.25,51,21.25,02031
2,32,132,64,48.48,34,25.76,4,3.03,30,22.73,02032
2,33,278,96,34.53,121,43.53,2,0.72,59,21.22,02033
2,34,192,50,26.04,99,51.56,3,1.56,40,20.83,02034
2,35,159,66,41.51,52,32.7,5,3.14,36,22.64,02035
2,36,145,58,40.0,45,31.03,4,2.76,38,26.21,02036
2,37,171,58,33.92,69,40.35,6,3.51,38,22.22,02037
2,38,138,40,28.99,68,49.28,3,2.17,27,19.57,02038
2,39,113,51,45.13,28,24.78,7,6.19,27,23.89,02039
2,40,169,70,41.42,50,29.59,11,6.51,38,22.49,02040
2,41,113,51,45.13,39,34.51,0,0.0,23,20.35,02041
2,42,135,60,44.44,42,31.11,4,2.96,29,21.48,02042
2,43,158,41,25.95,70,44.3,6,3.8,41,25.95,02043
2,44,107,29,27.1,42,39.25,3,2.8,33,30.84,02044
2,45,182,71,39.01,47,25.82,11,6.04,53,29.12,02045
2,46,86,36,41.86,29,33.72,3,3.49,18,20.93,02046
3,3,171,65,38.01,63,36.84,8,4.68,35,20.47,03003
3,6,216,73,33.8,74,34.26,8,3.7,61,28.24,03006
3,13,251,88,35.06,87,34.66,15,5.98,61,24.3,03013
3,14,191,77,40.31,54,28.27,8,4.19,52,27.23,03014
3,17,206,88,42.72,51,24.76,10,4.85,57,27.67,03017
3,18,40,21,52.5,9,22.5,0,0.0,10,25.0,03018
3,19,208,79,37.98,67,32.21,8,3.85,54,25.96,03019
3,21,249,83,33.33,97,38.96,12,4.82,57,22.89,03021
3,22,216,84,38.89,62,28.7,10,4.63,60,27.78,03022
3,25,304,107,35.2,120,39.47,13,4.28,64,21.05,03025
3,26,288,113,39.24,101,35.07,11,3.82,63,21.88,03026
3,27,226,83,36.73,73,32.3,5,2.21,65,28.76,03027
3,32,216,87,40.28,71,32.87,5,2.31,53,24.54,03032
3,33,192,66,34.38,53,27.6,13,6.77,60,31.25,03033
3,34,238,84,35.29,82,34.45,13,5.46,59,24.79,03034
3,39,248,81,32.66,75,30.24,11,4.44,81,32.66,03039
3,40,243,82,33.74,74,30.45,17,7.0,70,28.81,03040
4,2,252,92,36.51,85,33.73,4,1.59,71,28.17,04002
4,6,76,37,48.68,18,23.68,5,6.58,16,21.05,04006
4,13,144,61,42.36,29,20.14,6,4.17,48,33.33,04013
4,16,274,99,36.13,88,32.12,11,4.01,76,27.74,04016
4,17,262,106,40.46,60,22.9,6,2.29,90,34.35,04017
4,20,222,75,33.78,87,39.19,9,4.05,51,22.97,04020
4,21,212,95,44.81,56,26.42,10,4.72,51,24.06,04021
4,25,228,74,32.46,73,32.02,6,2.63,75,32.89,04025
4,37,312,108,34.62,99,31.73,13,4.17,92,29.49,04037
11,30,88,28,31.82,41,46.59,5,5.68,14,15.91,11030
11,36,71,18,25.35,37,52.11,2,2.82,14,19.72,11036
11,37,42,22,52.38,11,26.19,0,0.0,9,21.43,11037
25,6,60,25,41.67,22,36.67,6,10.0,7,11.67,25006
25,14,86,31,36.05,28,32.56,3,3.49,24,27.91,25014
25,18,163,23,14.11,127,77.91,4,2.45,9,5.52,25018
25,21,254,118,46.46,49,19.29,12,4.72,75,29.53,25021
25,27,47,22,46.81,17,36.17,1,2.13,7,14.89,25027
27,6,128,52,40.63,43,33.59,4,3.13,29,22.66,27006
27,9,71,20,28.17,21,29.58,6,8.45,24,33.8,27009
27,11,35,17,48.57,5,14.29,1,2.86,12,34.29,27011
27,12,88,27,30.68,32,36.36,2,2.27,27,30.68,27012
27,20,80,29,36.25,29,36.25,8,10.0,14,17.5,27020
27,21,112,52,46.43,40,35.71,1,0.89,19,16.96,27021
27,28,81,29,35.8,20,24.69,7,8.64,25,30.86,27028
27,35,142,44,30.99,48,33.8,6,4.23,44,30.99,27035
27,37,160,80,50.0,41,25.63,4,2.5,35,21.88,27037
27,38,263,119,45.25,81,30.8,14,5.32,49,18.63,27038
27,42,104,42,40.38,38,36.54,1,0.96,23,22.12,27042
27,46,89,31,34.83,37,41.57,1,1.12,20,22.47,27046
27,47,119,46,38.66,46,38.66,4,3.36,23,19.33,27047
27,48,199,82,41.21,60,30.15,8,4.02,49,24.62,27048
32,7,177,72,40.68,59,33.33,6,3.39,40,22.6,32007
32,8,172,64,37.21,61,35.47,4,2.33,43,25.0,32008
32,10,179,68,37.99,62,34.64,11,6.15,38,21.23,32010
32,13,49,18,36.73,16,32.65,2,4.08,13,26.53,32013
32,18,144,47,32.64,57,39.58,3,2.08,37,25.69,32018
32,23,145,52,35.86,54,37.24,7,4.83,32,22.07,32023
32,27,19,8,42.11,5,26.32,0,0.0,6,31.58,32027
32,39,179,75,41.9,67,37.43,7,3.91,30,16.76,32039
40,13,147,55,37.41,42,28.57,7,4.76,43,29.25,40013
40,21,95,52,54.74,18,18.95,3,3.16,22,23.16,40021
40,22,216,83,38.43,70,32.41,8,3.7,55,25.46,40022
40,23,281,114,40.57,65,23.13,11,3.91,91,32.38,40023
40,26,235,97,41.28,50,21.28,9,3.83,79,33.62,40026
