ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
33,18,79,79,100.0,33018
39,13,1,1,100.0,39013
39,22,114,114,100.0,39022
39,30,63,63,100.0,39030
40,1,152,152,100.0,40001
40,2,172,172,100.0,40002
40,3,272,272,100.0,40003
40,4,13,13,100.0,40004
40,5,225,225,100.0,40005
40,6,245,245,100.0,40006
40,7,244,244,100.0,40007
40,8,283,283,100.0,40008
40,9,126,126,100.0,40009
40,10,44,44,100.0,40010
40,11,218,218,100.0,40011
40,12,164,164,100.0,40012
40,13,365,365,100.0,40013
40,14,129,129,100.0,40014
40,15,175,175,100.0,40015
40,16,287,287,100.0,40016
40,17,186,186,100.0,40017
40,18,140,140,100.0,40018
40,19,226,226,100.0,40019
40,20,175,175,100.0,40020
40,21,271,271,100.0,40021
40,22,231,231,100.0,40022
40,23,291,291,100.0,40023
40,24,139,139,100.0,40024
40,25,274,274,100.0,40025
40,26,239,239,100.0,40026
40,27,271,271,100.0,40027
40,29,209,209,100.0,40029
40,30,206,206,100.0,40030
40,31,278,278,100.0,40031
40,32,283,283,100.0,40032
40,33,283,283,100.0,40033
40,34,139,139,100.0,40034
40,35,115,115,100.0,40035
40,36,208,208,100.0,40036
40,37,193,193,100.0,40037
40,38,302,302,100.0,40038
40,39,5,5,100.0,40039
46,1,181,181,100.0,46001
46,2,208,208,100.0,46002
46,4,213,213,100.0,46004
46,6,158,158,100.0,46006
46,8,154,154,100.0,46008
46,12,265,265,100.0,46012
46,14,202,202,100.0,46014
46,16,273,273,100.0,46016
46,20,178,178,100.0,46020
46,21,137,137,100.0,46021
46,22,132,132,100.0,46022
46,23,172,172,100.0,46023
46,25,199,199,100.0,46025
46,26,116,116,100.0,46026
46,29,7,7,100.0,46029
46,32,202,202,100.0,46032
46,37,169,169,100.0,46037
46,40,225,225,100.0,46040
47,5,224,224,100.0,47005
47,10,327,327,100.0,47010
47,15,347,347,100.0,47015
47,19,316,316,100.0,47019
47,20,230,230,100.0,47020
47,22,281,281,100.0,47022
47,23,314,314,100.0,47023
47,26,300,300,100.0,47026
47,28,240,240,100.0,47028
47,30,304,304,100.0,47030
47,31,211,211,100.0,47031
47,32,320,320,100.0,47032
47,34,281,281,100.0,47034
47,36,296,296,100.0,47036
47,37,258,258,100.0,47037
47,38,242,242,100.0,47038
47,39,4,4,100.0,47039
47,41,147,147,100.0,47041
47,42,252,252,100.0,47042
47,45,260,260,100.0,47045
48,4,231,231,100.0,48004
48,7,2,2,100.0,48007
48,14,14,14,100.0,48014
48,17,242,242,100.0,48017
48,20,220,220,100.0,48020
48,21,256,256,100.0,48021
48,23,272,272,100.0,48023
48,24,230,230,100.0,48024
48,35,149,149,100.0,48035
48,38,49,49,100.0,48038
