ward,precinct,total,Merry Marwig,Merry Marwig Percent,precinct_id
38,2,149,149,100.0,38002
38,7,42,42,100.0,38007
38,12,127,127,100.0,38012
38,17,26,26,100.0,38017
38,20,136,136,100.0,38020
38,24,1,1,100.0,38024
38,28,156,156,100.0,38028
41,1,123,123,100.0,41001
41,2,136,136,100.0,41002
41,3,86,86,100.0,41003
41,4,181,181,100.0,41004
41,5,160,160,100.0,41005
41,7,166,166,100.0,41007
41,8,164,164,100.0,41008
41,10,207,207,100.0,41010
41,11,167,167,100.0,41011
41,13,139,139,100.0,41013
41,15,186,186,100.0,41015
41,16,133,133,100.0,41016
41,17,173,173,100.0,41017
41,18,131,131,100.0,41018
41,20,125,125,100.0,41020
41,21,160,160,100.0,41021
41,22,201,201,100.0,41022
41,23,118,118,100.0,41023
41,25,73,73,100.0,41025
41,26,168,168,100.0,41026
41,27,97,97,100.0,41027
41,31,189,189,100.0,41031
41,33,126,126,100.0,41033
41,34,142,142,100.0,41034
41,35,204,204,100.0,41035
41,36,155,155,100.0,41036
41,37,173,173,100.0,41037
41,40,167,167,100.0,41040
41,41,123,123,100.0,41041
41,42,134,134,100.0,41042
41,43,143,143,100.0,41043
41,44,147,147,100.0,41044
41,45,121,121,100.0,41045
41,46,187,187,100.0,41046
