ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,Stanley S. Moore,Stanley S. Moore Percent,Marcel Bright,Marcel Bright Percent,Gaylon Alcaraz,Gaylon Alcaraz Percent,precinct_id
6,1,250,68,27.2,146,58.4,26,10.4,10,4.0,06001
6,2,218,72,33.03,121,55.5,16,7.34,9,4.13,06002
6,3,251,64,25.5,145,57.77,29,11.55,13,5.18,06003
6,8,209,60,28.71,118,56.46,18,8.61,13,6.22,06008
6,13,154,48,31.17,84,54.55,17,11.04,5,3.25,06013
6,14,207,69,33.33,116,56.04,17,8.21,5,2.42,06014
6,16,41,15,36.59,19,46.34,5,12.2,2,4.88,06016
6,19,30,8,26.67,17,56.67,4,13.33,1,3.33,06019
6,29,261,99,37.93,114,43.68,31,11.88,17,6.51,06029
6,31,268,91,33.96,120,44.78,39,14.55,18,6.72,06031
6,34,221,86,38.91,105,47.51,25,11.31,5,2.26,06034
6,35,203,49,24.14,122,60.1,24,11.82,8,3.94,06035
6,36,278,98,35.25,141,50.72,30,10.79,9,3.24,06036
6,37,269,90,33.46,133,49.44,31,11.52,15,5.58,06037
6,38,246,100,40.65,109,44.31,31,12.6,6,2.44,06038
6,41,213,73,34.27,108,50.7,22,10.33,10,4.69,06041
6,42,178,58,32.58,88,49.44,25,14.04,7,3.93,06042
6,43,29,8,27.59,20,68.97,1,3.45,0,0.0,06043
6,44,173,66,38.15,78,45.09,18,10.4,11,6.36,06044
6,45,218,74,33.94,110,50.46,27,12.39,7,3.21,06045
6,46,134,48,35.82,68,50.75,17,12.69,1,0.75,06046
7,1,175,56,32.0,85,48.57,23,13.14,11,6.29,07001
7,2,160,62,38.75,69,43.13,23,14.38,6,3.75,07002
7,3,254,87,34.25,128,50.39,30,11.81,9,3.54,07003
7,4,215,66,30.7,121,56.28,17,7.91,11,5.12,07004
7,5,167,61,36.53,69,41.32,23,13.77,14,8.38,07005
7,6,248,94,37.9,109,43.95,33,13.31,12,4.84,07006
