ward,precinct,total,Walter Zarnecki,Walter Zarnecki Percent,Renne ''Tex'' Chavez,Renne ''Tex'' Chavez Percent,precinct_id
1,1,7,5,71.43,2,28.57,01001
1,2,3,2,66.67,1,33.33,01002
1,7,3,3,100.0,0,0.0,01007
1,9,12,7,58.33,5,41.67,01009
1,13,8,6,75.0,2,25.0,01013
1,15,9,5,55.56,4,44.44,01015
1,16,4,1,25.0,3,75.0,01016
1,17,9,6,66.67,3,33.33,01017
1,18,4,3,75.0,1,25.0,01018
1,19,8,4,50.0,4,50.0,01019
1,20,6,5,83.33,1,16.67,01020
1,22,9,5,55.56,4,44.44,01022
1,23,14,8,57.14,6,42.86,01023
1,24,3,3,100.0,0,0.0,01024
1,25,5,4,80.0,1,20.0,01025
1,26,3,3,100.0,0,0.0,01026
1,27,10,6,60.0,4,40.0,01027
1,29,10,7,70.0,3,30.0,01029
1,30,7,5,71.43,2,28.57,01030
1,31,9,5,55.56,4,44.44,01031
1,34,7,5,71.43,2,28.57,01034
1,38,4,3,75.0,1,25.0,01038
1,41,3,3,100.0,0,0.0,01041
1,42,3,2,66.67,1,33.33,01042
1,43,5,5,100.0,0,0.0,01043
1,44,7,6,85.71,1,14.29,01044
26,1,3,3,100.0,0,0.0,26001
26,2,7,4,57.14,3,42.86,26002
26,3,13,11,84.62,2,15.38,26003
26,4,4,0,0.0,4,100.0,26004
26,5,5,3,60.0,2,40.0,26005
26,6,10,6,60.0,4,40.0,26006
26,7,4,4,100.0,0,0.0,26007
26,8,5,3,60.0,2,40.0,26008
26,9,8,4,50.0,4,50.0,26009
26,10,8,4,50.0,4,50.0,26010
26,11,6,3,50.0,3,50.0,26011
26,12,4,3,75.0,1,25.0,26012
26,13,1,1,100.0,0,0.0,26013
26,14,2,1,50.0,1,50.0,26014
26,15,2,0,0.0,2,100.0,26015
26,16,1,1,100.0,0,0.0,26016
26,17,16,13,81.25,3,18.75,26017
26,18,3,2,66.67,1,33.33,26018
26,19,1,1,100.0,0,0.0,26019
26,20,4,2,50.0,2,50.0,26020
26,21,6,3,50.0,3,50.0,26021
26,22,2,1,50.0,1,50.0,26022
26,23,2,1,50.0,1,50.0,26023
26,24,5,4,80.0,1,20.0,26024
26,25,5,3,60.0,2,40.0,26025
26,26,5,2,40.0,3,60.0,26026
26,27,7,5,71.43,2,28.57,26027
26,29,4,2,50.0,2,50.0,26029
26,30,1,0,0.0,1,100.0,26030
26,31,11,4,36.36,7,63.64,26031
26,33,9,7,77.78,2,22.22,26033
26,34,3,2,66.67,1,33.33,26034
26,35,6,3,50.0,3,50.0,26035
26,36,7,7,100.0,0,0.0,26036
26,37,2,0,0.0,2,100.0,26037
26,38,4,3,75.0,1,25.0,26038
26,39,8,5,62.5,3,37.5,26039
26,40,6,2,33.33,4,66.67,26040
26,41,9,5,55.56,4,44.44,26041
26,42,4,1,25.0,3,75.0,26042
26,43,2,0,0.0,2,100.0,26043
26,44,2,1,50.0,1,50.0,26044
26,45,0,0,0.0,0,0.0,26045
26,46,12,10,83.33,2,16.67,26046
26,47,8,3,37.5,5,62.5,26047
26,48,1,0,0.0,1,100.0,26048
26,49,0,0,0.0,0,0.0,26049
30,1,0,0,0.0,0,0.0,30001
30,2,16,13,81.25,3,18.75,30002
30,3,11,8,72.73,3,27.27,30003
30,5,5,4,80.0,1,20.0,30005
30,6,15,11,73.33,4,26.67,30006
30,7,21,17,80.95,4,19.05,30007
30,8,16,13,81.25,3,18.75,30008
30,9,3,2,66.67,1,33.33,30009
30,10,15,12,80.0,3,20.0,30010
30,11,7,3,42.86,4,57.14,30011
30,12,17,13,76.47,4,23.53,30012
30,13,15,11,73.33,4,26.67,30013
30,14,10,8,80.0,2,20.0,30014
30,15,18,16,88.89,2,11.11,30015
30,16,13,9,69.23,4,30.77,30016
30,18,10,7,70.0,3,30.0,30018
30,19,9,7,77.78,2,22.22,30019
30,20,11,9,81.82,2,18.18,30020
30,21,7,4,57.14,3,42.86,30021
30,22,14,11,78.57,3,21.43,30022
30,23,21,16,76.19,5,23.81,30023
30,24,14,12,85.71,2,14.29,30024
30,25,12,9,75.0,3,25.0,30025
30,26,18,16,88.89,2,11.11,30026
30,27,7,4,57.14,3,42.86,30027
30,28,11,8,72.73,3,27.27,30028
30,29,3,2,66.67,1,33.33,30029
30,30,2,0,0.0,2,100.0,30030
30,31,15,9,60.0,6,40.0,30031
30,32,8,7,87.5,1,12.5,30032
31,1,8,5,62.5,3,37.5,31001
