ward,precinct,total,Carl Segvich,Carl Segvich Percent,Steven S. Graves,Steven S. Graves Percent,precinct_id
3,29,0,0,0.0,0,0.0,03029
11,1,23,17,73.91,6,26.09,11001
11,4,11,4,36.36,7,63.64,11004
11,5,13,10,76.92,3,23.08,11005
11,8,13,10,76.92,3,23.08,11008
11,9,19,15,78.95,4,21.05,11009
11,10,17,15,88.24,2,11.76,11010
11,11,29,20,68.97,9,31.03,11011
11,12,27,22,81.48,5,18.52,11012
11,13,19,15,78.95,4,21.05,11013
11,14,14,11,78.57,3,21.43,11014
11,15,7,2,28.57,5,71.43,11015
11,16,18,15,83.33,3,16.67,11016
11,17,22,17,77.27,5,22.73,11017
11,18,13,12,92.31,1,7.69,11018
11,19,30,20,66.67,10,33.33,11019
11,20,6,5,83.33,1,16.67,11020
11,21,16,14,87.5,2,12.5,11021
11,22,24,18,75.0,6,25.0,11022
11,23,11,7,63.64,4,36.36,11023
11,24,19,11,57.89,8,42.11,11024
11,25,20,11,55.0,9,45.0,11025
11,26,21,19,90.48,2,9.52,11026
11,27,9,6,66.67,3,33.33,11027
11,28,12,7,58.33,5,41.67,11028
11,29,19,16,84.21,3,15.79,11029
11,30,21,13,61.9,8,38.1,11030
11,31,16,11,68.75,5,31.25,11031
11,32,10,8,80.0,2,20.0,11032
11,34,14,11,78.57,3,21.43,11034
11,35,6,3,50.0,3,50.0,11035
11,36,8,7,87.5,1,12.5,11036
12,19,4,2,50.0,2,50.0,12019
12,23,8,6,75.0,2,25.0,12023
13,1,17,10,58.82,7,41.18,13001
13,2,9,4,44.44,5,55.56,13002
13,4,21,10,47.62,11,52.38,13004
13,5,4,3,75.0,1,25.0,13005
13,6,17,13,76.47,4,23.53,13006
13,7,5,2,40.0,3,60.0,13007
13,8,12,7,58.33,5,41.67,13008
13,9,4,2,50.0,2,50.0,13009
13,10,18,11,61.11,7,38.89,13010
13,11,15,11,73.33,4,26.67,13011
13,12,16,12,75.0,4,25.0,13012
13,13,3,2,66.67,1,33.33,13013
13,14,11,7,63.64,4,36.36,13014
13,16,5,3,60.0,2,40.0,13016
13,17,14,8,57.14,6,42.86,13017
13,18,15,10,66.67,5,33.33,13018
13,19,2,2,100.0,0,0.0,13019
13,20,10,8,80.0,2,20.0,13020
13,21,26,17,65.38,9,34.62,13021
13,22,22,11,50.0,11,50.0,13022
13,23,5,4,80.0,1,20.0,13023
13,24,13,11,84.62,2,15.38,13024
13,25,10,4,40.0,6,60.0,13025
13,26,19,9,47.37,10,52.63,13026
13,27,13,7,53.85,6,46.15,13027
13,29,7,2,28.57,5,71.43,13029
13,30,0,0,0.0,0,0.0,13030
13,31,25,13,52.0,12,48.0,13031
13,32,15,6,40.0,9,60.0,13032
13,33,20,12,60.0,8,40.0,13033
13,35,6,0,0.0,6,100.0,13035
13,36,4,1,25.0,3,75.0,13036
13,37,7,4,57.14,3,42.86,13037
13,38,24,14,58.33,10,41.67,13038
13,39,5,2,40.0,3,60.0,13039
13,40,9,0,0.0,9,100.0,13040
13,41,5,2,40.0,3,60.0,13041
13,42,17,11,64.71,6,35.29,13042
13,43,13,6,46.15,7,53.85,13043
13,44,6,2,33.33,4,66.67,13044
13,45,17,10,58.82,7,41.18,13045
13,46,2,0,0.0,2,100.0,13046
13,47,9,5,55.56,4,44.44,13047
13,48,7,3,42.86,4,57.14,13048
14,1,17,7,41.18,10,58.82,14001
14,4,35,25,71.43,10,28.57,14004
14,9,21,12,57.14,9,42.86,14009
14,22,0,0,0.0,0,0.0,14022
14,23,16,6,37.5,10,62.5,14023
14,24,17,10,58.82,7,41.18,14024
15,3,0,0,0.0,0,0.0,15003
15,16,0,0,0.0,0,0.0,15016
15,19,0,0,0.0,0,0.0,15019
16,2,1,1,100.0,0,0.0,16002
16,7,3,3,100.0,0,0.0,16007
16,8,3,0,0.0,3,100.0,16008
16,10,0,0,0.0,0,0.0,16010
16,11,1,1,100.0,0,0.0,16011
16,12,2,2,100.0,0,0.0,16012
16,13,2,0,0.0,2,100.0,16013
16,17,0,0,0.0,0,0.0,16017
16,18,5,1,20.0,4,80.0,16018
16,19,2,0,0.0,2,100.0,16019
16,21,0,0,0.0,0,0.0,16021
16,22,0,0,0.0,0,0.0,16022
16,23,1,0,0.0,1,100.0,16023
17,1,6,2,33.33,4,66.67,17001
17,7,0,0,0.0,0,0.0,17007
17,12,0,0,0.0,0,0.0,17012
17,16,1,0,0.0,1,100.0,17016
17,30,4,4,100.0,0,0.0,17030
18,2,16,12,75.0,4,25.0,18002
18,3,15,8,53.33,7,46.67,18003
18,6,13,6,46.15,7,53.85,18006
18,11,6,5,83.33,1,16.67,18011
18,15,12,8,66.67,4,33.33,18015
18,17,6,2,33.33,4,66.67,18017
18,24,16,8,50.0,8,50.0,18024
18,25,12,9,75.0,3,25.0,18025
18,28,8,5,62.5,3,37.5,18028
18,29,11,6,54.55,5,45.45,18029
18,30,19,11,57.89,8,42.11,18030
18,36,5,1,20.0,4,80.0,18036
18,40,14,8,57.14,6,42.86,18040
18,43,14,8,57.14,6,42.86,18043
18,44,25,13,52.0,12,48.0,18044
18,45,7,5,71.43,2,28.57,18045
18,46,11,7,63.64,4,36.36,18046
19,1,26,10,38.46,16,61.54,19001
19,2,10,5,50.0,5,50.0,19002
19,3,54,10,18.52,44,81.48,19003
19,4,44,12,27.27,32,72.73,19004
19,5,18,9,50.0,9,50.0,19005
19,6,53,14,26.42,39,73.58,19006
19,7,22,5,22.73,17,77.27,19007
19,8,60,19,31.67,41,68.33,19008
19,9,27,10,37.04,17,62.96,19009
19,10,13,10,76.92,3,23.08,19010
19,11,44,19,43.18,25,56.82,19011
19,12,59,15,25.42,44,74.58,19012
19,13,2,2,100.0,0,0.0,19013
19,14,21,5,23.81,16,76.19,19014
19,15,58,20,34.48,38,65.52,19015
19,16,55,16,29.09,39,70.91,19016
19,17,26,13,50.0,13,50.0,19017
19,18,17,7,41.18,10,58.82,19018
19,19,30,13,43.33,17,56.67,19019
19,20,7,4,57.14,3,42.86,19020
19,21,56,12,21.43,44,78.57,19021
19,22,22,6,27.27,16,72.73,19022
19,23,26,12,46.15,14,53.85,19023
19,24,39,12,30.77,27,69.23,19024
19,25,25,9,36.0,16,64.0,19025
19,26,43,27,62.79,16,37.21,19026
19,27,14,4,28.57,10,71.43,19027
19,28,6,6,100.0,0,0.0,19028
19,29,44,16,36.36,28,63.64,19029
19,30,55,17,30.91,38,69.09,19030
19,31,37,12,32.43,25,67.57,19031
19,32,31,13,41.94,18,58.06,19032
19,33,69,22,31.88,47,68.12,19033
19,34,31,21,67.74,10,32.26,19034
19,35,20,10,50.0,10,50.0,19035
19,36,13,12,92.31,1,7.69,19036
19,37,11,4,36.36,7,63.64,19037
19,38,17,3,17.65,14,82.35,19038
19,39,3,2,66.67,1,33.33,19039
19,40,20,9,45.0,11,55.0,19040
19,41,42,10,23.81,32,76.19,19041
19,42,16,10,62.5,6,37.5,19042
19,43,4,2,50.0,2,50.0,19043
19,44,43,10,23.26,33,76.74,19044
19,45,38,14,36.84,24,63.16,19045
19,46,44,15,34.09,29,65.91,19046
19,47,14,5,35.71,9,64.29,19047
19,48,1,0,0.0,1,100.0,19048
19,49,16,5,31.25,11,68.75,19049
19,50,19,14,73.68,5,26.32,19050
19,51,28,14,50.0,14,50.0,19051
19,52,65,14,21.54,51,78.46,19052
19,53,27,15,55.56,12,44.44,19053
19,54,58,23,39.66,35,60.34,19054
19,55,39,5,12.82,34,87.18,19055
19,56,33,11,33.33,22,66.67,19056
19,57,12,3,25.0,9,75.0,19057
20,4,1,0,0.0,1,100.0,20004
20,17,3,2,66.67,1,33.33,20017
20,21,2,0,0.0,2,100.0,20021
20,25,0,0,0.0,0,0.0,20025
23,1,31,23,74.19,8,25.81,23001
23,2,23,14,60.87,9,39.13,23002
23,3,26,15,57.69,11,42.31,23003
23,4,22,11,50.0,11,50.0,23004
23,6,8,4,50.0,4,50.0,23006
23,8,14,8,57.14,6,42.86,23008
23,10,4,2,50.0,2,50.0,23010
23,12,27,16,59.26,11,40.74,23012
23,14,19,10,52.63,9,47.37,23014
23,16,18,12,66.67,6,33.33,23016
23,18,17,10,58.82,7,41.18,23018
23,21,30,15,50.0,15,50.0,23021
23,22,22,14,63.64,8,36.36,23022
23,23,29,16,55.17,13,44.83,23023
23,25,11,6,54.55,5,45.45,23025
23,26,0,0,0.0,0,0.0,23026
23,27,25,15,60.0,10,40.0,23027
23,28,25,17,68.0,8,32.0,23028
23,29,13,8,61.54,5,38.46,23029
23,35,30,12,40.0,18,60.0,23035
23,36,31,16,51.61,15,48.39,23036
23,37,24,18,75.0,6,25.0,23037
23,38,28,23,82.14,5,17.86,23038
34,49,0,0,0.0,0,0.0,34049
