ward,precinct,total,SUSANA A. MENDOZA,SUSANA A. MENDOZA Percent,precinct_id
1,1,157,157,100.0,01001
1,2,157,157,100.0,01002
1,3,176,176,100.0,01003
1,4,176,176,100.0,01004
1,5,132,132,100.0,01005
1,6,166,166,100.0,01006
1,7,130,130,100.0,01007
1,8,168,168,100.0,01008
1,9,146,146,100.0,01009
1,10,153,153,100.0,01010
1,11,143,143,100.0,01011
1,12,163,163,100.0,01012
1,13,80,80,100.0,01013
1,14,175,175,100.0,01014
1,15,154,154,100.0,01015
1,16,174,174,100.0,01016
1,17,159,159,100.0,01017
1,18,187,187,100.0,01018
1,19,237,237,100.0,01019
1,20,143,143,100.0,01020
1,21,133,133,100.0,01021
1,22,97,97,100.0,01022
1,23,235,235,100.0,01023
1,24,133,133,100.0,01024
1,25,131,131,100.0,01025
1,26,138,138,100.0,01026
1,27,149,149,100.0,01027
1,28,101,101,100.0,01028
1,29,171,171,100.0,01029
1,30,199,199,100.0,01030
1,31,184,184,100.0,01031
1,32,153,153,100.0,01032
1,33,177,177,100.0,01033
1,34,137,137,100.0,01034
1,35,176,176,100.0,01035
1,36,154,154,100.0,01036
1,37,157,157,100.0,01037
1,38,157,157,100.0,01038
1,39,135,135,100.0,01039
1,40,173,173,100.0,01040
1,41,133,133,100.0,01041
1,42,42,42,100.0,01042
1,43,138,138,100.0,01043
1,44,119,119,100.0,01044
2,1,146,146,100.0,02001
2,2,173,173,100.0,02002
2,3,148,148,100.0,02003
2,4,155,155,100.0,02004
2,5,156,156,100.0,02005
2,6,155,155,100.0,02006
2,7,149,149,100.0,02007
2,8,153,153,100.0,02008
2,9,132,132,100.0,02009
2,10,177,177,100.0,02010
2,11,208,208,100.0,02011
2,12,195,195,100.0,02012
2,13,239,239,100.0,02013
2,14,223,223,100.0,02014
2,15,163,163,100.0,02015
2,16,126,126,100.0,02016
2,17,228,228,100.0,02017
2,18,190,190,100.0,02018
2,19,179,179,100.0,02019
2,20,116,116,100.0,02020
2,21,180,180,100.0,02021
2,22,208,208,100.0,02022
2,23,183,183,100.0,02023
2,24,167,167,100.0,02024
2,25,158,158,100.0,02025
2,26,140,140,100.0,02026
2,27,160,160,100.0,02027
2,28,189,189,100.0,02028
2,29,166,166,100.0,02029
2,30,170,170,100.0,02030
2,31,262,262,100.0,02031
2,32,121,121,100.0,02032
2,33,283,283,100.0,02033
2,34,198,198,100.0,02034
2,35,142,142,100.0,02035
2,36,163,163,100.0,02036
2,37,221,221,100.0,02037
2,38,190,190,100.0,02038
2,39,156,156,100.0,02039
2,40,140,140,100.0,02040
2,41,93,93,100.0,02041
2,42,157,157,100.0,02042
2,43,198,198,100.0,02043
2,44,121,121,100.0,02044
2,45,205,205,100.0,02045
2,46,86,86,100.0,02046
3,1,230,230,100.0,03001
3,2,346,346,100.0,03002
3,3,202,202,100.0,03003
3,4,240,240,100.0,03004
3,5,168,168,100.0,03005
3,6,216,216,100.0,03006
3,7,228,228,100.0,03007
3,8,161,161,100.0,03008
3,9,255,255,100.0,03009
3,10,128,128,100.0,03010
3,11,215,215,100.0,03011
3,12,271,271,100.0,03012
3,13,248,248,100.0,03013
3,14,172,172,100.0,03014
3,15,193,193,100.0,03015
3,16,201,201,100.0,03016
3,17,216,216,100.0,03017
3,18,281,281,100.0,03018
3,19,175,175,100.0,03019
3,20,209,209,100.0,03020
3,21,250,250,100.0,03021
3,22,188,188,100.0,03022
3,23,207,207,100.0,03023
3,24,201,201,100.0,03024
3,25,241,241,100.0,03025
3,26,301,301,100.0,03026
3,27,200,200,100.0,03027
3,28,208,208,100.0,03028
3,29,227,227,100.0,03029
3,30,244,244,100.0,03030
3,31,236,236,100.0,03031
3,32,204,204,100.0,03032
3,33,154,154,100.0,03033
3,34,243,243,100.0,03034
