ward,precinct,total,JOANN THOMPSON,JOANN THOMPSON Percent,CYNTHIA LOMAX,CYNTHIA LOMAX Percent,TONI L. FOULKES,TONI L. FOULKES Percent,JOSE A. GARCIA,JOSE A. GARCIA Percent,STEPHANIE COLEMAN,STEPHANIE COLEMAN Percent,precinct_id
16,1,180,2,1.11,6,3.33,60,33.33,106,58.89,6,3.33,16001
16,2,189,3,1.59,3,1.59,75,39.68,31,16.4,77,40.74,16002
16,3,164,8,4.88,12,7.32,97,59.15,10,6.1,37,22.56,16003
16,4,172,1,0.58,14,8.14,110,63.95,14,8.14,33,19.19,16004
16,5,145,2,1.38,10,6.9,58,40.0,11,7.59,64,44.14,16005
16,6,182,1,0.55,11,6.04,129,70.88,11,6.04,30,16.48,16006
16,7,162,9,5.56,5,3.09,43,26.54,27,16.67,78,48.15,16007
16,8,113,0,0.0,2,1.77,47,41.59,10,8.85,54,47.79,16008
16,9,200,1,0.5,21,10.5,69,34.5,7,3.5,102,51.0,16009
16,10,181,5,2.76,9,4.97,82,45.3,13,7.18,72,39.78,16010
16,11,155,3,1.94,7,4.52,59,38.06,54,34.84,32,20.65,16011
16,12,125,3,2.4,5,4.0,44,35.2,15,12.0,58,46.4,16012
16,13,139,2,1.44,5,3.6,61,43.88,56,40.29,15,10.79,16013
16,14,149,1,0.67,5,3.36,42,28.19,5,3.36,96,64.43,16014
16,15,187,10,5.35,8,4.28,67,35.83,12,6.42,90,48.13,16015
16,16,190,6,3.16,17,8.95,114,60.0,8,4.21,45,23.68,16016
16,17,142,1,0.7,6,4.23,57,40.14,54,38.03,24,16.9,16017
16,18,192,2,1.04,9,4.69,87,45.31,51,26.56,43,22.4,16018
16,19,162,2,1.23,6,3.7,74,45.68,24,14.81,56,34.57,16019
16,20,153,7,4.58,9,5.88,44,28.76,1,0.65,92,60.13,16020
16,21,146,4,2.74,7,4.79,93,63.7,6,4.11,36,24.66,16021
16,22,138,2,1.45,4,2.9,87,63.04,12,8.7,33,23.91,16022
16,23,148,0,0.0,2,1.35,35,23.65,77,52.03,34,22.97,16023
16,24,126,1,0.79,10,7.94,72,57.14,9,7.14,34,26.98,16024
16,25,214,7,3.27,10,4.67,77,35.98,7,3.27,113,52.8,16025
16,26,179,7,3.91,4,2.23,42,23.46,11,6.15,115,64.25,16026
16,27,150,3,2.0,6,4.0,65,43.33,3,2.0,73,48.67,16027
16,28,204,2,0.98,8,3.92,114,55.88,8,3.92,72,35.29,16028
16,29,163,1,0.61,40,24.54,82,50.31,3,1.84,37,22.7,16029
16,30,167,3,1.8,21,12.57,60,35.93,14,8.38,69,41.32,16030
16,31,222,1,0.45,8,3.6,91,40.99,3,1.35,119,53.6,16031
16,32,147,3,2.04,1,0.68,27,18.37,94,63.95,22,14.97,16032
16,33,209,3,1.44,33,15.79,111,53.11,5,2.39,57,27.27,16033
16,34,183,2,1.09,17,9.29,85,46.45,5,2.73,74,40.44,16034
16,35,142,0,0.0,9,6.34,58,40.85,46,32.39,29,20.42,16035
16,36,149,7,4.7,7,4.7,53,35.57,7,4.7,75,50.34,16036
