ward,precinct,total,GLENDA FRANKLIN,GLENDA FRANKLIN Percent,JAMES E. DUKES,JAMES E. DUKES Percent,precinct_id
17,1,207,55,26.57,21,10.14,17001
17,2,197,72,36.55,9,4.57,17002
17,3,211,74,35.07,26,12.32,17003
17,4,270,116,42.96,16,5.93,17004
17,5,203,82,40.39,14,6.9,17005
17,6,160,64,40.0,25,15.63,17006
17,7,124,53,42.74,25,20.16,17007
17,8,189,81,42.86,36,19.05,17008
17,9,219,74,33.79,7,3.2,17009
17,10,245,112,45.71,7,2.86,17010
17,11,188,51,27.13,47,25.0,17011
17,12,188,67,35.64,31,16.49,17012
17,13,188,59,31.38,38,20.21,17013
17,14,192,72,37.5,28,14.58,17014
17,15,221,77,34.84,15,6.79,17015
17,16,148,52,35.14,22,14.86,17016
17,17,183,84,45.9,35,19.13,17017
17,18,259,90,34.75,17,6.56,17018
17,19,133,49,36.84,30,22.56,17019
17,20,290,124,42.76,14,4.83,17020
17,21,328,100,30.49,13,3.96,17021
17,22,210,66,31.43,9,4.29,17022
17,23,153,43,28.1,33,21.57,17023
17,24,282,152,53.9,12,4.26,17024
17,25,140,51,36.43,18,12.86,17025
17,26,271,133,49.08,20,7.38,17026
17,27,206,91,44.17,12,5.83,17027
17,28,190,79,41.58,27,14.21,17028
17,29,236,94,39.83,10,4.24,17029
17,30,164,44,26.83,20,12.2,17030
17,31,143,39,27.27,23,16.08,17031
17,32,175,39,22.29,49,28.0,17032
17,33,154,47,30.52,28,18.18,17033
17,34,172,66,38.37,21,12.21,17034
17,35,198,60,30.3,51,25.76,17035
17,36,256,54,21.09,13,5.08,17036
17,37,180,54,30.0,15,8.33,17037
17,38,245,110,44.9,24,9.8,17038
17,39,234,70,29.91,6,2.56,17039
17,40,223,61,27.35,20,8.97,17040
17,41,265,103,38.87,22,8.3,17041
