ward,precinct,total,ARIEL E. REBOYRAS,ARIEL E. REBOYRAS Percent,precinct_id
30,1,155,155,100.0,30001
30,2,181,181,100.0,30002
30,3,129,129,100.0,30003
30,4,148,148,100.0,30004
30,5,98,98,100.0,30005
30,6,128,128,100.0,30006
30,7,152,152,100.0,30007
30,8,161,161,100.0,30008
30,9,127,127,100.0,30009
30,10,163,163,100.0,30010
30,11,123,123,100.0,30011
30,12,127,127,100.0,30012
30,13,126,126,100.0,30013
30,14,93,93,100.0,30014
30,15,174,174,100.0,30015
30,16,67,67,100.0,30016
30,17,167,167,100.0,30017
30,18,134,134,100.0,30018
30,19,127,127,100.0,30019
30,20,158,158,100.0,30020
30,21,145,145,100.0,30021
30,22,154,154,100.0,30022
30,23,111,111,100.0,30023
30,24,119,119,100.0,30024
30,25,157,157,100.0,30025
30,26,85,85,100.0,30026
30,27,97,97,100.0,30027
30,28,165,165,100.0,30028
30,29,77,77,100.0,30029
30,30,53,53,100.0,30030
30,31,113,113,100.0,30031
30,32,105,105,100.0,30032
