ward,precinct,total,SCOTT WAGUESPACK,SCOTT WAGUESPACK Percent,ELISE DOODY-JONES,ELISE DOODY-JONES Percent,precinct_id
32,1,172,124,72.09,48,27.91,32001
32,2,159,135,84.91,24,15.09,32002
32,3,273,195,71.43,78,28.57,32003
32,4,206,190,92.23,16,7.77,32004
32,5,206,183,88.83,23,11.17,32005
32,6,156,122,78.21,34,21.79,32006
32,7,190,154,81.05,36,18.95,32007
32,8,157,127,80.89,30,19.11,32008
32,9,199,166,83.42,33,16.58,32009
32,10,184,144,78.26,40,21.74,32010
32,11,213,153,71.83,60,28.17,32011
32,12,190,128,67.37,62,32.63,32012
32,13,162,124,76.54,38,23.46,32013
32,14,188,133,70.74,55,29.26,32014
32,15,186,164,88.17,22,11.83,32015
32,16,204,162,79.41,42,20.59,32016
32,17,225,168,74.67,57,25.33,32017
32,18,162,137,84.57,25,15.43,32018
32,19,161,121,75.16,40,24.84,32019
32,20,248,158,63.71,90,36.29,32020
32,21,236,200,84.75,36,15.25,32021
32,22,254,188,74.02,66,25.98,32022
32,23,202,171,84.65,31,15.35,32023
32,24,96,79,82.29,17,17.71,32024
32,25,178,142,79.78,36,20.22,32025
32,26,241,194,80.5,47,19.5,32026
32,27,185,149,80.54,36,19.46,32027
32,28,226,161,71.24,65,28.76,32028
32,29,227,186,81.94,41,18.06,32029
32,30,148,114,77.03,34,22.97,32030
32,31,176,144,81.82,32,18.18,32031
32,32,195,170,87.18,25,12.82,32032
32,33,178,138,77.53,40,22.47,32033
32,34,178,145,81.46,33,18.54,32034
32,35,167,139,83.23,28,16.77,32035
32,36,173,145,83.82,28,16.18,32036
32,37,147,109,74.15,38,25.85,32037
32,38,159,118,74.21,41,25.79,32038
32,39,156,129,82.69,27,17.31,32039
32,40,207,178,85.99,29,14.01,32040
32,41,186,152,81.72,34,18.28,32041
32,42,179,141,78.77,38,21.23,32042
32,43,203,145,71.43,58,28.57,32043
