ward,precinct,total,CAROLINE VICKREY,CAROLINE VICKREY Percent,JENNIFER ''JEN'' KRAMER,JENNIFER ''JEN'' KRAMER Percent,MICHELE SMITH,MICHELE SMITH Percent,JERRY QUANDT,JERRY QUANDT Percent,precinct_id
43,1,153,46,30.07,26,16.99,73,47.71,8,5.23,43001
43,2,237,90,37.97,39,16.46,91,38.4,17,7.17,43002
43,3,279,110,39.43,23,8.24,113,40.5,33,11.83,43003
43,4,226,52,23.01,62,27.43,96,42.48,16,7.08,43004
43,5,192,66,34.38,31,16.15,87,45.31,8,4.17,43005
43,6,152,70,46.05,25,16.45,46,30.26,11,7.24,43006
43,7,195,57,29.23,45,23.08,88,45.13,5,2.56,43007
43,8,216,89,41.2,36,16.67,85,39.35,6,2.78,43008
43,9,318,95,29.87,51,16.04,142,44.65,30,9.43,43009
43,10,246,79,32.11,47,19.11,95,38.62,25,10.16,43010
43,11,169,69,40.83,29,17.16,65,38.46,6,3.55,43011
43,12,158,46,29.11,18,11.39,84,53.16,10,6.33,43012
43,13,248,98,39.52,55,22.18,90,36.29,5,2.02,43013
43,14,283,79,27.92,75,26.5,115,40.64,14,4.95,43014
43,15,232,67,28.88,58,25.0,95,40.95,12,5.17,43015
43,16,219,66,30.14,38,17.35,95,43.38,20,9.13,43016
43,17,192,75,39.06,28,14.58,77,40.1,12,6.25,43017
43,18,266,113,42.48,39,14.66,98,36.84,16,6.02,43018
43,19,273,108,39.56,75,27.47,76,27.84,14,5.13,43019
43,20,301,161,53.49,34,11.3,84,27.91,22,7.31,43020
43,21,262,185,70.61,14,5.34,56,21.37,7,2.67,43021
43,22,137,48,35.04,18,13.14,55,40.15,16,11.68,43022
43,23,105,29,27.62,26,24.76,46,43.81,4,3.81,43023
43,24,197,39,19.8,50,25.38,95,48.22,13,6.6,43024
43,25,249,77,30.92,30,12.05,123,49.4,19,7.63,43025
43,26,207,81,39.13,22,10.63,100,48.31,4,1.93,43026
43,27,253,107,42.29,31,12.25,99,39.13,16,6.32,43027
43,28,274,100,36.5,51,18.61,107,39.05,16,5.84,43028
43,29,243,125,51.44,38,15.64,68,27.98,12,4.94,43029
43,30,220,95,43.18,42,19.09,69,31.36,14,6.36,43030
43,31,272,65,23.9,31,11.4,168,61.76,8,2.94,43031
43,32,273,97,35.53,38,13.92,122,44.69,16,5.86,43032
43,33,299,75,25.08,38,12.71,177,59.2,9,3.01,43033
43,34,193,66,34.2,38,19.69,80,41.45,9,4.66,43034
43,35,316,90,28.48,55,17.41,157,49.68,14,4.43,43035
43,36,82,35,42.68,15,18.29,27,32.93,5,6.1,43036
43,37,186,64,34.41,24,12.9,88,47.31,10,5.38,43037
43,38,261,77,29.5,53,20.31,126,48.28,5,1.92,43038
43,39,191,64,33.51,47,24.61,72,37.7,8,4.19,43039
43,40,136,42,30.88,27,19.85,55,40.44,12,8.82,43040
43,41,304,114,37.5,33,10.86,139,45.72,18,5.92,43041
43,42,214,88,41.12,27,12.62,89,41.59,10,4.67,43042
43,43,326,86,26.38,73,22.39,150,46.01,17,5.21,43043
43,44,250,129,51.6,21,8.4,87,34.8,13,5.2,43044
43,45,191,32,16.75,16,8.38,101,52.88,42,21.99,43045
43,46,110,36,32.73,15,13.64,58,52.73,1,0.91,43046
