ward,precinct,total,JAMES CAPPLEMAN,JAMES CAPPLEMAN Percent,AMY CRAWFORD,AMY CRAWFORD Percent,DENICE L. DAVIS,DENICE L. DAVIS Percent,precinct_id
46,1,266,110,41.35,98,36.84,58,21.8,46001
46,2,242,101,41.74,90,37.19,51,21.07,46002
46,3,319,142,44.51,157,49.22,20,6.27,46003
46,4,294,170,57.82,87,29.59,37,12.59,46004
46,5,214,69,32.24,140,65.42,5,2.34,46005
46,6,232,102,43.97,89,38.36,41,17.67,46006
46,7,395,218,55.19,149,37.72,28,7.09,46007
46,8,222,75,33.78,39,17.57,108,48.65,46008
46,9,251,150,59.76,84,33.47,17,6.77,46009
46,10,223,86,38.57,118,52.91,19,8.52,46010
46,11,239,128,53.56,66,27.62,45,18.83,46011
46,12,254,109,42.91,109,42.91,36,14.17,46012
46,13,235,144,61.28,80,34.04,11,4.68,46013
46,14,341,141,41.35,52,15.25,148,43.4,46014
46,15,247,145,58.7,87,35.22,15,6.07,46015
46,16,270,121,44.81,127,47.04,22,8.15,46016
46,17,331,135,40.79,164,49.55,32,9.67,46017
46,18,221,106,47.96,89,40.27,26,11.76,46018
46,19,204,87,42.65,104,50.98,13,6.37,46019
46,20,276,102,36.96,72,26.09,102,36.96,46020
46,21,184,101,54.89,58,31.52,25,13.59,46021
46,22,234,39,16.67,104,44.44,91,38.89,46022
46,23,217,102,47.0,44,20.28,71,32.72,46023
46,24,284,121,42.61,143,50.35,20,7.04,46024
46,25,263,107,40.68,77,29.28,79,30.04,46025
46,26,222,117,52.7,64,28.83,41,18.47,46026
46,27,246,132,53.66,81,32.93,33,13.41,46027
46,28,316,192,60.76,107,33.86,17,5.38,46028
46,29,238,136,57.14,69,28.99,33,13.87,46029
46,30,251,105,41.83,95,37.85,51,20.32,46030
46,31,205,76,37.07,121,59.02,8,3.9,46031
46,32,304,123,40.46,96,31.58,85,27.96,46032
46,33,295,138,46.78,142,48.14,15,5.08,46033
46,34,259,141,54.44,102,39.38,16,6.18,46034
46,35,290,157,54.14,91,31.38,42,14.48,46035
46,36,266,116,43.61,132,49.62,18,6.77,46036
46,37,199,102,51.26,66,33.17,31,15.58,46037
46,38,215,105,48.84,71,33.02,39,18.14,46038
46,39,222,101,45.5,106,47.75,15,6.76,46039
46,40,256,148,57.81,83,32.42,25,9.77,46040
