ward,precinct,total,Dave Sullivan (Bush),Dave Sullivan (Bush) Percent,Rosemary Mulligan (Bush),Rosemary Mulligan (Bush) Percent,precinct_id
40,3,10,5,50.0,5,50.0,40003
40,4,22,10,45.45,12,54.55,40004
40,7,14,7,50.0,7,50.0,40007
40,8,9,5,55.56,4,44.44,40008
40,9,14,7,50.0,7,50.0,40009
40,11,15,7,46.67,8,53.33,40011
40,12,14,7,50.0,7,50.0,40012
40,13,13,7,53.85,6,46.15,40013
40,16,17,11,64.71,6,35.29,40016
40,18,10,5,50.0,5,50.0,40018
40,22,1,0,0.0,1,100.0,40022
40,26,13,7,53.85,6,46.15,40026
40,27,14,7,50.0,7,50.0,40027
40,28,27,14,51.85,13,48.15,40028
40,33,21,11,52.38,10,47.62,40033
40,35,25,12,48.0,13,52.0,40035
40,37,8,4,50.0,4,50.0,40037
40,39,27,13,48.15,14,51.85,40039
40,41,17,9,52.94,8,47.06,40041
40,42,25,13,52.0,12,48.0,40042
40,43,11,5,45.45,6,54.55,40043
40,46,20,10,50.0,10,50.0,40046
40,47,7,3,42.86,4,57.14,40047
41,1,74,36,48.65,38,51.35,41001
41,2,93,50,53.76,43,46.24,41002
41,4,55,27,49.09,28,50.91,41004
41,5,111,58,52.25,53,47.75,41005
41,6,88,41,46.59,47,53.41,41006
41,7,91,47,51.65,44,48.35,41007
41,8,61,30,49.18,31,50.82,41008
41,11,64,35,54.69,29,45.31,41011
41,13,39,20,51.28,19,48.72,41013
41,15,33,18,54.55,15,45.45,41015
41,17,63,34,53.97,29,46.03,41017
41,18,48,26,54.17,22,45.83,41018
41,20,112,55,49.11,57,50.89,41020
41,25,15,7,46.67,8,53.33,41025
41,26,38,19,50.0,19,50.0,41026
41,27,24,14,58.33,10,41.67,41027
41,28,41,21,51.22,20,48.78,41028
41,29,26,13,50.0,13,50.0,41029
41,31,95,47,49.47,48,50.53,41031
41,32,53,26,49.06,27,50.94,41032
41,33,92,50,54.35,42,45.65,41033
41,34,101,49,48.51,52,51.49,41034
41,36,77,42,54.55,35,45.45,41036
41,37,137,70,51.09,67,48.91,41037
41,38,43,23,53.49,20,46.51,41038
41,39,55,29,52.73,26,47.27,41039
41,40,56,27,48.21,29,51.79,41040
41,41,76,37,48.68,39,51.32,41041
41,42,101,49,48.51,52,51.49,41042
41,44,77,40,51.95,37,48.05,41044
41,45,38,19,50.0,19,50.0,41045
41,48,39,20,51.28,19,48.72,41048
41,49,72,35,48.61,37,51.39,41049
41,52,82,41,50.0,41,50.0,41052
41,53,131,69,52.67,62,47.33,41053
41,55,117,60,51.28,57,48.72,41055
41,56,104,61,58.65,43,41.35,41056
41,58,62,30,48.39,32,51.61,41058
41,60,51,29,56.86,22,43.14,41060
41,61,67,33,49.25,34,50.75,41061
41,63,60,30,50.0,30,50.0,41063
41,64,76,38,50.0,38,50.0,41064
44,3,32,16,50.0,16,50.0,44003
44,4,47,24,51.06,23,48.94,44004
44,7,58,28,48.28,30,51.72,44007
44,18,0,0,0.0,0,0.0,44018
44,35,32,16,50.0,16,50.0,44035
