ward,precinct,total,Alejandro Garcia Jr.,Alejandro Garcia Jr. Percent,Michael A. DeRoss,Michael A. DeRoss Percent,precinct_id
14,1,7,2,28.57,5,71.43,14001
14,2,16,5,31.25,11,68.75,14002
14,3,1,1,100.0,0,0.0,14003
14,4,7,4,57.14,3,42.86,14004
14,5,3,1,33.33,2,66.67,14005
14,6,9,3,33.33,6,66.67,14006
14,7,10,5,50.0,5,50.0,14007
14,8,3,1,33.33,2,66.67,14008
14,9,5,4,80.0,1,20.0,14009
14,10,16,4,25.0,12,75.0,14010
14,11,6,3,50.0,3,50.0,14011
14,12,10,4,40.0,6,60.0,14012
14,13,10,4,40.0,6,60.0,14013
14,14,2,0,0.0,2,100.0,14014
14,15,3,1,33.33,2,66.67,14015
14,16,12,4,33.33,8,66.67,14016
14,17,4,1,25.0,3,75.0,14017
14,18,5,0,0.0,5,100.0,14018
14,19,4,2,50.0,2,50.0,14019
14,20,3,1,33.33,2,66.67,14020
14,21,5,2,40.0,3,60.0,14021
14,22,4,4,100.0,0,0.0,14022
14,23,4,3,75.0,1,25.0,14023
14,24,1,0,0.0,1,100.0,14024
14,25,7,4,57.14,3,42.86,14025
14,26,4,0,0.0,4,100.0,14026
14,27,6,3,50.0,3,50.0,14027
14,28,4,1,25.0,3,75.0,14028
14,29,5,3,60.0,2,40.0,14029
14,30,9,6,66.67,3,33.33,14030
14,31,2,0,0.0,2,100.0,14031
14,32,3,0,0.0,3,100.0,14032
14,33,3,2,66.67,1,33.33,14033
14,34,2,1,50.0,1,50.0,14034
14,35,8,1,12.5,7,87.5,14035
14,36,5,4,80.0,1,20.0,14036
14,37,2,0,0.0,2,100.0,14037
