ward,precinct,total,Thomas T. Morris,Thomas T. Morris Percent,Kenneth H. Hollander,Kenneth H. Hollander Percent,precinct_id
50,2,6,6,,0,,50002
50,3,8,5,62.5,3,37.5,50003
50,5,19,7,36.84,12,63.16,50005
50,6,10,3,30.0,7,70.0,50006
50,7,11,7,63.64,4,36.36,50007
50,8,9,0,,9,,50008
50,10,8,0,,8,,50010
50,11,10,0,,10,,50011
50,12,7,3,42.86,4,57.14,50012
50,13,2,1,50.0,1,50.0,50013
50,14,6,3,50.0,3,50.0,50014
50,15,13,8,61.54,5,38.46,50015
50,16,10,3,30.0,7,70.0,50016
50,17,10,2,20.0,8,80.0,50017
50,19,10,0,,10,,50019
50,21,16,8,50.0,8,50.0,50021
50,23,6,3,50.0,3,50.0,50023
50,25,10,0,,10,,50025
50,27,3,0,0.0,3,100.0,50027
50,28,9,9,,0,,50028
50,29,20,13,65.0,7,35.0,50029
50,30,3,3,,0,,50030
50,32,6,0,,6,,50032
50,33,14,3,21.43,11,78.57,50033
50,34,4,4,,0,,50034
50,36,21,10,47.62,11,52.38,50036
50,38,12,3,25.0,9,75.0,50038
50,39,11,0,0.0,11,100.0,50039
50,40,10,0,,10,,50040
50,41,14,7,50.0,7,50.0,50041
50,43,4,4,,0,,50043
50,45,1,1,100.0,0,0.0,50045
