ward,precinct,total,Robert A. Rudner,Robert A. Rudner Percent,precinct_id
49,2,0,0,0.0,49002
49,3,0,0,0.0,49003
49,4,0,0,0.0,49004
49,7,0,0,0.0,49007
49,8,0,0,0.0,49008
49,9,0,0,0.0,49009
49,10,0,0,0.0,49010
49,11,0,0,0.0,49011
49,12,0,0,0.0,49012
49,13,0,0,0.0,49013
49,15,0,0,0.0,49015
49,17,1,1,100.0,49017
49,18,1,1,100.0,49018
49,19,0,0,0.0,49019
49,21,1,1,100.0,49021
49,22,0,0,0.0,49022
49,23,5,5,100.0,49023
49,24,1,1,100.0,49024
49,25,0,0,0.0,49025
49,26,0,0,0.0,49026
49,27,0,0,0.0,49027
49,29,0,0,0.0,49029
49,31,0,0,0.0,49031
49,32,0,0,0.0,49032
49,33,0,0,0.0,49033
49,36,0,0,0.0,49036
49,37,0,0,0.0,49037
49,39,0,0,0.0,49039
49,42,0,0,0.0,49042
49,43,0,0,0.0,49043
