ward,precinct,total,Anjana Hansen,Anjana Hansen Percent,precinct_id
39,13,6,6,100.0,39013
39,18,21,21,100.0,39018
39,32,96,96,100.0,39032
39,36,4,4,100.0,39036
40,9,167,167,100.0,40009
40,10,44,44,100.0,40010
40,18,123,123,100.0,40018
40,27,267,267,100.0,40027
40,28,204,204,100.0,40028
40,35,151,151,100.0,40035
40,37,215,215,100.0,40037
41,6,108,108,100.0,41006
41,9,194,194,100.0,41009
41,14,82,82,100.0,41014
41,19,216,216,100.0,41019
41,47,105,105,100.0,41047
48,13,335,335,100.0,48013
48,15,158,158,100.0,48015
48,22,256,256,100.0,48022
48,27,233,233,100.0,48027
48,31,147,147,100.0,48031
48,32,137,137,100.0,48032
48,33,161,161,100.0,48033
48,46,166,166,100.0,48046
49,1,175,175,100.0,49001
49,3,276,276,100.0,49003
49,4,288,288,100.0,49004
49,5,249,249,100.0,49005
49,6,238,238,100.0,49006
49,7,225,225,100.0,49007
49,8,215,215,100.0,49008
49,9,269,269,100.0,49009
49,10,248,248,100.0,49010
49,11,319,319,100.0,49011
49,12,322,322,100.0,49012
49,13,305,305,100.0,49013
49,14,211,211,100.0,49014
49,15,191,191,100.0,49015
49,16,263,263,100.0,49016
49,18,331,331,100.0,49018
49,19,247,247,100.0,49019
49,20,358,358,100.0,49020
49,21,162,162,100.0,49021
49,22,279,279,100.0,49022
49,23,291,291,100.0,49023
49,24,216,216,100.0,49024
49,25,276,276,100.0,49025
49,26,268,268,100.0,49026
49,27,295,295,100.0,49027
49,28,296,296,100.0,49028
49,29,278,278,100.0,49029
49,30,290,290,100.0,49030
49,31,204,204,100.0,49031
49,32,252,252,100.0,49032
49,33,218,218,100.0,49033
50,1,158,158,100.0,50001
50,2,123,123,100.0,50002
50,3,152,152,100.0,50003
50,4,203,203,100.0,50004
50,5,116,116,100.0,50005
50,6,219,219,100.0,50006
50,7,238,238,100.0,50007
50,8,178,178,100.0,50008
50,9,148,148,100.0,50009
50,10,139,139,100.0,50010
50,11,94,94,100.0,50011
50,12,86,86,100.0,50012
50,13,197,197,100.0,50013
50,14,53,53,100.0,50014
50,15,231,231,100.0,50015
50,16,56,56,100.0,50016
50,17,116,116,100.0,50017
50,18,46,46,100.0,50018
50,19,123,123,100.0,50019
50,20,184,184,100.0,50020
50,21,149,149,100.0,50021
50,22,121,121,100.0,50022
50,24,94,94,100.0,50024
50,25,161,161,100.0,50025
50,26,156,156,100.0,50026
50,27,57,57,100.0,50027
50,28,175,175,100.0,50028
50,29,153,153,100.0,50029
50,30,102,102,100.0,50030
50,31,153,153,100.0,50031
50,32,213,213,100.0,50032
50,33,127,127,100.0,50033
50,34,263,263,100.0,50034
50,35,253,253,100.0,50035
50,36,160,160,100.0,50036
50,37,203,203,100.0,50037
50,38,95,95,100.0,50038
50,39,114,114,100.0,50039
50,40,158,158,100.0,50040
