ward,precinct,total,Anthony C. ''Tony'' Kyriakopoulos,Anthony C. ''Tony'' Kyriakopoulos Percent,precinct_id
14,3,0,0,0.0,14003
30,3,65,65,100.0,30003
30,15,167,167,100.0,30015
30,20,40,40,100.0,30020
30,32,113,113,100.0,30032
32,19,182,182,100.0,32019
32,21,181,181,100.0,32021
32,25,130,130,100.0,32025
33,2,215,215,100.0,33002
33,7,229,229,100.0,33007
33,18,257,257,100.0,33018
35,9,191,191,100.0,35009
35,22,219,219,100.0,35022
35,23,76,76,100.0,35023
35,29,153,153,100.0,35029
35,30,183,183,100.0,35030
35,31,184,184,100.0,35031
38,1,163,163,100.0,38001
38,31,183,183,100.0,38031
38,32,157,157,100.0,38032
38,41,187,187,100.0,38041
39,1,194,194,100.0,39001
39,2,181,181,100.0,39002
39,3,226,226,100.0,39003
39,4,207,207,100.0,39004
39,5,217,217,100.0,39005
39,6,151,151,100.0,39006
39,7,165,165,100.0,39007
39,8,197,197,100.0,39008
39,9,185,185,100.0,39009
39,10,108,108,100.0,39010
39,11,188,188,100.0,39011
39,12,237,237,100.0,39012
39,13,173,173,100.0,39013
39,14,154,154,100.0,39014
39,15,210,210,100.0,39015
39,16,127,127,100.0,39016
39,17,204,204,100.0,39017
39,18,165,165,100.0,39018
39,19,180,180,100.0,39019
39,20,226,226,100.0,39020
39,21,198,198,100.0,39021
39,22,126,126,100.0,39022
39,23,213,213,100.0,39023
39,24,242,242,100.0,39024
39,25,133,133,100.0,39025
39,26,169,169,100.0,39026
39,27,41,41,100.0,39027
39,28,228,228,100.0,39028
39,29,94,94,100.0,39029
39,30,216,216,100.0,39030
39,31,162,162,100.0,39031
39,32,84,84,100.0,39032
39,33,183,183,100.0,39033
39,34,205,205,100.0,39034
39,35,187,187,100.0,39035
39,36,75,75,100.0,39036
39,37,221,221,100.0,39037
39,38,142,142,100.0,39038
39,39,115,115,100.0,39039
39,40,169,169,100.0,39040
39,41,229,229,100.0,39041
39,42,209,209,100.0,39042
39,43,226,226,100.0,39043
39,44,168,168,100.0,39044
39,45,209,209,100.0,39045
40,1,175,175,100.0,40001
40,2,211,211,100.0,40002
40,3,248,248,100.0,40003
40,4,126,126,100.0,40004
40,5,235,235,100.0,40005
40,6,273,273,100.0,40006
40,7,241,241,100.0,40007
