ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
1,1,284,238,83.8,32,11.27,14,4.93,01001
1,2,252,224,88.89,21,8.33,7,2.78,01002
1,3,315,252,80.0,57,18.1,6,1.9,01003
1,4,314,232,73.89,59,18.79,23,7.32,01004
1,5,301,243,80.73,48,15.95,10,3.32,01005
1,6,357,272,76.19,66,18.49,19,5.32,01006
1,7,200,159,79.5,30,15.0,11,5.5,01007
1,8,303,240,79.21,51,16.83,12,3.96,01008
1,9,261,219,83.91,29,11.11,13,4.98,01009
1,10,301,232,77.08,57,18.94,12,3.99,01010
1,11,303,238,78.55,57,18.81,8,2.64,01011
1,12,338,246,72.78,79,23.37,13,3.85,01012
1,13,124,93,75.0,23,18.55,8,6.45,01013
1,14,353,285,80.74,58,16.43,10,2.83,01014
1,15,277,228,82.31,28,10.11,21,7.58,01015
1,16,224,199,88.84,18,8.04,7,3.13,01016
1,17,260,225,86.54,22,8.46,13,5.0,01017
1,18,304,268,88.16,25,8.22,11,3.62,01018
1,19,361,304,84.21,40,11.08,17,4.71,01019
1,20,252,218,86.51,23,9.13,11,4.37,01020
1,21,299,229,76.59,61,20.4,9,3.01,01021
1,22,157,138,87.9,16,10.19,3,1.91,01022
1,23,413,351,84.99,40,9.69,22,5.33,01023
1,24,231,211,91.34,13,5.63,7,3.03,01024
1,25,201,157,78.11,34,16.92,10,4.98,01025
1,26,192,170,88.54,15,7.81,7,3.65,01026
1,27,266,199,74.81,54,20.3,13,4.89,01027
1,28,158,142,89.87,13,8.23,3,1.9,01028
1,29,286,226,79.02,50,17.48,10,3.5,01029
1,30,307,265,86.32,33,10.75,9,2.93,01030
1,31,287,234,81.53,43,14.98,10,3.48,01031
1,32,282,215,76.24,59,20.92,8,2.84,01032
1,33,307,228,74.27,67,21.82,12,3.91,01033
1,34,237,202,85.23,24,10.13,11,4.64,01034
1,35,312,232,74.36,62,19.87,18,5.77,01035
1,36,325,237,72.92,72,22.15,16,4.92,01036
1,37,320,242,75.63,70,21.88,8,2.5,01037
1,38,267,214,80.15,43,16.1,10,3.75,01038
1,39,231,186,80.52,38,16.45,7,3.03,01039
1,40,283,226,79.86,49,17.31,8,2.83,01040
1,41,202,177,87.62,14,6.93,11,5.45,01041
1,42,91,71,78.02,10,10.99,10,10.99,01042
1,43,209,163,77.99,33,15.79,13,6.22,01043
1,44,185,149,80.54,26,14.05,10,5.41,01044
2,1,290,220,75.86,57,19.66,13,4.48,02001
