ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Sharon M. Brannigan,Sharon M. Brannigan Percent,precinct_id
11,1,315,257,81.59,58,18.41,11001
11,4,262,222,84.73,40,15.27,11004
11,5,321,281,87.54,40,12.46,11005
11,8,272,226,83.09,46,16.91,11008
11,9,293,228,77.82,65,22.18,11009
11,10,276,225,81.52,51,18.48,11010
11,11,332,236,71.08,96,28.92,11011
11,12,482,382,79.25,100,20.75,11012
11,13,444,346,77.93,98,22.07,11013
11,15,136,119,87.5,17,12.5,11015
11,16,225,161,71.56,64,28.44,11016
11,17,321,258,80.37,63,19.63,11017
11,18,257,219,85.21,38,14.79,11018
11,19,341,281,82.4,60,17.6,11019
11,20,236,196,83.05,40,16.95,11020
11,21,448,372,83.04,76,16.96,11021
11,22,366,287,78.42,79,21.58,11022
11,23,201,160,79.6,41,20.4,11023
11,24,426,362,84.98,64,15.02,11024
11,25,310,246,79.35,64,20.65,11025
11,26,392,314,80.1,78,19.9,11026
11,27,104,81,77.88,23,22.12,11027
11,28,161,135,83.85,26,16.15,11028
11,29,383,299,78.07,84,21.93,11029
11,31,324,254,78.4,70,21.6,11031
11,32,151,116,76.82,35,23.18,11032
11,37,1,1,100.0,0,0.0,11037
12,1,264,218,82.58,46,17.42,12001
12,3,240,199,82.92,41,17.08,12003
12,4,243,198,81.48,45,18.52,12004
12,5,85,73,85.88,12,14.12,12005
12,8,5,3,60.0,2,40.0,12008
12,9,213,179,84.04,34,15.96,12009
12,19,247,212,85.83,35,14.17,12019
12,23,264,212,80.3,52,19.7,12023
13,1,268,223,83.21,45,16.79,13001
13,2,278,215,77.34,63,22.66,13002
13,3,182,165,90.66,17,9.34,13003
13,4,333,262,78.68,71,21.32,13004
13,5,294,268,91.16,26,8.84,13005
13,6,290,217,74.83,73,25.17,13006
13,7,205,186,90.73,19,9.27,13007
13,8,237,179,75.53,58,24.47,13008
13,9,255,216,84.71,39,15.29,13009
13,10,302,233,77.15,69,22.85,13010
13,11,344,286,83.14,58,16.86,13011
13,12,228,197,86.4,31,13.6,13012
13,13,303,272,89.77,31,10.23,13013
13,14,221,191,86.43,30,13.57,13014
13,15,396,355,89.65,41,10.35,13015
13,16,171,157,91.81,14,8.19,13016
13,17,260,198,76.15,62,23.85,13017
13,18,235,188,80.0,47,20.0,13018
13,20,199,147,73.87,52,26.13,13020
13,21,346,283,81.79,63,18.21,13021
13,22,325,253,77.85,72,22.15,13022
13,23,193,165,85.49,28,14.51,13023
13,24,243,213,87.65,30,12.35,13024
13,25,262,214,81.68,48,18.32,13025
13,26,263,211,80.23,52,19.77,13026
13,27,254,206,81.1,48,18.9,13027
13,28,183,165,90.16,18,9.84,13028
13,29,198,167,84.34,31,15.66,13029
13,30,165,152,92.12,13,7.88,13030
13,31,295,232,78.64,63,21.36,13031
13,32,260,201,77.31,59,22.69,13032
13,33,289,221,76.47,68,23.53,13033
13,34,292,270,92.47,22,7.53,13034
13,35,240,219,91.25,21,8.75,13035
13,36,141,128,90.78,13,9.22,13036
13,37,317,283,89.27,34,10.73,13037
13,38,252,204,80.95,48,19.05,13038
13,39,252,237,94.05,15,5.95,13039
13,40,219,184,84.02,35,15.98,13040
13,41,227,201,88.55,26,11.45,13041
13,42,302,219,72.52,83,27.48,13042
13,43,287,233,81.18,54,18.82,13043
13,44,332,320,96.39,12,3.61,13044
13,45,328,273,83.23,55,16.77,13045
13,46,271,241,88.93,30,11.07,13046
13,47,218,191,87.61,27,12.39,13047
13,48,266,221,83.08,45,16.92,13048
14,1,384,294,76.56,90,23.44,14001
14,4,291,221,75.95,70,24.05,14004
14,5,24,22,91.67,2,8.33,14005
14,7,281,249,88.61,32,11.39,14007
14,8,229,199,86.9,30,13.1,14008
14,9,347,278,80.12,69,19.88,14009
14,12,271,237,87.45,34,12.55,14012
14,18,113,91,80.53,22,19.47,14018
14,21,230,211,91.74,19,8.26,14021
14,22,280,219,78.21,61,21.79,14022
14,23,248,205,82.66,43,17.34,14023
14,24,410,316,77.07,94,22.93,14024
14,25,0,0,0.0,0,0.0,14025
14,26,157,134,85.35,23,14.65,14026
14,29,214,205,95.79,9,4.21,14029
15,1,186,156,83.87,30,16.13,15001
15,5,36,32,88.89,4,11.11,15005
15,8,70,65,92.86,5,7.14,15008
15,13,180,155,86.11,25,13.89,15013
15,14,157,135,85.99,22,14.01,15014
15,15,120,107,89.17,13,10.83,15015
15,16,208,180,86.54,28,13.46,15016
15,19,223,196,87.89,27,12.11,15019
16,1,160,140,87.5,20,12.5,16001
16,7,4,4,100.0,0,0.0,16007
16,23,165,149,90.3,16,9.7,16023
16,32,197,177,89.85,20,10.15,16032
16,35,73,66,90.41,7,9.59,16035
18,15,316,286,90.51,30,9.49,18015
18,24,258,221,85.66,37,14.34,18024
18,25,280,239,85.36,41,14.64,18025
18,30,306,244,79.74,62,20.26,18030
18,40,319,283,88.71,36,11.29,18040
18,43,223,164,73.54,59,26.46,18043
18,46,301,265,88.04,36,11.96,18046
19,1,362,259,71.55,103,28.45,19001
19,2,74,61,82.43,13,17.57,19002
19,3,309,178,57.61,131,42.39,19003
19,4,444,281,63.29,163,36.71,19004
19,5,130,105,80.77,25,19.23,19005
19,6,387,249,64.34,138,35.66,19006
19,7,380,291,76.58,89,23.42,19007
19,8,441,267,60.54,174,39.46,19008
19,9,265,188,70.94,77,29.06,19009
19,10,412,318,77.18,94,22.82,19010
19,11,356,203,57.02,153,42.98,19011
19,12,322,212,65.84,110,34.16,19012
19,15,483,295,61.08,188,38.92,19015
19,16,429,270,62.94,159,37.06,19016
19,17,339,229,67.55,110,32.45,19017
19,18,371,281,75.74,90,24.26,19018
19,19,472,371,78.6,101,21.4,19019
19,21,370,225,60.81,145,39.19,19021
19,22,408,300,73.53,108,26.47,19022
19,23,398,268,67.34,130,32.66,19023
19,24,310,198,63.87,112,36.13,19024
19,25,292,200,68.49,92,31.51,19025
19,26,405,297,73.33,108,26.67,19026
19,29,392,227,57.91,165,42.09,19029
19,30,343,206,60.06,137,39.94,19030
19,32,371,275,74.12,96,25.88,19032
19,33,396,237,59.85,159,40.15,19033
19,34,366,253,69.13,113,30.87,19034
19,35,348,262,75.29,86,24.71,19035
19,41,360,231,64.17,129,35.83,19041
19,44,433,257,59.35,176,40.65,19044
19,45,387,270,69.77,117,30.23,19045
19,46,439,311,70.84,128,29.16,19046
19,50,302,210,69.54,92,30.46,19050
19,51,436,329,75.46,107,24.54,19051
19,52,409,253,61.86,156,38.14,19052
19,53,359,261,72.7,98,27.3,19053
19,54,328,215,65.55,113,34.45,19054
19,55,350,211,60.29,139,39.71,19055
19,56,429,330,76.92,99,23.08,19056
19,57,274,235,85.77,39,14.23,19057
20,4,23,21,91.3,2,8.7,20004
20,15,107,92,85.98,15,14.02,20015
20,20,16,16,100.0,0,0.0,20020
22,1,235,226,96.17,9,3.83,22001
22,2,318,246,77.36,72,22.64,22002
22,8,336,280,83.33,56,16.67,22008
22,12,246,201,81.71,45,18.29,22012
22,23,397,390,98.24,7,1.76,22023
23,1,328,256,78.05,72,21.95,23001
23,2,314,244,77.71,70,22.29,23002
23,3,329,261,79.33,68,20.67,23003
23,4,340,282,82.94,58,17.06,23004
23,5,212,178,83.96,34,16.04,23005
23,6,265,238,89.81,27,10.19,23006
23,7,216,180,83.33,36,16.67,23007
23,8,291,258,88.66,33,11.34,23008
23,9,97,84,86.6,13,13.4,23009
