ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Susanne Atanus,Susanne Atanus Percent,precinct_id
40,4,203,168,82.76,35,17.24,40004
40,9,268,220,82.09,48,17.91,40009
40,10,215,191,88.84,24,11.16,40010
40,18,238,204,85.71,34,14.29,40018
40,22,329,279,84.8,50,15.2,40022
40,25,57,51,89.47,6,10.53,40025
40,26,396,349,88.13,47,11.87,40026
40,27,437,379,86.73,58,13.27,40027
40,28,370,341,92.16,29,7.84,40028
40,31,328,282,85.98,46,14.02,40031
40,33,338,305,90.24,33,9.76,40033
40,35,247,185,74.9,62,25.1,40035
40,36,333,277,83.18,56,16.82,40036
40,37,332,286,86.14,46,13.86,40037
40,39,84,67,79.76,17,20.24,40039
41,1,355,206,58.03,149,41.97,41001
41,2,416,223,53.61,193,46.39,41002
41,4,407,247,60.69,160,39.31,41004
41,5,408,255,62.5,153,37.5,41005
41,7,418,253,60.53,165,39.47,41007
41,8,413,212,51.33,201,48.67,41008
41,10,426,254,59.62,172,40.38,41010
41,11,280,152,54.29,128,45.71,41011
41,13,426,225,52.82,201,47.18,41013
41,15,450,266,59.11,184,40.89,41015
41,17,66,42,63.64,24,36.36,41017
41,18,333,190,57.06,143,42.94,41018
41,20,321,198,61.68,123,38.32,41020
41,23,210,104,49.52,106,50.48,41023
41,25,215,137,63.72,78,36.28,41025
41,28,318,221,69.5,97,30.5,41028
41,29,228,150,65.79,78,34.21,41029
41,31,423,264,62.41,159,37.59,41031
41,33,59,36,61.02,23,38.98,41033
41,34,351,211,60.11,140,39.89,41034
41,36,396,232,58.59,164,41.41,41036
41,37,410,244,59.51,166,40.49,41037
41,40,469,255,54.37,214,45.63,41040
41,41,370,209,56.49,161,43.51,41041
41,42,388,218,56.19,170,43.81,41042
41,43,360,210,58.33,150,41.67,41043
41,44,418,209,50.0,209,50.0,41044
41,45,195,122,62.56,73,37.44,41045
44,3,320,262,81.88,58,18.13,44003
44,4,420,327,77.86,93,22.14,44004
44,7,345,246,71.3,99,28.7,44007
44,24,384,308,80.21,76,19.79,44024
44,35,472,371,78.6,101,21.4,44035
46,1,364,300,82.42,64,17.58,46001
46,2,298,260,87.25,38,12.75,46002
46,4,346,298,86.13,48,13.87,46004
46,5,6,3,50.0,3,50.0,46005
46,6,295,267,90.51,28,9.49,46006
46,7,494,398,80.57,96,19.43,46007
46,8,257,218,84.82,39,15.18,46008
46,9,333,290,87.09,43,12.91,46009
46,11,324,230,70.99,94,29.01,46011
46,12,247,226,91.5,21,8.5,46012
46,13,336,281,83.63,55,16.37,46013
46,14,436,395,90.6,41,9.4,46014
46,15,359,297,82.73,62,17.27,46015
46,16,193,170,88.08,23,11.92,46016
46,17,430,352,81.86,78,18.14,46017
46,18,347,272,78.39,75,21.61,46018
46,20,307,272,88.6,35,11.4,46020
46,21,254,207,81.5,47,18.5,46021
46,22,261,223,85.44,38,14.56,46022
46,23,295,261,88.47,34,11.53,46023
46,24,287,222,77.35,65,22.65,46024
46,25,290,257,88.62,33,11.38,46025
46,26,307,276,89.9,31,10.1,46026
46,27,354,272,76.84,82,23.16,46027
46,29,315,262,83.17,53,16.83,46029
46,32,376,325,86.44,51,13.56,46032
46,34,370,308,83.24,62,16.76,46034
46,35,433,373,86.14,60,13.86,46035
46,37,230,201,87.39,29,12.61,46037
46,38,63,53,84.13,10,15.87,46038
46,40,320,285,89.06,35,10.94,46040
47,15,415,378,91.08,37,8.92,47015
47,19,425,378,88.94,47,11.06,47019
47,23,406,363,89.41,43,10.59,47023
47,30,186,159,85.48,27,14.52,47030
48,1,341,302,88.56,39,11.44,48001
48,2,214,180,84.11,34,15.89,48002
48,3,420,373,88.81,47,11.19,48003
48,4,297,273,91.92,24,8.08,48004
48,5,269,225,83.64,44,16.36,48005
48,6,399,347,86.97,52,13.03,48006
48,7,407,374,91.89,33,8.11,48007
48,8,244,200,81.97,44,18.03,48008
48,9,287,225,78.4,62,21.6,48009
48,10,504,460,91.27,44,8.73,48010
48,11,351,305,86.89,46,13.11,48011
48,12,434,391,90.09,43,9.91,48012
48,13,519,421,81.12,98,18.88,48013
48,14,253,206,81.42,47,18.58,48014
48,15,248,214,86.29,34,13.71,48015
48,16,369,324,87.8,45,12.2,48016
48,17,373,329,88.2,44,11.8,48017
48,18,323,287,88.85,36,11.15,48018
48,19,287,242,84.32,45,15.68,48019
48,20,405,366,90.37,39,9.63,48020
48,21,422,378,89.57,44,10.43,48021
48,22,405,343,84.69,62,15.31,48022
48,23,411,355,86.37,56,13.63,48023
48,24,380,293,77.11,87,22.89,48024
48,25,397,350,88.16,47,11.84,48025
48,26,211,177,83.89,34,16.11,48026
48,27,397,341,85.89,56,14.11,48027
48,28,500,371,74.2,129,25.8,48028
48,29,245,223,91.02,22,8.98,48029
48,30,332,300,90.36,32,9.64,48030
48,31,477,428,89.73,49,10.27,48031
48,32,290,262,90.34,28,9.66,48032
48,33,251,215,85.66,36,14.34,48033
48,34,345,301,87.25,44,12.75,48034
48,35,295,236,80.0,59,20.0,48035
48,36,274,228,83.21,46,16.79,48036
48,37,356,315,88.48,41,11.52,48037
48,38,415,357,86.02,58,13.98,48038
48,39,370,298,80.54,72,19.46,48039
48,40,329,292,88.75,37,11.25,48040
48,41,391,353,90.28,38,9.72,48041
