ward,precinct,total,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,Mark Calonder,Mark Calonder Percent,precinct_id
1,8,226,177,78.32,49,21.68,01008
1,11,40,28,70.0,12,30.0,01011
1,12,315,204,64.76,111,35.24,01012
1,21,12,8,66.67,4,33.33,01021
1,32,66,51,77.27,15,22.73,01032
1,33,1,0,0.0,1,100.0,01033
1,37,74,40,54.05,34,45.95,01037
2,1,186,134,72.04,52,27.96,02001
2,6,278,214,76.98,64,23.02,02006
2,7,271,199,73.43,72,26.57,02007
2,8,290,203,70.0,87,30.0,02008
2,15,261,188,72.03,73,27.97,02015
2,17,305,214,70.16,91,29.84,02017
2,20,271,150,55.35,121,44.65,02020
2,25,314,232,73.89,82,26.11,02025
24,16,19,19,100.0,0,0.0,24016
24,17,65,64,98.46,1,1.54,24017
24,19,340,332,97.65,8,2.35,24019
24,20,214,209,97.66,5,2.34,24020
24,32,173,172,99.42,1,0.58,24032
24,41,195,190,97.44,5,2.56,24041
26,4,49,47,95.92,2,4.08,26004
26,17,179,89,49.72,90,50.28,26017
26,19,75,71,94.67,4,5.33,26019
26,28,202,136,67.33,66,32.67,26028
26,46,147,76,51.7,71,48.3,26046
27,1,300,188,62.67,112,37.33,27001
27,3,186,181,97.31,5,2.69,27003
27,4,190,174,91.58,16,8.42,27004
27,5,201,191,95.02,10,4.98,27005
27,8,250,243,97.2,7,2.8,27008
27,10,29,29,100.0,0,0.0,27010
27,11,177,109,61.58,68,38.42,27011
27,13,336,326,97.02,10,2.98,27013
27,14,145,143,98.62,2,1.38,27014
27,15,245,238,97.14,7,2.86,27015
27,16,93,56,60.22,37,39.78,27016
27,17,279,263,94.27,16,5.73,27017
27,19,190,176,92.63,14,7.37,27019
27,22,211,206,97.63,5,2.37,27022
27,23,233,225,96.57,8,3.43,27023
27,24,200,194,97.0,6,3.0,27024
27,25,180,150,83.33,30,16.67,27025
27,26,252,241,95.63,11,4.37,27026
27,27,310,284,91.61,26,8.39,27027
27,29,235,230,97.87,5,2.13,27029
27,30,181,177,97.79,4,2.21,27030
27,31,262,256,97.71,6,2.29,27031
27,32,231,215,93.07,16,6.93,27032
27,33,176,148,84.09,28,15.91,27033
27,34,310,302,97.42,8,2.58,27034
27,35,310,199,64.19,111,35.81,27035
27,36,215,200,93.02,15,6.98,27036
27,37,6,6,100.0,0,0.0,27037
27,39,228,221,96.93,7,3.07,27039
27,40,262,198,75.57,64,24.43,27040
27,43,248,234,94.35,14,5.65,27043
27,44,275,271,98.55,4,1.45,27044
27,45,24,20,83.33,4,16.67,27045
27,49,203,202,99.51,1,0.49,27049
27,50,257,255,99.22,2,0.78,27050
28,1,4,4,100.0,0,0.0,28001
28,2,232,224,96.55,8,3.45,28002
28,3,235,227,96.6,8,3.4,28003
28,7,307,302,98.37,5,1.63,28007
28,9,289,284,98.27,5,1.73,28009
28,13,284,276,97.18,8,2.82,28013
28,15,107,105,98.13,2,1.87,28015
28,16,155,154,99.35,1,0.65,28016
28,17,249,246,98.8,3,1.2,28017
28,20,240,233,97.08,7,2.92,28020
28,21,263,259,98.48,4,1.52,28021
28,22,252,244,96.83,8,3.17,28022
28,23,340,331,97.35,9,2.65,28023
28,24,272,264,97.06,8,2.94,28024
28,25,374,362,96.79,12,3.21,28025
28,26,332,330,99.4,2,0.6,28026
28,30,48,47,97.92,1,2.08,28030
28,32,283,275,97.17,8,2.83,28032
28,33,324,305,94.14,19,5.86,28033
28,36,172,170,98.84,2,1.16,28036
28,37,409,406,99.27,3,0.73,28037
28,38,164,162,98.78,2,1.22,28038
28,40,386,379,98.19,7,1.81,28040
28,42,116,113,97.41,3,2.59,28042
28,44,228,227,99.56,1,0.44,28044
29,6,3,3,100.0,0,0.0,29006
32,2,264,164,62.12,100,37.88,32002
32,4,306,206,67.32,100,32.68,32004
32,5,290,210,72.41,80,27.59,32005
32,6,287,198,68.99,89,31.01,32006
32,29,237,171,72.15,66,27.85,32029
32,31,315,206,65.4,109,34.6,32031
32,32,314,218,69.43,96,30.57,32032
32,33,169,112,66.27,57,33.73,32033
32,34,242,165,68.18,77,31.82,32034
32,35,284,184,64.79,100,35.21,32035
32,36,306,206,67.32,100,32.68,32036
32,37,114,81,71.05,33,28.95,32037
37,2,206,193,93.69,13,6.31,37002
37,3,225,215,95.56,10,4.44,37003
37,4,241,234,97.1,7,2.9,37004
37,7,210,200,95.24,10,4.76,37007
37,8,223,216,96.86,7,3.14,37008
37,12,138,130,94.2,8,5.8,37012
37,13,233,232,99.57,1,0.43,37013
37,14,6,6,100.0,0,0.0,37014
37,19,208,205,98.56,3,1.44,37019
37,20,12,12,100.0,0,0.0,37020
37,21,253,235,92.89,18,7.11,37021
37,22,31,29,93.55,2,6.45,37022
37,27,2,1,50.0,1,50.0,37027
37,28,229,217,94.76,12,5.24,37028
37,30,20,20,100.0,0,0.0,37030
43,5,155,85,54.84,70,45.16,43005
43,7,247,165,66.8,82,33.2,43007
43,10,423,205,48.46,218,51.54,43010
43,11,266,121,45.49,145,54.51,43011
43,23,218,130,59.63,88,40.37,43023
