ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,2,184,184,100.0,12002
12,6,178,178,100.0,12006
12,7,159,159,100.0,12007
12,10,153,153,100.0,12010
12,11,198,198,100.0,12011
12,12,172,172,100.0,12012
12,13,35,35,100.0,12013
12,14,128,128,100.0,12014
12,15,164,164,100.0,12015
12,16,141,141,100.0,12016
12,17,123,123,100.0,12017
12,18,163,163,100.0,12018
12,20,219,219,100.0,12020
12,22,146,146,100.0,12022
14,1,24,24,100.0,14001
15,6,181,181,100.0,15006
15,9,18,18,100.0,15009
15,10,123,123,100.0,15010
15,11,93,93,100.0,15011
15,12,25,25,100.0,15012
22,4,43,43,100.0,22004
22,5,5,5,100.0,22005
22,7,33,33,100.0,22007
22,10,243,243,100.0,22010
22,13,107,107,100.0,22013
22,14,171,171,100.0,22014
22,15,96,96,100.0,22015
22,16,141,141,100.0,22016
22,17,23,23,100.0,22017
22,18,65,65,100.0,22018
22,19,2,2,100.0,22019
22,22,151,151,100.0,22022
23,1,89,89,100.0,23001
23,12,231,231,100.0,23012
23,16,223,223,100.0,23016
23,21,242,242,100.0,23021
23,27,227,227,100.0,23027
23,36,263,263,100.0,23036
23,37,145,145,100.0,23037
24,16,182,182,100.0,24016
