ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,10,232,232,100.0,06010
6,17,264,264,100.0,06017
6,19,87,87,100.0,06019
6,20,196,196,100.0,06020
6,22,195,195,100.0,06022
6,25,204,204,100.0,06025
6,26,86,86,100.0,06026
6,27,193,193,100.0,06027
17,2,293,293,100.0,17002
17,4,373,373,100.0,17004
17,5,287,287,100.0,17005
17,9,286,286,100.0,17009
17,10,332,332,100.0,17010
17,11,179,179,100.0,17011
17,15,335,335,100.0,17015
17,18,326,326,100.0,17018
17,20,381,381,100.0,17020
17,21,104,104,100.0,17021
17,22,275,275,100.0,17022
17,23,218,218,100.0,17023
17,24,350,350,100.0,17024
17,26,344,344,100.0,17026
17,27,324,324,100.0,17027
17,28,269,269,100.0,17028
17,29,311,311,100.0,17029
17,32,191,191,100.0,17032
17,34,158,158,100.0,17034
17,37,225,225,100.0,17037
17,38,321,321,100.0,17038
17,39,320,320,100.0,17039
17,40,312,312,100.0,17040
17,41,353,353,100.0,17041
18,4,327,327,100.0,18004
18,6,126,126,100.0,18006
18,7,284,284,100.0,18007
18,8,332,332,100.0,18008
18,9,127,127,100.0,18009
18,10,416,416,100.0,18010
18,12,181,181,100.0,18012
18,13,297,297,100.0,18013
18,14,310,310,100.0,18014
18,16,300,300,100.0,18016
18,18,289,289,100.0,18018
18,19,312,312,100.0,18019
18,20,283,283,100.0,18020
18,21,129,129,100.0,18021
18,22,377,377,100.0,18022
18,26,296,296,100.0,18026
18,29,11,11,100.0,18029
18,32,48,48,100.0,18032
18,33,30,30,100.0,18033
18,35,335,335,100.0,18035
18,36,271,271,100.0,18036
18,37,326,326,100.0,18037
18,38,319,319,100.0,18038
18,41,362,362,100.0,18041
21,2,172,172,100.0,21002
21,4,344,344,100.0,21004
21,13,33,33,100.0,21013
21,15,209,209,100.0,21015
21,17,42,42,100.0,21017
21,20,200,200,100.0,21020
21,26,302,302,100.0,21026
21,28,391,391,100.0,21028
21,30,253,253,100.0,21030
21,34,186,186,100.0,21034
21,43,327,327,100.0,21043
21,44,98,98,100.0,21044
21,47,293,293,100.0,21047
21,51,360,360,100.0,21051
21,52,291,291,100.0,21052
21,53,131,131,100.0,21053
21,54,259,259,100.0,21054
