ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,327,327,100.0,29001
29,4,375,375,100.0,29004
29,5,288,288,100.0,29005
29,7,271,271,100.0,29007
29,9,313,313,100.0,29009
29,10,347,347,100.0,29010
29,12,350,350,100.0,29012
29,13,320,320,100.0,29013
29,15,347,347,100.0,29015
29,17,267,267,100.0,29017
29,23,218,218,100.0,29023
29,24,231,231,100.0,29024
29,25,346,346,100.0,29025
29,26,313,313,100.0,29026
29,27,245,245,100.0,29027
29,30,150,150,100.0,29030
29,33,244,244,100.0,29033
29,35,227,227,100.0,29035
29,36,32,32,100.0,29036
29,37,299,299,100.0,29037
29,40,341,341,100.0,29040
29,41,271,271,100.0,29041
29,43,356,356,100.0,29043
29,44,404,404,100.0,29044
37,18,269,269,100.0,37018
37,29,147,147,100.0,37029
37,35,288,288,100.0,37035
37,37,313,313,100.0,37037
