ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,precinct_id
6,1,349,349,100.0,06001
6,2,337,337,100.0,06002
6,3,343,343,100.0,06003
6,8,319,319,100.0,06008
6,13,252,252,100.0,06013
6,14,306,306,100.0,06014
6,16,149,149,100.0,06016
6,19,53,53,100.0,06019
6,29,363,363,100.0,06029
6,31,319,319,100.0,06031
6,34,312,312,100.0,06034
6,35,293,293,100.0,06035
6,36,362,362,100.0,06036
6,37,357,357,100.0,06037
6,38,321,321,100.0,06038
6,41,323,323,100.0,06041
6,42,333,333,100.0,06042
6,43,114,114,100.0,06043
6,44,327,327,100.0,06044
6,45,330,330,100.0,06045
6,46,243,243,100.0,06046
7,1,264,264,100.0,07001
7,2,279,279,100.0,07002
7,3,291,291,100.0,07003
7,4,277,277,100.0,07004
7,5,270,270,100.0,07005
7,6,349,349,100.0,07006
7,7,284,284,100.0,07007
7,8,240,240,100.0,07008
7,9,502,502,100.0,07009
7,10,309,309,100.0,07010
7,11,317,317,100.0,07011
7,12,291,291,100.0,07012
7,13,227,227,100.0,07013
7,14,284,284,100.0,07014
7,15,325,325,100.0,07015
7,16,229,229,100.0,07016
7,17,257,257,100.0,07017
7,18,259,259,100.0,07018
7,19,282,282,100.0,07019
7,20,214,214,100.0,07020
7,21,256,256,100.0,07021
7,22,221,221,100.0,07022
7,23,316,316,100.0,07023
7,24,292,292,100.0,07024
7,25,249,249,100.0,07025
7,26,248,248,100.0,07026
7,27,258,258,100.0,07027
7,28,197,197,100.0,07028
7,29,252,252,100.0,07029
7,30,228,228,100.0,07030
7,31,175,175,100.0,07031
7,32,412,412,100.0,07032
7,33,386,386,100.0,07033
7,34,382,382,100.0,07034
7,35,302,302,100.0,07035
7,36,359,359,100.0,07036
7,37,344,344,100.0,07037
7,38,243,243,100.0,07038
7,39,282,282,100.0,07039
7,40,298,298,100.0,07040
7,41,283,283,100.0,07041
7,42,270,270,100.0,07042
7,43,298,298,100.0,07043
7,44,278,278,100.0,07044
7,45,299,299,100.0,07045
7,46,99,99,100.0,07046
8,3,368,368,100.0,08003
8,4,350,350,100.0,08004
8,5,377,377,100.0,08005
8,6,316,316,100.0,08006
8,7,377,377,100.0,08007
8,8,294,294,100.0,08008
8,9,42,42,100.0,08009
8,10,407,407,100.0,08010
8,11,313,313,100.0,08011
8,12,292,292,100.0,08012
8,15,292,292,100.0,08015
8,17,276,276,100.0,08017
8,19,376,376,100.0,08019
8,22,280,280,100.0,08022
8,23,273,273,100.0,08023
8,24,203,203,100.0,08024
8,25,292,292,100.0,08025
8,27,341,341,100.0,08027
8,28,86,86,100.0,08028
8,29,367,367,100.0,08029
8,30,315,315,100.0,08030
8,31,294,294,100.0,08031
8,32,256,256,100.0,08032
8,33,283,283,100.0,08033
8,34,303,303,100.0,08034
8,35,327,327,100.0,08035
8,36,335,335,100.0,08036
8,37,269,269,100.0,08037
8,38,215,215,100.0,08038
8,39,341,341,100.0,08039
8,40,231,231,100.0,08040
8,41,326,326,100.0,08041
8,44,212,212,100.0,08044
8,46,265,265,100.0,08046
8,47,245,245,100.0,08047
8,48,218,218,100.0,08048
8,49,334,334,100.0,08049
8,50,332,332,100.0,08050
8,51,421,421,100.0,08051
8,52,397,397,100.0,08052
8,53,181,181,100.0,08053
8,56,330,330,100.0,08056
9,1,128,128,100.0,09001
9,2,103,103,100.0,09002
9,8,297,297,100.0,09008
9,10,293,293,100.0,09010
9,12,340,340,100.0,09012
9,17,200,200,100.0,09017
9,20,324,324,100.0,09020
9,21,264,264,100.0,09021
9,23,317,317,100.0,09023
9,24,339,339,100.0,09024
9,25,296,296,100.0,09025
9,27,287,287,100.0,09027
9,30,237,237,100.0,09030
9,36,274,274,100.0,09036
9,37,306,306,100.0,09037
9,42,327,327,100.0,09042
9,46,72,72,100.0,09046
9,47,351,351,100.0,09047
9,48,329,329,100.0,09048
9,49,309,309,100.0,09049
