ward,precinct,total,Frank L Mc Partlin,Frank L Mc Partlin Percent,Peter N. Silvestri,Peter N. Silvestri Percent,precinct_id
38,2,380,96,25.26,284,74.74,38002
38,3,276,133,48.19,143,51.81,38003
38,4,304,137,45.07,167,54.93,38004
38,5,285,127,44.56,158,55.44,38005
38,6,276,130,47.1,146,52.9,38006
38,7,311,126,40.51,185,59.49,38007
38,9,343,144,41.98,199,58.02,38009
38,12,324,109,33.64,215,66.36,38012
38,13,318,140,44.03,178,55.97,38013
38,16,305,160,52.46,145,47.54,38016
38,17,347,146,42.07,201,57.93,38017
38,19,293,137,46.76,156,53.24,38019
38,20,306,115,37.58,191,62.42,38020
38,24,352,154,43.75,198,56.25,38024
38,26,160,84,52.5,76,47.5,38026
38,27,285,144,50.53,141,49.47,38027
38,28,392,175,44.64,217,55.36,38028
38,29,256,143,55.86,113,44.14,38029
38,30,292,121,41.44,171,58.56,38030
38,38,264,126,47.73,138,52.27,38038
41,1,344,119,34.59,225,65.41,41001
41,2,408,141,34.56,267,65.44,41002
41,3,336,138,41.07,198,58.93,41003
41,4,390,136,34.87,254,65.13,41004
41,5,409,175,42.79,234,57.21,41005
41,6,442,149,33.71,293,66.29,41006
41,7,392,138,35.2,254,64.8,41007
41,8,405,127,31.36,278,68.64,41008
41,9,347,130,37.46,217,62.54,41009
41,10,419,150,35.8,269,64.2,41010
41,11,394,164,41.62,230,58.38,41011
41,12,321,131,40.81,190,59.19,41012
41,13,422,131,31.04,291,68.96,41013
41,14,442,141,31.9,301,68.1,41014
41,15,442,168,38.01,274,61.99,41015
41,16,339,146,43.07,193,56.93,41016
41,17,374,151,40.37,223,59.63,41017
41,18,316,94,29.75,222,70.25,41018
41,19,247,83,33.6,164,66.4,41019
41,20,311,130,41.8,181,58.2,41020
41,21,379,154,40.63,225,59.37,41021
41,22,403,155,38.46,248,61.54,41022
41,23,380,99,26.05,281,73.95,41023
41,24,313,107,34.19,206,65.81,41024
41,25,201,86,42.79,115,57.21,41025
41,26,385,150,38.96,235,61.04,41026
41,27,284,111,39.08,173,60.92,41027
41,28,298,183,61.41,115,38.59,41028
41,29,207,103,49.76,104,50.24,41029
41,30,381,171,44.88,210,55.12,41030
41,31,402,161,40.05,241,59.95,41031
41,32,286,117,40.91,169,59.09,41032
41,33,339,117,34.51,222,65.49,41033
41,34,335,116,34.63,219,65.37,41034
41,35,442,143,32.35,299,67.65,41035
41,36,381,120,31.5,261,68.5,41036
41,37,402,138,34.33,264,65.67,41037
41,38,314,136,43.31,178,56.69,41038
41,39,388,149,38.4,239,61.6,41039
41,40,443,138,31.15,305,68.85,41040
41,41,367,120,32.7,247,67.3,41041
41,42,378,116,30.69,262,69.31,41042
41,43,345,124,35.94,221,64.06,41043
41,44,403,134,33.25,269,66.75,41044
41,45,322,135,41.93,187,58.07,41045
41,46,383,146,38.12,237,61.88,41046
41,47,384,156,40.63,228,59.38,41047
