ward,precinct,total,JAMES A. BALCER,JAMES A. BALCER Percent,CARL A. SEGVICH,CARL A. SEGVICH Percent,precinct_id
11,1,266,223,83.83,43,16.17,11001
11,2,210,181,86.19,29,13.81,11002
11,3,196,167,85.2,29,14.8,11003
11,4,319,277,86.83,42,13.17,11004
11,5,151,117,77.48,34,22.52,11005
11,6,309,254,82.2,55,17.8,11006
11,7,244,211,86.48,33,13.52,11007
11,8,258,227,87.98,31,12.02,11008
11,9,251,214,85.26,37,14.74,11009
11,10,156,139,89.1,17,10.9,11010
11,11,282,222,78.72,60,21.28,11011
11,12,326,298,91.41,28,8.59,11012
11,13,269,211,78.44,58,21.56,11013
11,14,276,222,80.43,54,19.57,11014
11,15,236,198,83.9,38,16.1,11015
11,16,250,215,86.0,35,14.0,11016
11,17,292,231,79.11,61,20.89,11017
11,18,187,156,83.42,31,16.58,11018
11,19,208,176,84.62,32,15.38,11019
11,20,223,207,92.83,16,7.17,11020
11,21,277,254,91.7,23,8.3,11021
11,22,241,215,89.21,26,10.79,11022
11,23,231,194,83.98,37,16.02,11023
11,24,485,448,92.37,37,7.63,11024
11,25,191,164,85.86,27,14.14,11025
11,26,341,286,83.87,55,16.13,11026
11,27,277,211,76.17,66,23.83,11027
11,28,242,225,92.98,17,7.02,11028
11,29,322,299,92.86,23,7.14,11029
11,30,228,203,89.04,25,10.96,11030
11,31,272,183,67.28,89,32.72,11031
11,32,221,202,91.4,19,8.6,11032
11,33,208,186,89.42,22,10.58,11033
11,34,187,128,68.45,59,31.55,11034
11,35,339,311,91.74,28,8.26,11035
11,36,90,83,92.22,7,7.78,11036
11,37,272,235,86.4,37,13.6,11037
11,38,395,334,84.56,61,15.44,11038
11,39,393,331,84.22,62,15.78,11039
11,40,162,129,79.63,33,20.37,11040
11,41,176,150,85.23,26,14.77,11041
11,42,206,180,87.38,26,12.62,11042
11,43,379,306,80.74,73,19.26,11043
11,44,254,219,86.22,35,13.78,11044
11,45,156,122,78.21,34,21.79,11045
11,46,179,158,88.27,21,11.73,11046
11,47,281,240,85.41,41,14.59,11047
11,48,144,126,87.5,18,12.5,11048
11,49,244,216,88.52,28,11.48,11049
11,50,215,183,85.12,32,14.88,11050
