ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,HARRY DODSON,HARRY DODSON Percent,HENRY D. MOSES,HENRY D. MOSES Percent,DOROTHY J. SIMMONS,DOROTHY J. SIMMONS Percent,TIFFANY B. BURRELL,TIFFANY B. BURRELL Percent,precinct_id
34,1,250,213,85.2,14,5.6,6,2.4,10,4.0,7,2.8,34001
34,2,212,156,73.58,8,3.77,3,1.42,21,9.91,24,11.32,34002
34,3,118,79,66.95,4,3.39,8,6.78,19,16.1,8,6.78,34003
34,4,158,97,61.39,4,2.53,17,10.76,34,21.52,6,3.8,34004
34,5,99,78,78.79,3,3.03,9,9.09,4,4.04,5,5.05,34005
34,6,107,82,76.64,5,4.67,2,1.87,12,11.21,6,5.61,34006
34,7,259,220,84.94,18,6.95,6,2.32,6,2.32,9,3.47,34007
34,8,202,172,85.15,5,2.48,6,2.97,6,2.97,13,6.44,34008
34,9,130,94,72.31,9,6.92,3,2.31,13,10.0,11,8.46,34009
34,10,254,198,77.95,30,11.81,5,1.97,10,3.94,11,4.33,34010
34,11,133,101,75.94,8,6.02,6,4.51,11,8.27,7,5.26,34011
34,12,162,122,75.31,8,4.94,4,2.47,5,3.09,23,14.2,34012
34,13,155,120,77.42,17,10.97,2,1.29,12,7.74,4,2.58,34013
34,14,106,65,61.32,7,6.6,7,6.6,21,19.81,6,5.66,34014
34,15,127,88,69.29,5,3.94,13,10.24,12,9.45,9,7.09,34015
34,16,118,64,54.24,5,4.24,27,22.88,13,11.02,9,7.63,34016
34,17,127,78,61.42,3,2.36,19,14.96,7,5.51,20,15.75,34017
34,18,125,80,64.0,9,7.2,2,1.6,26,20.8,8,6.4,34018
34,19,122,95,77.87,2,1.64,9,7.38,11,9.02,5,4.1,34019
34,20,263,212,80.61,9,3.42,6,2.28,4,1.52,32,12.17,34020
34,21,206,157,76.21,8,3.88,6,2.91,9,4.37,26,12.62,34021
34,22,231,176,76.19,14,6.06,12,5.19,10,4.33,19,8.23,34022
34,23,142,101,71.13,4,2.82,7,4.93,23,16.2,7,4.93,34023
34,24,171,123,71.93,1,0.58,7,4.09,12,7.02,28,16.37,34024
34,25,94,72,76.6,2,2.13,3,3.19,10,10.64,7,7.45,34025
34,26,122,75,61.48,3,2.46,14,11.48,20,16.39,10,8.2,34026
34,27,96,71,73.96,5,5.21,3,3.13,14,14.58,3,3.13,34027
34,28,123,108,87.8,4,3.25,7,5.69,2,1.63,2,1.63,34028
34,29,222,166,74.77,10,4.5,4,1.8,8,3.6,34,15.32,34029
34,30,273,191,69.96,24,8.79,12,4.4,27,9.89,19,6.96,34030
34,31,89,63,70.79,2,2.25,10,11.24,10,11.24,4,4.49,34031
34,32,227,169,74.45,7,3.08,1,0.44,19,8.37,31,13.66,34032
34,33,84,67,79.76,1,1.19,2,2.38,3,3.57,11,13.1,34033
34,34,189,133,70.37,3,1.59,11,5.82,21,11.11,21,11.11,34034
34,35,203,166,81.77,2,0.99,8,3.94,16,7.88,11,5.42,34035
34,36,237,156,65.82,6,2.53,14,5.91,34,14.35,27,11.39,34036
34,37,99,82,82.83,0,0.0,2,2.02,10,10.1,5,5.05,34037
34,38,112,91,81.25,1,0.89,1,0.89,11,9.82,8,7.14,34038
34,39,108,66,61.11,13,12.04,5,4.63,13,12.04,11,10.19,34039
34,40,189,112,59.26,9,4.76,5,2.65,10,5.29,53,28.04,34040
34,41,147,88,59.86,6,4.08,11,7.48,24,16.33,18,12.24,34041
34,42,216,136,62.96,9,4.17,13,6.02,42,19.44,16,7.41,34042
34,43,208,157,75.48,6,2.88,8,3.85,23,11.06,14,6.73,34043
34,44,290,221,76.21,14,4.83,4,1.38,26,8.97,25,8.62,34044
34,45,245,157,64.08,7,2.86,8,3.27,49,20.0,24,9.8,34045
34,46,135,108,80.0,5,3.7,7,5.19,7,5.19,8,5.93,34046
34,47,90,64,71.11,13,14.44,1,1.11,6,6.67,6,6.67,34047
34,48,193,135,69.95,10,5.18,7,3.63,23,11.92,18,9.33,34048
34,49,197,157,79.7,7,3.55,15,7.61,6,3.05,12,6.09,34049
34,50,165,105,63.64,4,2.42,10,6.06,17,10.3,29,17.58,34050
34,51,255,169,66.27,4,1.57,6,2.35,12,4.71,64,25.1,34051
34,52,131,88,67.18,6,4.58,19,14.5,9,6.87,9,6.87,34052
34,53,142,97,68.31,4,2.82,13,9.15,22,15.49,6,4.23,34053
34,54,139,89,64.03,3,2.16,28,20.14,13,9.35,6,4.32,34054
34,55,113,88,77.88,4,3.54,8,7.08,8,7.08,5,4.42,34055
34,56,115,72,62.61,2,1.74,12,10.43,24,20.87,5,4.35,34056
34,57,84,56,66.67,2,2.38,13,15.48,9,10.71,4,4.76,34057
34,58,149,99,66.44,2,1.34,17,11.41,28,18.79,3,2.01,34058
34,59,148,101,68.24,1,0.68,27,18.24,11,7.43,8,5.41,34059
34,60,101,68,67.33,2,1.98,13,12.87,12,11.88,6,5.94,34060
34,61,92,62,67.39,3,3.26,4,4.35,15,16.3,8,8.7,34061
34,62,194,136,70.1,5,2.58,7,3.61,19,9.79,27,13.92,34062
34,63,152,113,74.34,3,1.97,9,5.92,19,12.5,8,5.26,34063
34,64,47,38,80.85,3,6.38,2,4.26,0,0.0,4,8.51,34064
34,65,65,55,84.62,0,0.0,4,6.15,2,3.08,4,6.15,34065
34,66,177,118,66.67,38,21.47,4,2.26,7,3.95,10,5.65,34066
34,67,151,91,60.26,31,20.53,3,1.99,15,9.93,11,7.28,34067
34,68,87,68,78.16,4,4.6,6,6.9,1,1.15,8,9.2,34068
34,69,133,105,78.95,1,0.75,3,2.26,11,8.27,13,9.77,34069
34,70,168,127,75.6,6,3.57,8,4.76,3,1.79,24,14.29,34070
34,71,140,100,71.43,12,8.57,7,5.0,3,2.14,18,12.86,34071
34,72,110,75,68.18,22,20.0,2,1.82,5,4.55,6,5.45,34072
34,73,149,86,57.72,60,40.27,0,0.0,2,1.34,1,0.67,34073
