ward,precinct,total,NORMAN H. BOLDEN,NORMAN H. BOLDEN Percent,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,precinct_id
4,1,150,46,30.67,104,69.33,04001
4,2,240,49,20.42,191,79.58,04002
4,3,255,73,28.63,182,71.37,04003
4,4,279,159,56.99,120,43.01,04004
4,5,211,119,56.4,92,43.6,04005
4,6,98,48,48.98,50,51.02,04006
4,7,168,63,37.5,105,62.5,04007
4,8,197,68,34.52,129,65.48,04008
4,9,397,115,28.97,282,71.03,04009
4,10,189,89,47.09,100,52.91,04010
4,11,186,60,32.26,126,67.74,04011
4,12,101,47,46.53,54,53.47,04012
4,13,157,50,31.85,107,68.15,04013
4,14,115,44,38.26,71,61.74,04014
4,15,86,47,54.65,39,45.35,04015
4,16,239,84,35.15,155,64.85,04016
4,17,244,57,23.36,187,76.64,04017
4,18,201,76,37.81,125,62.19,04018
4,19,212,46,21.7,166,78.3,04019
4,20,65,28,43.08,37,56.92,04020
4,21,236,60,25.42,176,74.58,04021
4,22,219,88,40.18,131,59.82,04022
4,23,147,46,31.29,101,68.71,04023
4,24,223,58,26.01,165,73.99,04024
4,25,209,80,38.28,129,61.72,04025
4,26,205,74,36.1,131,63.9,04026
4,27,240,89,37.08,151,62.92,04027
4,28,130,31,23.85,99,76.15,04028
4,29,141,35,24.82,106,75.18,04029
4,30,63,26,41.27,37,58.73,04030
4,31,51,22,43.14,29,56.86,04031
4,32,184,46,25.0,138,75.0,04032
4,33,78,28,35.9,50,64.1,04033
4,34,131,28,21.37,103,78.63,04034
4,35,94,41,43.62,53,56.38,04035
4,36,100,42,42.0,58,58.0,04036
4,37,125,72,57.6,53,42.4,04037
4,38,266,71,26.69,195,73.31,04038
4,39,100,45,45.0,55,55.0,04039
4,40,156,41,26.28,115,73.72,04040
4,41,80,16,20.0,64,80.0,04041
4,42,249,39,15.66,210,84.34,04042
4,43,121,29,23.97,92,76.03,04043
4,44,104,27,25.96,77,74.04,04044
4,45,335,105,31.34,230,68.66,04045
4,46,152,50,32.89,102,67.11,04046
4,47,216,64,29.63,152,70.37,04047
4,48,256,72,28.13,184,71.88,04048
4,49,104,28,26.92,76,73.08,04049
4,50,190,63,33.16,127,66.84,04050
4,51,246,60,24.39,186,75.61,04051
4,52,35,11,31.43,24,68.57,04052
4,53,206,47,22.82,159,77.18,04053
4,54,89,19,21.35,70,78.65,04054
4,55,104,33,31.73,71,68.27,04055
4,56,242,46,19.01,196,80.99,04056
4,57,121,26,21.49,95,78.51,04057
