ward,precinct,total,VALARIE E. TURNER,VALARIE E. TURNER Percent,precinct_id
9,1,269,269,100.0,09001
9,2,253,253,100.0,09002
9,3,146,146,100.0,09003
9,4,294,294,100.0,09004
9,5,256,256,100.0,09005
9,6,239,239,100.0,09006
9,7,228,228,100.0,09007
9,8,174,174,100.0,09008
9,9,257,257,100.0,09009
9,10,225,225,100.0,09010
9,11,137,137,100.0,09011
9,12,230,230,100.0,09012
9,14,316,316,100.0,09014
9,15,92,92,100.0,09015
9,16,239,239,100.0,09016
9,17,215,215,100.0,09017
9,18,250,250,100.0,09018
9,19,248,248,100.0,09019
9,20,253,253,100.0,09020
9,21,174,174,100.0,09021
9,22,278,278,100.0,09022
9,23,165,165,100.0,09023
9,24,113,113,100.0,09024
9,25,105,105,100.0,09025
9,26,145,145,100.0,09026
9,27,134,134,100.0,09027
9,28,158,158,100.0,09028
9,29,195,195,100.0,09029
9,30,201,201,100.0,09030
9,31,185,185,100.0,09031
9,32,246,246,100.0,09032
9,33,144,144,100.0,09033
9,34,229,229,100.0,09034
9,36,134,134,100.0,09036
9,37,180,180,100.0,09037
9,38,225,225,100.0,09038
9,39,238,238,100.0,09039
9,40,248,248,100.0,09040
9,41,272,272,100.0,09041
9,42,185,185,100.0,09042
9,43,174,174,100.0,09043
9,44,159,159,100.0,09044
9,45,241,241,100.0,09045
9,46,212,212,100.0,09046
9,47,141,141,100.0,09047
9,48,235,235,100.0,09048
9,49,92,92,100.0,09049
9,50,90,90,100.0,09050
9,51,164,164,100.0,09051
9,53,187,187,100.0,09053
9,55,123,123,100.0,09055
9,57,128,128,100.0,09057
18,24,256,256,100.0,18024
18,25,231,231,100.0,18025
18,45,216,216,100.0,18045
18,46,185,185,100.0,18046
19,43,15,15,100.0,19043
19,50,4,4,100.0,19050
19,60,235,235,100.0,19060
21,1,316,316,100.0,21001
21,3,347,347,100.0,21003
21,4,286,286,100.0,21004
21,5,230,230,100.0,21005
21,6,227,227,100.0,21006
21,7,230,230,100.0,21007
21,8,250,250,100.0,21008
21,9,214,214,100.0,21009
21,10,154,154,100.0,21010
21,11,232,232,100.0,21011
21,12,242,242,100.0,21012
21,13,120,120,100.0,21013
21,14,215,215,100.0,21014
21,18,228,228,100.0,21018
21,19,194,194,100.0,21019
21,20,2,2,100.0,21020
21,21,252,252,100.0,21021
21,22,236,236,100.0,21022
21,23,171,171,100.0,21023
21,24,235,235,100.0,21024
21,25,186,186,100.0,21025
21,26,170,170,100.0,21026
21,27,280,280,100.0,21027
