ward,precinct,total,JANET ADAMS BROSNAHAN,JANET ADAMS BROSNAHAN Percent,precinct_id
13,1,191,191,100.0,13001
13,2,160,160,100.0,13002
13,3,189,189,100.0,13003
13,4,271,271,100.0,13004
13,5,170,170,100.0,13005
13,6,180,180,100.0,13006
13,7,165,165,100.0,13007
13,8,191,191,100.0,13008
13,9,186,186,100.0,13009
13,10,179,179,100.0,13010
13,11,159,159,100.0,13011
13,12,201,201,100.0,13012
13,13,197,197,100.0,13013
13,14,130,130,100.0,13014
13,15,202,202,100.0,13015
13,16,150,150,100.0,13016
13,17,202,202,100.0,13017
13,18,143,143,100.0,13018
13,19,132,132,100.0,13019
13,20,170,170,100.0,13020
13,21,128,128,100.0,13021
13,22,158,158,100.0,13022
13,23,115,115,100.0,13023
13,24,197,197,100.0,13024
13,25,157,157,100.0,13025
13,26,128,128,100.0,13026
13,27,230,230,100.0,13027
13,28,142,142,100.0,13028
13,29,190,190,100.0,13029
13,30,148,148,100.0,13030
13,31,172,172,100.0,13031
13,32,174,174,100.0,13032
13,33,165,165,100.0,13033
13,34,166,166,100.0,13034
13,35,193,193,100.0,13035
13,36,116,116,100.0,13036
13,37,127,127,100.0,13037
13,38,202,202,100.0,13038
13,39,161,161,100.0,13039
13,40,177,177,100.0,13040
13,41,132,132,100.0,13041
13,42,179,179,100.0,13042
13,43,136,136,100.0,13043
13,44,169,169,100.0,13044
13,45,242,242,100.0,13045
13,46,161,161,100.0,13046
13,47,167,167,100.0,13047
13,48,177,177,100.0,13048
13,49,197,197,100.0,13049
13,50,192,192,100.0,13050
13,51,157,157,100.0,13051
13,52,207,207,100.0,13052
13,53,205,205,100.0,13053
13,54,168,168,100.0,13054
14,1,91,91,100.0,14001
14,2,105,105,100.0,14002
14,3,158,158,100.0,14003
14,4,97,97,100.0,14004
14,6,99,99,100.0,14006
14,9,136,136,100.0,14009
14,13,140,140,100.0,14013
14,25,108,108,100.0,14025
14,27,90,90,100.0,14027
14,28,133,133,100.0,14028
14,35,58,58,100.0,14035
15,1,77,77,100.0,15001
15,8,139,139,100.0,15008
15,10,103,103,100.0,15010
15,14,131,131,100.0,15014
15,16,102,102,100.0,15016
15,28,164,164,100.0,15028
15,34,108,108,100.0,15034
15,41,149,149,100.0,15041
15,46,40,40,100.0,15046
15,51,22,22,100.0,15051
16,17,158,158,100.0,16017
16,39,32,32,100.0,16039
17,11,156,156,100.0,17011
17,32,160,160,100.0,17032
17,40,105,105,100.0,17040
17,56,155,155,100.0,17056
17,57,162,162,100.0,17057
17,58,6,6,100.0,17058
17,59,95,95,100.0,17059
17,60,187,187,100.0,17060
17,61,137,137,100.0,17061
17,62,124,124,100.0,17062
17,63,127,127,100.0,17063
17,64,106,106,100.0,17064
18,1,122,122,100.0,18001
18,2,182,182,100.0,18002
18,3,168,168,100.0,18003
18,4,212,212,100.0,18004
18,5,170,170,100.0,18005
18,6,165,165,100.0,18006
18,7,160,160,100.0,18007
18,8,69,69,100.0,18008
18,9,220,220,100.0,18009
18,10,296,296,100.0,18010
18,11,178,178,100.0,18011
18,12,249,249,100.0,18012
18,13,206,206,100.0,18013
18,14,216,216,100.0,18014
18,15,124,124,100.0,18015
18,16,194,194,100.0,18016
18,17,156,156,100.0,18017
18,18,197,197,100.0,18018
18,19,146,146,100.0,18019
18,21,260,260,100.0,18021
18,22,214,214,100.0,18022
18,23,160,160,100.0,18023
18,26,162,162,100.0,18026
18,27,176,176,100.0,18027
18,28,215,215,100.0,18028
18,29,197,197,100.0,18029
18,31,183,183,100.0,18031
18,32,233,233,100.0,18032
18,33,156,156,100.0,18033
18,34,251,251,100.0,18034
18,35,250,250,100.0,18035
18,36,158,158,100.0,18036
18,37,140,140,100.0,18037
18,39,145,145,100.0,18039
18,40,227,227,100.0,18040
18,41,198,198,100.0,18041
18,42,143,143,100.0,18042
18,43,171,171,100.0,18043
18,44,114,114,100.0,18044
18,47,162,162,100.0,18047
18,48,142,142,100.0,18048
18,49,138,138,100.0,18049
18,50,185,185,100.0,18050
18,54,189,189,100.0,18054
18,55,214,214,100.0,18055
18,56,157,157,100.0,18056
18,57,158,158,100.0,18057
18,58,184,184,100.0,18058
18,59,125,125,100.0,18059
18,62,149,149,100.0,18062
18,64,159,159,100.0,18064
19,1,259,259,100.0,19001
19,2,204,204,100.0,19002
19,3,201,201,100.0,19003
19,4,212,212,100.0,19004
19,5,214,214,100.0,19005
19,6,223,223,100.0,19006
19,7,229,229,100.0,19007
19,8,186,186,100.0,19008
19,9,182,182,100.0,19009
19,10,294,294,100.0,19010
19,11,235,235,100.0,19011
19,12,210,210,100.0,19012
19,13,185,185,100.0,19013
19,14,158,158,100.0,19014
19,15,123,123,100.0,19015
19,16,265,265,100.0,19016
19,17,239,239,100.0,19017
19,18,276,276,100.0,19018
19,19,252,252,100.0,19019
19,20,202,202,100.0,19020
19,21,198,198,100.0,19021
19,22,260,260,100.0,19022
19,23,280,280,100.0,19023
19,24,179,179,100.0,19024
19,25,253,253,100.0,19025
19,26,235,235,100.0,19026
19,27,148,148,100.0,19027
19,28,268,268,100.0,19028
19,29,206,206,100.0,19029
19,30,209,209,100.0,19030
19,31,212,212,100.0,19031
19,32,284,284,100.0,19032
19,33,238,238,100.0,19033
19,34,240,240,100.0,19034
19,35,224,224,100.0,19035
19,36,254,254,100.0,19036
19,37,218,218,100.0,19037
19,38,286,286,100.0,19038
19,39,137,137,100.0,19039
19,40,213,213,100.0,19040
19,41,222,222,100.0,19041
19,42,196,196,100.0,19042
19,43,201,201,100.0,19043
19,44,177,177,100.0,19044
19,45,264,264,100.0,19045
19,46,294,294,100.0,19046
19,47,160,160,100.0,19047
19,48,175,175,100.0,19048
19,49,262,262,100.0,19049
19,50,210,210,100.0,19050
19,51,205,205,100.0,19051
19,52,207,207,100.0,19052
19,53,224,224,100.0,19053
19,54,174,174,100.0,19054
19,55,207,207,100.0,19055
19,56,274,274,100.0,19056
19,57,251,251,100.0,19057
19,58,229,229,100.0,19058
19,59,252,252,100.0,19059
19,61,273,273,100.0,19061
19,62,221,221,100.0,19062
19,63,157,157,100.0,19063
19,64,276,276,100.0,19064
19,65,154,154,100.0,19065
19,66,202,202,100.0,19066
19,67,44,44,100.0,19067
21,20,60,60,100.0,21020
23,1,196,196,100.0,23001
23,2,231,231,100.0,23002
23,3,188,188,100.0,23003
23,4,182,182,100.0,23004
23,5,156,156,100.0,23005
23,6,195,195,100.0,23006
23,7,85,85,100.0,23007
23,8,214,214,100.0,23008
23,9,151,151,100.0,23009
23,10,213,213,100.0,23010
23,11,213,213,100.0,23011
23,12,180,180,100.0,23012
23,13,253,253,100.0,23013
23,14,74,74,100.0,23014
23,15,227,227,100.0,23015
23,16,219,219,100.0,23016
23,17,244,244,100.0,23017
23,18,166,166,100.0,23018
23,19,200,200,100.0,23019
23,20,188,188,100.0,23020
23,21,152,152,100.0,23021
23,22,207,207,100.0,23022
23,23,182,182,100.0,23023
23,24,130,130,100.0,23024
23,25,128,128,100.0,23025
23,26,197,197,100.0,23026
23,27,203,203,100.0,23027
23,28,206,206,100.0,23028
23,29,159,159,100.0,23029
23,30,208,208,100.0,23030
23,32,219,219,100.0,23032
23,33,191,191,100.0,23033
23,34,153,153,100.0,23034
23,35,111,111,100.0,23035
23,36,263,263,100.0,23036
23,37,139,139,100.0,23037
23,38,140,140,100.0,23038
23,39,180,180,100.0,23039
23,40,206,206,100.0,23040
23,41,185,185,100.0,23041
23,42,157,157,100.0,23042
23,43,232,232,100.0,23043
23,44,195,195,100.0,23044
23,45,231,231,100.0,23045
23,46,202,202,100.0,23046
23,47,213,213,100.0,23047
23,48,163,163,100.0,23048
23,49,226,226,100.0,23049
23,50,129,129,100.0,23050
23,51,177,177,100.0,23051
23,52,261,261,100.0,23052
23,53,137,137,100.0,23053
23,54,269,269,100.0,23054
23,55,202,202,100.0,23055
23,56,153,153,100.0,23056
34,33,103,103,100.0,34033
34,64,33,33,100.0,34064
