ward,precinct,total,CASANDRA LEWIS,CASANDRA LEWIS Percent,precinct_id
2,14,285,285,100.0,02014
2,20,143,143,100.0,02020
2,31,209,209,100.0,02031
2,44,110,110,100.0,02044
2,46,265,265,100.0,02046
3,1,128,128,100.0,03001
3,2,264,264,100.0,03002
3,4,91,91,100.0,03004
3,5,85,85,100.0,03005
3,7,145,145,100.0,03007
3,8,54,54,100.0,03008
3,9,69,69,100.0,03009
3,10,79,79,100.0,03010
3,11,86,86,100.0,03011
3,12,163,163,100.0,03012
3,14,64,64,100.0,03014
3,15,172,172,100.0,03015
3,16,297,297,100.0,03016
3,17,82,82,100.0,03017
3,18,104,104,100.0,03018
3,19,52,52,100.0,03019
3,20,35,35,100.0,03020
3,21,100,100,100.0,03021
3,22,110,110,100.0,03022
3,23,40,40,100.0,03023
3,24,108,108,100.0,03024
3,25,37,37,100.0,03025
3,26,100,100,100.0,03026
3,27,16,16,100.0,03027
3,29,161,161,100.0,03029
3,30,104,104,100.0,03030
3,31,214,214,100.0,03031
3,32,133,133,100.0,03032
3,33,176,176,100.0,03033
3,34,109,109,100.0,03034
3,35,137,137,100.0,03035
3,36,95,95,100.0,03036
3,37,76,76,100.0,03037
3,38,29,29,100.0,03038
3,39,176,176,100.0,03039
3,40,151,151,100.0,03040
3,41,136,136,100.0,03041
3,42,125,125,100.0,03042
3,43,70,70,100.0,03043
3,44,69,69,100.0,03044
3,45,84,84,100.0,03045
3,46,144,144,100.0,03046
3,47,89,89,100.0,03047
3,48,131,131,100.0,03048
3,49,45,45,100.0,03049
3,50,72,72,100.0,03050
3,52,72,72,100.0,03052
3,53,125,125,100.0,03053
3,55,110,110,100.0,03055
3,56,127,127,100.0,03056
3,57,186,186,100.0,03057
3,58,63,63,100.0,03058
3,59,84,84,100.0,03059
3,60,156,156,100.0,03060
3,62,134,134,100.0,03062
4,1,183,183,100.0,04001
4,2,228,228,100.0,04002
4,3,270,270,100.0,04003
4,4,257,257,100.0,04004
4,5,214,214,100.0,04005
4,6,88,88,100.0,04006
4,7,148,148,100.0,04007
4,8,193,193,100.0,04008
4,9,389,389,100.0,04009
4,10,271,271,100.0,04010
4,11,217,217,100.0,04011
4,12,113,113,100.0,04012
4,13,165,165,100.0,04013
4,14,117,117,100.0,04014
4,15,114,114,100.0,04015
4,16,224,224,100.0,04016
4,17,233,233,100.0,04017
4,18,177,177,100.0,04018
4,19,212,212,100.0,04019
4,20,75,75,100.0,04020
4,21,281,281,100.0,04021
4,22,263,263,100.0,04022
4,23,160,160,100.0,04023
4,24,237,237,100.0,04024
4,25,228,228,100.0,04025
4,26,207,207,100.0,04026
4,27,224,224,100.0,04027
4,28,166,166,100.0,04028
4,29,134,134,100.0,04029
4,30,86,86,100.0,04030
4,31,62,62,100.0,04031
4,32,229,229,100.0,04032
4,33,82,82,100.0,04033
4,34,151,151,100.0,04034
4,35,130,130,100.0,04035
4,36,89,89,100.0,04036
4,37,104,104,100.0,04037
4,38,293,293,100.0,04038
4,39,91,91,100.0,04039
4,40,174,174,100.0,04040
4,41,99,99,100.0,04041
4,42,224,224,100.0,04042
4,43,152,152,100.0,04043
4,44,156,156,100.0,04044
4,45,336,336,100.0,04045
4,46,183,183,100.0,04046
4,47,285,285,100.0,04047
4,48,306,306,100.0,04048
4,49,56,56,100.0,04049
4,50,157,157,100.0,04050
4,51,249,249,100.0,04051
4,52,46,46,100.0,04052
4,53,8,8,100.0,04053
4,54,104,104,100.0,04054
4,55,138,138,100.0,04055
4,56,233,233,100.0,04056
4,57,120,120,100.0,04057
4,58,228,228,100.0,04058
5,1,237,237,100.0,05001
5,2,146,146,100.0,05002
5,3,105,105,100.0,05003
5,4,161,161,100.0,05004
5,5,144,144,100.0,05005
5,6,252,252,100.0,05006
5,7,231,231,100.0,05007
5,8,241,241,100.0,05008
5,9,193,193,100.0,05009
5,10,194,194,100.0,05010
5,11,200,200,100.0,05011
5,13,164,164,100.0,05013
5,14,270,270,100.0,05014
5,15,191,191,100.0,05015
5,16,170,170,100.0,05016
5,17,193,193,100.0,05017
5,18,194,194,100.0,05018
5,19,93,93,100.0,05019
5,20,96,96,100.0,05020
5,21,231,231,100.0,05021
5,22,184,184,100.0,05022
5,23,133,133,100.0,05023
5,24,152,152,100.0,05024
5,25,186,186,100.0,05025
