ward,precinct,total,LAWRENCE O'GARA,LAWRENCE O'GARA Percent,precinct_id
2,28,0,0,0.0,02028
3,13,121,121,100.0,03013
3,47,13,13,100.0,03047
3,51,51,51,100.0,03051
11,1,231,231,100.0,11001
11,2,184,184,100.0,11002
11,3,176,176,100.0,11003
11,4,250,250,100.0,11004
11,5,138,138,100.0,11005
11,6,302,302,100.0,11006
11,7,175,175,100.0,11007
11,8,223,223,100.0,11008
11,9,226,226,100.0,11009
11,10,126,126,100.0,11010
11,11,227,227,100.0,11011
11,16,233,233,100.0,11016
11,17,273,273,100.0,11017
11,18,170,170,100.0,11018
11,19,198,198,100.0,11019
11,20,178,178,100.0,11020
11,21,316,316,100.0,11021
11,22,196,196,100.0,11022
11,23,189,189,100.0,11023
11,24,343,343,100.0,11024
11,25,162,162,100.0,11025
11,26,302,302,100.0,11026
11,29,265,265,100.0,11029
11,30,210,210,100.0,11030
11,33,166,166,100.0,11033
11,35,290,290,100.0,11035
11,37,225,225,100.0,11037
11,38,310,310,100.0,11038
11,40,135,135,100.0,11040
11,41,125,125,100.0,11041
11,42,47,47,100.0,11042
11,44,192,192,100.0,11044
11,49,0,0,0.0,11049
11,50,172,172,100.0,11050
12,1,58,58,100.0,12001
12,2,116,116,100.0,12002
12,3,108,108,100.0,12003
12,4,91,91,100.0,12004
12,5,125,125,100.0,12005
12,6,74,74,100.0,12006
12,7,41,41,100.0,12007
12,8,191,191,100.0,12008
12,9,80,80,100.0,12009
12,10,67,67,100.0,12010
12,11,95,95,100.0,12011
12,12,70,70,100.0,12012
12,13,92,92,100.0,12013
12,14,77,77,100.0,12014
12,15,92,92,100.0,12015
12,16,104,104,100.0,12016
12,17,68,68,100.0,12017
12,18,108,108,100.0,12018
12,19,99,99,100.0,12019
12,20,112,112,100.0,12020
12,21,131,131,100.0,12021
12,22,73,73,100.0,12022
12,23,72,72,100.0,12023
12,24,139,139,100.0,12024
12,25,106,106,100.0,12025
12,26,101,101,100.0,12026
12,27,67,67,100.0,12027
12,28,98,98,100.0,12028
12,29,130,130,100.0,12029
14,5,138,138,100.0,14005
14,7,127,127,100.0,14007
14,8,82,82,100.0,14008
14,10,142,142,100.0,14010
14,11,121,121,100.0,14011
14,12,97,97,100.0,14012
14,14,109,109,100.0,14014
14,15,175,175,100.0,14015
14,16,163,163,100.0,14016
14,17,113,113,100.0,14017
14,18,125,125,100.0,14018
14,19,181,181,100.0,14019
14,20,116,116,100.0,14020
14,21,112,112,100.0,14021
14,22,149,149,100.0,14022
14,23,102,102,100.0,14023
14,24,91,91,100.0,14024
14,26,105,105,100.0,14026
14,29,133,133,100.0,14029
14,30,116,116,100.0,14030
14,31,123,123,100.0,14031
14,32,108,108,100.0,14032
14,33,93,93,100.0,14033
14,34,81,81,100.0,14034
14,36,166,166,100.0,14036
14,37,109,109,100.0,14037
15,6,127,127,100.0,15006
15,9,151,151,100.0,15009
15,11,132,132,100.0,15011
