ward,precinct,total,MARK TUNNEY,MARK TUNNEY Percent,DANNY K. DAVIS,DANNY K. DAVIS Percent,MARTIN PANKAU,MARTIN PANKAU Percent,precinct_id
1,1,144,29,20.14,110,76.39,5,3.47,01001
1,6,240,61,25.42,165,68.75,14,5.83,01006
1,11,32,5,15.63,25,78.13,2,6.25,01011
1,14,87,12,13.79,69,79.31,6,6.9,01014
2,1,361,81,22.44,259,71.75,21,5.82,02001
2,2,12,0,0.0,12,100.0,0,0.0,02002
2,3,179,22,12.29,153,85.47,4,2.23,02003
2,4,183,4,2.19,179,97.81,0,0.0,02004
2,5,133,2,1.5,130,97.74,1,0.75,02005
2,6,183,50,27.32,129,70.49,4,2.19,02006
2,7,307,2,0.65,304,99.02,1,0.33,02007
2,8,317,66,20.82,246,77.6,5,1.58,02008
2,9,166,2,1.2,163,98.19,1,0.6,02009
2,10,120,0,0.0,117,97.5,3,2.5,02010
2,11,171,42,24.56,124,72.51,5,2.92,02011
2,12,273,111,40.66,152,55.68,10,3.66,02012
2,13,198,26,13.13,168,84.85,4,2.02,02013
2,14,0,0,0.0,0,0.0,0,0.0,02014
2,15,104,0,0.0,102,98.08,2,1.92,02015
2,16,229,57,24.89,169,73.8,3,1.31,02016
2,17,209,5,2.39,203,97.13,1,0.48,02017
2,18,507,134,26.43,357,70.41,16,3.16,02018
2,19,172,2,1.16,170,98.84,0,0.0,02019
2,20,5,2,40.0,2,40.0,1,20.0,02020
2,21,347,28,8.07,318,91.64,1,0.29,02021
2,22,458,98,21.4,352,76.86,8,1.75,02022
2,23,151,0,0.0,149,98.68,2,1.32,02023
2,24,137,4,2.92,132,96.35,1,0.73,02024
2,25,197,28,14.21,166,84.26,3,1.52,02025
2,26,262,34,12.98,222,84.73,6,2.29,02026
2,27,176,0,0.0,175,99.43,1,0.57,02027
2,28,144,43,29.86,100,69.44,1,0.69,02028
2,29,106,14,13.21,90,84.91,2,1.89,02029
2,30,153,2,1.31,150,98.04,1,0.65,02030
2,32,118,1,0.85,117,99.15,0,0.0,02032
2,33,184,3,1.63,180,97.83,1,0.54,02033
2,34,270,5,1.85,265,98.15,0,0.0,02034
2,35,98,31,31.63,63,64.29,4,4.08,02035
2,36,122,1,0.82,118,96.72,3,2.46,02036
2,37,283,67,23.67,206,72.79,10,3.53,02037
2,38,271,15,5.54,254,93.73,2,0.74,02038
2,39,224,18,8.04,199,88.84,7,3.13,02039
2,40,314,35,11.15,274,87.26,5,1.59,02040
2,41,161,0,0.0,161,100.0,0,0.0,02041
2,42,96,6,6.25,88,91.67,2,2.08,02042
2,43,446,75,16.82,355,79.6,16,3.59,02043
2,45,193,2,1.04,191,98.96,0,0.0,02045
2,47,209,5,2.39,202,96.65,2,0.96,02047
2,48,176,2,1.14,173,98.3,1,0.57,02048
2,49,252,52,20.63,188,74.6,12,4.76,02049
2,50,184,21,11.41,153,83.15,10,5.43,02050
2,51,209,5,2.39,203,97.13,1,0.48,02051
2,52,240,3,1.25,235,97.92,2,0.83,02052
2,53,115,1,0.87,113,98.26,1,0.87,02053
2,54,381,81,21.26,289,75.85,11,2.89,02054
2,55,75,13,17.33,59,78.67,3,4.0,02055
2,56,208,2,0.96,204,98.08,2,0.96,02056
2,57,135,2,1.48,132,97.78,1,0.74,02057
2,58,139,20,14.39,118,84.89,1,0.72,02058
2,59,314,53,16.88,247,78.66,14,4.46,02059
3,1,192,3,1.56,187,97.4,2,1.04,03001
3,2,389,19,4.88,370,95.12,0,0.0,03002
3,3,230,36,15.65,193,83.91,1,0.43,03003
3,4,124,3,2.42,121,97.58,0,0.0,03004
3,6,183,3,1.64,179,97.81,1,0.55,03006
3,8,80,2,2.5,77,96.25,1,1.25,03008
3,9,117,1,0.85,114,97.44,2,1.71,03009
3,10,115,0,0.0,115,100.0,0,0.0,03010
3,11,130,0,0.0,126,96.92,4,3.08,03011
3,12,233,5,2.15,226,97.0,2,0.86,03012
3,14,124,1,0.81,120,96.77,3,2.42,03014
3,15,244,4,1.64,240,98.36,0,0.0,03015
3,16,406,1,0.25,404,99.51,1,0.25,03016
3,17,142,0,0.0,142,100.0,0,0.0,03017
3,18,145,1,0.69,142,97.93,2,1.38,03018
3,19,83,1,1.2,82,98.8,0,0.0,03019
3,20,52,1,1.92,50,96.15,1,1.92,03020
3,21,144,1,0.69,141,97.92,2,1.39,03021
3,22,143,1,0.7,142,99.3,0,0.0,03022
3,23,66,1,1.52,65,98.48,0,0.0,03023
3,24,180,2,1.11,175,97.22,3,1.67,03024
3,25,63,0,0.0,62,98.41,1,1.59,03025
3,26,150,2,1.33,148,98.67,0,0.0,03026
3,27,29,0,0.0,28,96.55,1,3.45,03027
3,28,148,5,3.38,142,95.95,1,0.68,03028
3,29,278,5,1.8,270,97.12,3,1.08,03029
3,31,311,2,0.64,304,97.75,5,1.61,03031
3,32,178,0,0.0,176,98.88,2,1.12,03032
3,33,252,4,1.59,246,97.62,2,0.79,03033
3,35,213,0,0.0,213,100.0,0,0.0,03035
3,36,106,1,0.94,105,99.06,0,0.0,03036
3,37,119,2,1.68,116,97.48,1,0.84,03037
3,39,265,6,2.26,255,96.23,4,1.51,03039
3,40,219,5,2.28,213,97.26,1,0.46,03040
3,41,139,3,2.16,135,97.12,1,0.72,03041
3,42,182,0,0.0,182,100.0,0,0.0,03042
3,43,86,1,1.16,83,96.51,2,2.33,03043
3,45,144,4,2.78,138,95.83,2,1.39,03045
3,47,146,1,0.68,145,99.32,0,0.0,03047
3,48,200,4,2.0,194,97.0,2,1.0,03048
3,49,58,2,3.45,56,96.55,0,0.0,03049
3,50,109,1,0.92,107,98.17,1,0.92,03050
3,52,109,1,0.92,107,98.17,1,0.92,03052
3,54,221,60,27.15,158,71.49,3,1.36,03054
3,55,166,2,1.2,164,98.8,0,0.0,03055
3,56,166,2,1.2,163,98.19,1,0.6,03056
3,57,256,4,1.56,252,98.44,0,0.0,03057
3,59,132,4,3.03,127,96.21,1,0.76,03059
3,60,209,2,0.96,206,98.56,1,0.48,03060
3,61,184,15,8.15,165,89.67,4,2.17,03061
3,62,185,3,1.62,181,97.84,1,0.54,03062
3,63,167,34,20.36,127,76.05,6,3.59,03063
4,4,392,1,0.26,389,99.23,2,0.51,04004
4,5,320,4,1.25,313,97.81,3,0.94,04005
4,6,125,1,0.8,124,99.2,0,0.0,04006
4,7,218,5,2.29,212,97.25,1,0.46,04007
4,10,376,2,0.53,371,98.67,3,0.8,04010
4,11,323,4,1.24,318,98.45,1,0.31,04011
4,14,193,1,0.52,191,98.96,1,0.52,04014
4,15,160,5,3.13,153,95.63,2,1.25,04015
4,25,316,9,2.85,305,96.52,2,0.63,04025
4,27,312,3,0.96,306,98.08,3,0.96,04027
4,35,195,4,2.05,190,97.44,1,0.51,04035
4,36,134,7,5.22,123,91.79,4,2.99,04036
4,42,342,10,2.92,330,96.49,2,0.58,04042
4,58,317,15,4.73,299,94.32,3,0.95,04058
11,14,236,41,17.37,193,81.78,2,0.85,11014
11,27,289,55,19.03,225,77.85,9,3.11,11027
11,28,209,28,13.4,177,84.69,4,1.91,11028
11,34,63,6,9.52,54,85.71,3,4.76,11034
11,36,88,7,7.95,80,90.91,1,1.14,11036
11,46,183,9,4.92,171,93.44,3,1.64,11046
12,1,10,2,20.0,8,80.0,0,0.0,12001
12,6,26,3,11.54,21,80.77,2,7.69,12006
12,7,0,0,0.0,0,0.0,0,0.0,12007
12,18,67,2,2.99,65,97.01,0,0.0,12018
16,15,245,5,2.04,238,97.14,2,0.82,16015
16,16,200,1,0.5,198,99.0,1,0.5,16016
16,18,193,3,1.55,189,97.93,1,0.52,16018
16,20,215,3,1.4,210,97.67,2,0.93,16020
16,22,168,2,1.19,165,98.21,1,0.6,16022
16,24,125,0,0.0,121,96.8,4,3.2,16024
16,29,108,4,3.7,104,96.3,0,0.0,16029
16,30,156,1,0.64,155,99.36,0,0.0,16030
16,33,199,1,0.5,195,97.99,3,1.51,16033
20,27,175,0,0.0,174,99.43,1,0.57,20027
20,31,240,7,2.92,231,96.25,2,0.83,20031
20,40,176,0,0.0,176,100.0,0,0.0,20040
20,45,47,0,0.0,47,100.0,0,0.0,20045
20,48,102,0,0.0,100,98.04,2,1.96,20048
20,52,99,3,3.03,96,96.97,0,0.0,20052
22,7,221,2,0.9,215,97.29,4,1.81,22007
22,18,1,0,0.0,1,100.0,0,0.0,22018
22,19,189,4,2.12,185,97.88,0,0.0,22019
22,21,247,0,0.0,246,99.6,1,0.4,22021
24,1,193,4,2.07,188,97.41,1,0.52,24001
24,2,258,4,1.55,251,97.29,3,1.16,24002
24,3,217,3,1.38,210,96.77,4,1.84,24003
24,4,221,3,1.36,215,97.29,3,1.36,24004
24,5,217,1,0.46,215,99.08,1,0.46,24005
24,6,281,3,1.07,277,98.58,1,0.36,24006
24,7,232,3,1.29,229,98.71,0,0.0,24007
24,8,224,3,1.34,221,98.66,0,0.0,24008
24,9,262,7,2.67,251,95.8,4,1.53,24009
24,10,214,2,0.93,212,99.07,0,0.0,24010
24,11,146,1,0.68,140,95.89,5,3.42,24011
24,12,194,0,0.0,190,97.94,4,2.06,24012
24,13,196,5,2.55,190,96.94,1,0.51,24013
24,14,317,5,1.58,311,98.11,1,0.32,24014
24,15,224,2,0.89,222,99.11,0,0.0,24015
24,16,192,1,0.52,191,99.48,0,0.0,24016
24,17,241,3,1.24,236,97.93,2,0.83,24017
24,18,166,1,0.6,163,98.19,2,1.2,24018
24,19,185,1,0.54,184,99.46,0,0.0,24019
24,20,255,3,1.18,250,98.04,2,0.78,24020
24,21,177,4,2.26,170,96.05,3,1.69,24021
24,22,232,2,0.86,229,98.71,1,0.43,24022
24,23,242,1,0.41,240,99.17,1,0.41,24023
24,24,159,2,1.26,156,98.11,1,0.63,24024
24,25,145,1,0.69,143,98.62,1,0.69,24025
24,26,289,5,1.73,284,98.27,0,0.0,24026
24,27,156,6,3.85,149,95.51,1,0.64,24027
24,28,265,2,0.75,262,98.87,1,0.38,24028
24,29,264,2,0.76,258,97.73,4,1.52,24029
24,30,195,4,2.05,190,97.44,1,0.51,24030
24,31,220,2,0.91,218,99.09,0,0.0,24031
24,32,234,1,0.43,232,99.15,1,0.43,24032
24,33,184,1,0.54,183,99.46,0,0.0,24033
24,34,214,3,1.4,210,98.13,1,0.47,24034
24,35,136,4,2.94,131,96.32,1,0.74,24035
24,36,225,2,0.89,221,98.22,2,0.89,24036
24,37,238,6,2.52,231,97.06,1,0.42,24037
24,38,229,3,1.31,224,97.82,2,0.87,24038
24,39,247,2,0.81,245,99.19,0,0.0,24039
24,40,298,8,2.68,290,97.32,0,0.0,24040
24,41,208,1,0.48,206,99.04,1,0.48,24041
24,42,204,1,0.49,199,97.55,4,1.96,24042
24,43,312,7,2.24,304,97.44,1,0.32,24043
24,44,84,0,0.0,83,98.81,1,1.19,24044
24,45,215,1,0.47,213,99.07,1,0.47,24045
24,46,238,2,0.84,235,98.74,1,0.42,24046
24,47,199,4,2.01,193,96.98,2,1.01,24047
24,48,121,1,0.83,118,97.52,2,1.65,24048
24,49,313,2,0.64,309,98.72,2,0.64,24049
24,50,344,2,0.58,342,99.42,0,0.0,24050
24,51,304,7,2.3,296,97.37,1,0.33,24051
24,52,211,0,0.0,209,99.05,2,0.95,24052
24,53,68,1,1.47,67,98.53,0,0.0,24053
24,54,213,5,2.35,207,97.18,1,0.47,24054
24,55,114,0,0.0,114,100.0,0,0.0,24055
24,56,282,1,0.35,281,99.65,0,0.0,24056
24,58,260,3,1.15,256,98.46,1,0.38,24058
24,59,127,0,0.0,126,99.21,1,0.79,24059
25,3,104,6,5.77,96,92.31,2,1.92,25003
25,4,319,60,18.81,244,76.49,15,4.7,25004
25,5,4,1,25.0,3,75.0,0,0.0,25005
25,6,2,0,0.0,2,100.0,0,0.0,25006
25,8,2,0,0.0,2,100.0,0,0.0,25008
25,10,151,12,7.95,133,88.08,6,3.97,25010
25,14,164,36,21.95,124,75.61,4,2.44,25014
25,16,103,22,21.36,76,73.79,5,4.85,25016
25,18,223,34,15.25,183,82.06,6,2.69,25018
25,21,228,70,30.7,151,66.23,7,3.07,25021
25,25,263,55,20.91,197,74.9,11,4.18,25025
25,26,193,51,26.42,139,72.02,3,1.55,25026
25,27,229,59,25.76,165,72.05,5,2.18,25027
25,28,348,90,25.86,251,72.13,7,2.01,25028
25,29,103,3,2.91,99,96.12,1,0.97,25029
26,17,135,37,27.41,95,70.37,3,2.22,26017
26,28,10,0,0.0,10,100.0,0,0.0,26028
26,33,114,49,42.98,60,52.63,5,4.39,26033
26,46,223,52,23.32,157,70.4,14,6.28,26046
27,1,121,47,38.84,72,59.5,2,1.65,27001
27,2,200,7,3.5,191,95.5,2,1.0,27002
27,3,246,1,0.41,242,98.37,3,1.22,27003
27,4,168,5,2.98,159,94.64,4,2.38,27004
27,5,55,14,25.45,41,74.55,0,0.0,27005
27,6,163,1,0.61,161,98.77,1,0.61,27006
27,7,215,56,26.05,153,71.16,6,2.79,27007
27,8,121,2,1.65,118,97.52,1,0.83,27008
27,9,351,18,5.13,329,93.73,4,1.14,27009
27,10,369,4,1.08,363,98.37,2,0.54,27010
27,11,132,3,2.27,128,96.97,1,0.76,27011
27,12,154,1,0.65,151,98.05,2,1.3,27012
27,13,74,8,10.81,66,89.19,0,0.0,27013
27,14,127,1,0.79,125,98.43,1,0.79,27014
27,15,157,4,2.55,152,96.82,1,0.64,27015
27,16,123,49,39.84,72,58.54,2,1.63,27016
27,17,127,34,26.77,89,70.08,4,3.15,27017
27,18,117,26,22.22,83,70.94,8,6.84,27018
27,19,238,4,1.68,231,97.06,3,1.26,27019
27,20,258,1,0.39,255,98.84,2,0.78,27020
27,21,128,1,0.78,126,98.44,1,0.78,27021
27,22,204,5,2.45,199,97.55,0,0.0,27022
27,23,80,2,2.5,77,96.25,1,1.25,27023
27,24,221,4,1.81,216,97.74,1,0.45,27024
27,25,169,2,1.18,167,98.82,0,0.0,27025
27,26,202,5,2.48,196,97.03,1,0.5,27026
27,27,123,2,1.63,117,95.12,4,3.25,27027
27,28,243,52,21.4,181,74.49,10,4.12,27028
27,29,198,3,1.52,194,97.98,1,0.51,27029
27,30,150,4,2.67,143,95.33,3,2.0,27030
27,31,212,3,1.42,208,98.11,1,0.47,27031
27,33,204,14,6.86,182,89.22,8,3.92,27033
27,34,163,1,0.61,162,99.39,0,0.0,27034
27,36,209,8,3.83,196,93.78,5,2.39,27036
27,37,111,15,13.51,94,84.68,2,1.8,27037
27,39,143,2,1.4,141,98.6,0,0.0,27039
27,40,174,1,0.57,170,97.7,3,1.72,27040
27,41,70,25,35.71,38,54.29,7,10.0,27041
27,42,132,40,30.3,89,67.42,3,2.27,27042
27,43,190,2,1.05,187,98.42,1,0.53,27043
27,44,173,2,1.16,171,98.84,0,0.0,27044
27,45,213,3,1.41,210,98.59,0,0.0,27045
27,46,201,7,3.48,191,95.02,3,1.49,27046
27,47,193,2,1.04,191,98.96,0,0.0,27047
27,48,216,3,1.39,210,97.22,3,1.39,27048
27,49,175,1,0.57,171,97.71,3,1.71,27049
27,50,360,73,20.28,273,75.83,14,3.89,27050
27,51,163,2,1.23,160,98.16,1,0.61,27051
27,52,77,2,2.6,74,96.1,1,1.3,27052
27,53,97,7,7.22,89,91.75,1,1.03,27053
27,54,295,92,31.19,196,66.44,7,2.37,27054
27,55,39,13,33.33,24,61.54,2,5.13,27055
27,57,161,38,23.6,118,73.29,5,3.11,27057
27,58,176,32,18.18,142,80.68,2,1.14,27058
27,60,60,0,0.0,60,100.0,0,0.0,27060
27,61,56,0,0.0,56,100.0,0,0.0,27061
27,62,180,3,1.67,174,96.67,3,1.67,27062
27,63,234,1,0.43,230,98.29,3,1.28,27063
27,64,187,2,1.07,183,97.86,2,1.07,27064
28,1,219,1,0.46,213,97.26,5,2.28,28001
28,2,139,1,0.72,137,98.56,1,0.72,28002
28,3,119,2,1.68,116,97.48,1,0.84,28003
28,4,176,0,0.0,175,99.43,1,0.57,28004
28,5,56,0,0.0,56,100.0,0,0.0,28005
28,6,155,0,0.0,154,99.35,1,0.65,28006
28,7,245,7,2.86,236,96.33,2,0.82,28007
28,8,132,1,0.76,130,98.48,1,0.76,28008
28,9,146,0,0.0,146,100.0,0,0.0,28009
28,10,53,0,0.0,53,100.0,0,0.0,28010
28,11,123,1,0.81,122,99.19,0,0.0,28011
28,12,100,0,0.0,100,100.0,0,0.0,28012
28,13,80,1,1.25,77,96.25,2,2.5,28013
28,14,155,2,1.29,153,98.71,0,0.0,28014
28,15,137,2,1.46,134,97.81,1,0.73,28015
28,16,188,3,1.6,185,98.4,0,0.0,28016
28,17,189,5,2.65,182,96.3,2,1.06,28017
28,18,257,1,0.39,255,99.22,1,0.39,28018
28,19,235,1,0.43,234,99.57,0,0.0,28019
28,20,205,4,1.95,200,97.56,1,0.49,28020
28,21,245,1,0.41,241,98.37,3,1.22,28021
28,22,199,6,3.02,192,96.48,1,0.5,28022
28,23,240,1,0.42,239,99.58,0,0.0,28023
28,24,141,0,0.0,141,100.0,0,0.0,28024
28,25,156,3,1.92,152,97.44,1,0.64,28025
28,26,207,1,0.48,205,99.03,1,0.48,28026
28,27,135,0,0.0,134,99.26,1,0.74,28027
28,28,170,1,0.59,166,97.65,3,1.76,28028
28,30,142,5,3.52,133,93.66,4,2.82,28030
28,31,141,2,1.42,139,98.58,0,0.0,28031
28,32,175,3,1.71,172,98.29,0,0.0,28032
28,33,158,2,1.27,153,96.84,3,1.9,28033
28,35,160,3,1.88,157,98.13,0,0.0,28035
28,36,200,2,1.0,197,98.5,1,0.5,28036
28,37,237,2,0.84,233,98.31,2,0.84,28037
28,39,110,7,6.36,102,92.73,1,0.91,28039
28,40,229,2,0.87,227,99.13,0,0.0,28040
28,41,94,0,0.0,94,100.0,0,0.0,28041
28,42,159,1,0.63,156,98.11,2,1.26,28042
28,43,139,2,1.44,137,98.56,0,0.0,28043
28,44,136,0,0.0,136,100.0,0,0.0,28044
28,45,153,3,1.96,149,97.39,1,0.65,28045
28,46,167,0,0.0,166,99.4,1,0.6,28046
28,47,160,1,0.63,158,98.75,1,0.63,28047
28,48,123,1,0.81,121,98.37,1,0.81,28048
28,49,127,1,0.79,125,98.43,1,0.79,28049
28,50,125,3,2.4,122,97.6,0,0.0,28050
28,51,220,3,1.36,216,98.18,1,0.45,28051
28,52,202,3,1.49,197,97.52,2,0.99,28052
28,53,84,1,1.19,80,95.24,3,3.57,28053
28,54,183,2,1.09,180,98.36,1,0.55,28054
28,55,171,2,1.17,169,98.83,0,0.0,28055
