ward,precinct,total,TIMOTHY J. COFFEY,TIMOTHY J. COFFEY Percent,LARRY McKEON,LARRY McKEON Percent,precinct_id
40,1,65,17,26.15,48,73.85,40001
40,2,162,44,27.16,118,72.84,40002
40,9,139,26,18.71,113,81.29,40009
40,10,154,44,28.57,110,71.43,40010
40,14,228,55,24.12,173,75.88,40014
40,15,258,51,19.77,207,80.23,40015
40,18,231,45,19.48,186,80.52,40018
40,19,226,72,31.86,154,68.14,40019
40,21,243,51,20.99,192,79.01,40021
40,22,85,13,15.29,72,84.71,40022
40,23,272,45,16.54,227,83.46,40023
40,24,39,12,30.77,27,69.23,40024
40,25,180,50,27.78,130,72.22,40025
40,33,251,59,23.51,192,76.49,40033
40,35,41,4,9.76,37,90.24,40035
40,36,242,60,24.79,182,75.21,40036
40,39,196,46,23.47,150,76.53,40039
40,40,141,35,24.82,106,75.18,40040
40,41,296,41,13.85,255,86.15,40041
40,42,269,62,23.05,207,76.95,40042
40,43,187,35,18.72,152,81.28,40043
40,44,193,44,22.8,149,77.2,40044
40,45,352,81,23.01,271,76.99,40045
40,46,273,46,16.85,227,83.15,40046
46,2,257,38,14.79,219,85.21,46002
46,4,252,40,15.87,212,84.13,46004
46,6,275,34,12.36,241,87.64,46006
46,7,407,87,21.38,320,78.62,46007
46,8,321,49,15.26,272,84.74,46008
46,9,348,80,22.99,268,77.01,46009
46,11,321,54,16.82,267,83.18,46011
46,12,279,43,15.41,236,84.59,46012
46,14,254,24,9.45,230,90.55,46014
46,16,304,55,18.09,249,81.91,46016
46,19,344,50,14.53,294,85.47,46019
46,20,276,33,11.96,243,88.04,46020
46,21,73,19,26.03,54,73.97,46021
46,22,245,63,25.71,182,74.29,46022
46,23,224,19,8.48,205,91.52,46023
46,25,227,52,22.91,175,77.09,46025
46,26,247,35,14.17,212,85.83,46026
46,27,308,76,24.68,232,75.32,46027
46,32,301,55,18.27,246,81.73,46032
46,34,385,43,11.17,342,88.83,46034
46,35,206,53,25.73,153,74.27,46035
46,38,149,32,21.48,117,78.52,46038
46,39,326,89,27.3,237,72.7,46039
46,40,202,26,12.87,176,87.13,46040
46,41,237,38,16.03,199,83.97,46041
46,42,337,70,20.77,267,79.23,46042
47,5,283,60,21.2,223,78.8,47005
47,10,267,28,10.49,239,89.51,47010
47,11,516,65,12.6,451,87.4,47011
47,19,353,51,14.45,302,85.55,47019
47,20,335,63,18.81,272,81.19,47020
47,22,320,51,15.94,269,84.06,47022
47,23,146,23,15.75,123,84.25,47023
47,26,448,71,15.85,377,84.15,47026
47,28,424,72,16.98,352,83.02,47028
47,30,346,62,17.92,284,82.08,47030
47,31,312,46,14.74,266,85.26,47031
47,32,355,58,16.34,297,83.66,47032
47,33,308,51,16.56,257,83.44,47033
47,34,385,66,17.14,319,82.86,47034
47,36,443,58,13.09,385,86.91,47036
47,37,424,77,18.16,347,81.84,47037
47,38,333,51,15.32,282,84.68,47038
47,39,346,73,21.1,273,78.9,47039
47,41,466,77,16.52,389,83.48,47041
47,45,323,63,19.5,260,80.5,47045
48,4,390,108,27.69,282,72.31,48004
48,17,211,31,14.69,180,85.31,48017
48,21,131,13,9.92,118,90.08,48021
48,23,282,69,24.47,213,75.53,48023
48,24,271,32,11.81,239,88.19,48024
48,25,289,34,11.76,255,88.24,48025
48,34,142,21,14.79,121,85.21,48034
48,35,216,35,16.2,181,83.8,48035
48,40,169,16,9.47,153,90.53,48040
48,49,109,16,14.68,93,85.32,48049
48,55,79,13,16.46,66,83.54,48055
48,56,173,17,9.83,156,90.17,48056
50,34,21,2,9.52,19,90.48,50034
