ward,precinct,total,WILLIE JORDAN JR.,WILLIE JORDAN JR. Percent,"WILLIAM """"WILL"""" DAVIS","WILLIAM """"WILL"""" DAVIS Percent",precinct_id
9,4,365,17,4.66,348,95.34,09004
9,6,312,8,2.56,304,97.44,09006
9,18,287,9,3.14,278,96.86,09018
9,19,353,19,5.38,334,94.62,09019
9,30,238,12,5.04,226,94.96,09030
9,39,304,13,4.28,291,95.72,09039
9,45,322,15,4.66,307,95.34,09045
9,53,212,12,5.66,200,94.34,09053
34,3,0,0,0.0,0,0.0,34003
34,6,201,9,4.48,192,95.52,34006
34,35,359,15,4.18,344,95.82,34035
34,65,121,6,4.96,115,95.04,34065
