ward,precinct,total,MARIA ANTONIA (TONI) BERRIOS,MARIA ANTONIA (TONI) BERRIOS Percent,precinct_id
1,7,67,67,100.0,01007
1,9,235,235,100.0,01009
1,13,207,207,100.0,01013
1,19,7,7,100.0,01019
1,20,177,177,100.0,01020
1,24,297,297,100.0,01024
1,29,179,179,100.0,01029
1,30,256,256,100.0,01030
1,31,98,98,100.0,01031
1,34,139,139,100.0,01034
1,38,105,105,100.0,01038
1,39,135,135,100.0,01039
26,8,97,97,100.0,26008
26,19,192,192,100.0,26019
26,34,134,134,100.0,26034
26,51,129,129,100.0,26051
30,9,139,139,100.0,30009
30,19,105,105,100.0,30019
30,25,129,129,100.0,30025
30,36,175,175,100.0,30036
31,1,97,97,100.0,31001
31,2,124,124,100.0,31002
31,4,144,144,100.0,31004
31,5,168,168,100.0,31005
31,6,163,163,100.0,31006
31,7,147,147,100.0,31007
31,9,179,179,100.0,31009
31,11,97,97,100.0,31011
31,13,162,162,100.0,31013
31,14,132,132,100.0,31014
31,16,89,89,100.0,31016
31,18,156,156,100.0,31018
31,19,136,136,100.0,31019
31,22,97,97,100.0,31022
31,28,133,133,100.0,31028
31,30,149,149,100.0,31030
31,31,201,201,100.0,31031
31,32,122,122,100.0,31032
31,33,139,139,100.0,31033
31,38,91,91,100.0,31038
31,41,118,118,100.0,31041
31,46,126,126,100.0,31046
31,47,171,171,100.0,31047
31,48,130,130,100.0,31048
31,49,79,79,100.0,31049
31,50,188,188,100.0,31050
32,14,203,203,100.0,32014
32,16,1,1,100.0,32016
33,13,0,0,0.0,33013
35,1,229,229,100.0,35001
35,3,140,140,100.0,35003
35,5,204,204,100.0,35005
35,6,202,202,100.0,35006
35,7,266,266,100.0,35007
35,8,225,225,100.0,35008
35,9,202,202,100.0,35009
35,10,194,194,100.0,35010
35,11,199,199,100.0,35011
35,12,280,280,100.0,35012
35,13,120,120,100.0,35013
35,14,229,229,100.0,35014
35,15,192,192,100.0,35015
35,16,190,190,100.0,35016
35,17,227,227,100.0,35017
35,18,235,235,100.0,35018
35,19,174,174,100.0,35019
35,20,220,220,100.0,35020
35,21,235,235,100.0,35021
35,24,156,156,100.0,35024
35,25,229,229,100.0,35025
35,27,266,266,100.0,35027
35,28,230,230,100.0,35028
35,29,275,275,100.0,35029
35,30,267,267,100.0,35030
35,31,290,290,100.0,35031
35,33,46,46,100.0,35033
35,34,204,204,100.0,35034
38,53,24,24,100.0,38053
