ward,precinct,total,CHRISTOPHER A. BULLOCK,CHRISTOPHER A. BULLOCK Percent,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
1,1,275,51,18.55,224,81.45,01001
1,2,323,67,20.74,256,79.26,01002
1,3,246,55,22.36,191,77.64,01003
1,4,242,50,20.66,192,79.34,01004
1,5,257,67,26.07,190,73.93,01005
1,6,238,74,31.09,164,68.91,01006
1,7,316,96,30.38,220,69.62,01007
1,8,239,45,18.83,194,81.17,01008
1,9,248,43,17.34,205,82.66,01009
1,10,200,52,26.0,148,74.0,01010
1,11,284,49,17.25,235,82.75,01011
1,12,208,51,24.52,157,75.48,01012
1,13,233,37,15.88,196,84.12,01013
1,14,318,63,19.81,255,80.19,01014
1,15,143,11,7.69,132,92.31,01015
1,16,171,8,4.68,163,95.32,01016
1,17,278,60,21.58,218,78.42,01017
1,18,211,18,8.53,193,91.47,01018
1,19,312,72,23.08,240,76.92,01019
1,20,221,44,19.91,177,80.09,01020
1,21,366,107,29.23,259,70.77,01021
1,22,254,38,14.96,216,85.04,01022
1,23,276,47,17.03,229,82.97,01023
1,24,322,56,17.39,266,82.61,01024
1,25,206,40,19.42,166,80.58,01025
1,26,270,55,20.37,215,79.63,01026
1,27,247,58,23.48,189,76.52,01027
1,28,266,49,18.42,217,81.58,01028
1,29,204,40,19.61,164,80.39,01029
1,30,301,50,16.61,251,83.39,01030
1,31,236,86,36.44,150,63.56,01031
1,32,182,36,19.78,146,80.22,01032
1,33,288,58,20.14,230,79.86,01033
1,34,151,33,21.85,118,78.15,01034
1,35,174,60,34.48,114,65.52,01035
1,36,367,98,26.7,269,73.3,01036
1,37,282,53,18.79,229,81.21,01037
1,38,122,16,13.11,106,86.89,01038
1,39,309,66,21.36,243,78.64,01039
2,1,353,99,28.05,254,71.95,02001
2,2,13,0,0.0,13,100.0,02002
2,3,175,29,16.57,146,83.43,02003
2,4,192,3,1.56,189,98.44,02004
2,5,139,2,1.44,137,98.56,02005
2,6,179,60,33.52,119,66.48,02006
2,7,299,9,3.01,290,96.99,02007
2,8,302,75,24.83,227,75.17,02008
2,9,169,3,1.78,166,98.22,02009
2,10,122,4,3.28,118,96.72,02010
2,11,170,65,38.24,105,61.76,02011
2,12,263,123,46.77,140,53.23,02012
2,13,202,40,19.8,162,80.2,02013
2,14,377,33,8.75,344,91.25,02014
2,15,99,2,2.02,97,97.98,02015
2,16,224,54,24.11,170,75.89,02016
2,17,207,9,4.35,198,95.65,02017
2,18,499,147,29.46,352,70.54,02018
2,19,172,4,2.33,168,97.67,02019
2,20,243,8,3.29,235,96.71,02020
2,21,332,38,11.45,294,88.55,02021
2,22,448,137,30.58,311,69.42,02022
2,23,144,3,2.08,141,97.92,02023
2,24,138,4,2.9,134,97.1,02024
2,25,195,30,15.38,165,84.62,02025
2,26,256,36,14.06,220,85.94,02026
2,27,157,4,2.55,153,97.45,02027
2,28,143,46,32.17,97,67.83,02028
2,29,102,22,21.57,80,78.43,02029
2,30,152,1,0.66,151,99.34,02030
2,31,283,9,3.18,274,96.82,02031
2,32,119,3,2.52,116,97.48,02032
2,33,179,6,3.35,173,96.65,02033
2,34,263,7,2.66,256,97.34,02034
2,35,94,37,39.36,57,60.64,02035
2,36,120,4,3.33,116,96.67,02036
2,37,273,78,28.57,195,71.43,02037
2,38,267,16,5.99,251,94.01,02038
2,39,222,30,13.51,192,86.49,02039
2,40,318,40,12.58,278,87.42,02040
2,41,164,5,3.05,159,96.95,02041
2,42,99,6,6.06,93,93.94,02042
2,43,428,90,21.03,338,78.97,02043
2,44,160,10,6.25,150,93.75,02044
2,45,194,5,2.58,189,97.42,02045
2,46,355,22,6.2,333,93.8,02046
2,47,214,9,4.21,205,95.79,02047
2,48,177,8,4.52,169,95.48,02048
2,49,244,61,25.0,183,75.0,02049
2,50,180,31,17.22,149,82.78,02050
2,51,200,6,3.0,194,97.0,02051
2,52,234,5,2.14,229,97.86,02052
2,53,116,1,0.86,115,99.14,02053
2,54,367,107,29.16,260,70.84,02054
2,55,75,18,24.0,57,76.0,02055
2,56,208,4,1.92,204,98.08,02056
2,57,130,4,3.08,126,96.92,02057
2,58,130,24,18.46,106,81.54,02058
2,59,309,91,29.45,218,70.55,02059
3,1,194,6,3.09,188,96.91,03001
3,2,398,11,2.76,387,97.24,03002
3,3,227,37,16.3,190,83.7,03003
3,4,127,2,1.57,125,98.43,03004
3,5,117,11,9.4,106,90.6,03005
3,6,187,10,5.35,177,94.65,03006
3,7,228,12,5.26,216,94.74,03007
3,8,80,2,2.5,78,97.5,03008
3,9,111,3,2.7,108,97.3,03009
3,10,118,0,0.0,118,100.0,03010
3,11,128,3,2.34,125,97.66,03011
3,12,234,9,3.85,225,96.15,03012
3,13,162,34,20.99,128,79.01,03013
3,14,110,7,6.36,103,93.64,03014
3,15,238,12,5.04,226,94.96,03015
3,16,408,15,3.68,393,96.32,03016
3,17,139,0,0.0,139,100.0,03017
3,18,145,4,2.76,141,97.24,03018
3,19,88,1,1.14,87,98.86,03019
3,20,53,1,1.89,52,98.11,03020
3,21,147,1,0.68,146,99.32,03021
3,22,143,4,2.8,139,97.2,03022
3,23,68,1,1.47,67,98.53,03023
3,24,175,2,1.14,173,98.86,03024
3,25,63,1,1.59,62,98.41,03025
3,26,149,2,1.34,147,98.66,03026
3,27,27,0,0.0,27,100.0,03027
3,28,152,6,3.95,146,96.05,03028
3,29,282,16,5.67,266,94.33,03029
3,30,150,1,0.67,149,99.33,03030
3,31,322,4,1.24,318,98.76,03031
3,32,178,3,1.69,175,98.31,03032
3,33,251,7,2.79,244,97.21,03033
3,34,148,3,2.03,145,97.97,03034
3,35,202,5,2.48,197,97.52,03035
3,36,130,7,5.38,123,94.62,03036
3,37,121,1,0.83,120,99.17,03037
3,38,51,1,1.96,50,98.04,03038
3,39,267,8,3.0,259,97.0,03039
3,40,217,9,4.15,208,95.85,03040
3,41,227,6,2.64,221,97.36,03041
3,42,183,3,1.64,180,98.36,03042
3,43,87,11,12.64,76,87.36,03043
3,44,114,2,1.75,112,98.25,03044
3,45,145,7,4.83,138,95.17,03045
3,46,212,3,1.42,209,98.58,03046
3,47,151,5,3.31,146,96.69,03047
3,48,194,5,2.58,189,97.42,03048
3,49,69,1,1.45,68,98.55,03049
3,50,108,1,0.93,107,99.07,03050
3,51,66,15,22.73,51,77.27,03051
3,52,108,1,0.93,107,99.07,03052
3,53,185,19,10.27,166,89.73,03053
3,54,219,66,30.14,153,69.86,03054
3,55,174,3,1.72,171,98.28,03055
3,56,181,8,4.42,173,95.58,03056
3,57,261,9,3.45,252,96.55,03057
3,58,80,5,6.25,75,93.75,03058
3,59,131,4,3.05,127,96.95,03059
3,60,216,4,1.85,212,98.15,03060
3,61,188,21,11.17,167,88.83,03061
3,62,186,9,4.84,177,95.16,03062
3,63,157,38,24.2,119,75.8,03063
4,1,264,36,13.64,228,86.36,04001
4,2,312,13,4.17,299,95.83,04002
4,3,442,12,2.71,430,97.29,04003
4,4,384,7,1.82,377,98.18,04004
4,5,316,12,3.8,304,96.2,04005
4,6,125,3,2.4,122,97.6,04006
4,7,221,9,4.07,212,95.93,04007
4,8,272,5,1.84,267,98.16,04008
4,9,538,22,4.09,516,95.91,04009
4,10,378,10,2.65,368,97.35,04010
4,11,321,14,4.36,307,95.64,04011
4,12,154,0,0.0,154,100.0,04012
4,13,237,26,10.97,211,89.03,04013
4,14,194,2,1.03,192,98.97,04014
4,15,156,10,6.41,146,93.59,04015
4,16,355,9,2.54,346,97.46,04016
4,17,329,33,10.03,296,89.97,04017
4,18,276,8,2.9,268,97.1,04018
4,19,317,13,4.1,304,95.9,04019
4,20,130,4,3.08,126,96.92,04020
4,21,372,33,8.87,339,91.13,04021
4,22,375,28,7.47,347,92.53,04022
4,23,254,35,13.78,219,86.22,04023
4,24,356,25,7.02,331,92.98,04024
4,25,313,13,4.15,300,95.85,04025
4,26,308,9,2.92,299,97.08,04026
4,27,309,14,4.53,295,95.47,04027
4,28,244,39,15.98,205,84.02,04028
4,29,227,41,18.06,186,81.94,04029
4,30,172,4,2.33,168,97.67,04030
4,31,95,2,2.11,93,97.89,04031
4,32,373,55,14.75,318,85.25,04032
4,33,113,6,5.31,107,94.69,04033
4,34,229,47,20.52,182,79.48,04034
4,35,191,7,3.66,184,96.34,04035
4,36,132,9,6.82,123,93.18,04036
4,37,168,2,1.19,166,98.81,04037
4,38,411,42,10.22,369,89.78,04038
4,39,136,3,2.21,133,97.79,04039
4,40,281,20,7.12,261,92.88,04040
4,41,145,17,11.72,128,88.28,04041
4,42,336,22,6.55,314,93.45,04042
4,43,227,35,15.42,192,84.58,04043
4,44,218,24,11.01,194,88.99,04044
4,45,474,40,8.44,434,91.56,04045
4,46,262,19,7.25,243,92.75,04046
4,47,428,33,7.71,395,92.29,04047
4,48,447,58,12.98,389,87.02,04048
4,49,96,1,1.04,95,98.96,04049
4,50,237,9,3.8,228,96.2,04050
4,51,353,10,2.83,343,97.17,04051
4,52,87,0,0.0,87,100.0,04052
4,53,16,2,12.5,14,87.5,04053
4,54,173,17,9.83,156,90.17,04054
4,55,223,30,13.45,193,86.55,04055
4,56,342,13,3.8,329,96.2,04056
4,57,156,10,6.41,146,93.59,04057
4,58,313,16,5.11,297,94.89,04058
5,1,336,12,3.57,324,96.43,05001
5,2,244,9,3.69,235,96.31,05002
5,3,152,17,11.18,135,88.82,05003
5,4,221,6,2.71,215,97.29,05004
5,5,241,5,2.07,236,97.93,05005
5,6,368,8,2.17,360,97.83,05006
5,7,333,14,4.2,319,95.8,05007
5,8,393,73,18.58,320,81.42,05008
5,9,279,7,2.51,272,97.49,05009
5,10,302,7,2.32,295,97.68,05010
5,11,314,56,17.83,258,82.17,05011
5,12,213,6,2.82,207,97.18,05012
5,13,265,9,3.4,256,96.6,05013
5,14,390,43,11.03,347,88.97,05014
5,15,282,23,8.16,259,91.84,05015
5,16,243,11,4.53,232,95.47,05016
5,17,315,3,0.95,312,99.05,05017
5,18,289,10,3.46,279,96.54,05018
5,19,148,9,6.08,139,93.92,05019
5,20,164,1,0.61,163,99.39,05020
5,21,322,5,1.55,317,98.45,05021
5,22,300,10,3.33,290,96.67,05022
5,23,224,6,2.68,218,97.32,05023
5,24,253,20,7.91,233,92.09,05024
5,25,298,11,3.69,287,96.31,05025
5,26,303,10,3.3,293,96.7,05026
5,27,355,79,22.25,276,77.75,05027
5,28,260,13,5.0,247,95.0,05028
5,29,298,14,4.7,284,95.3,05029
5,30,302,67,22.19,235,77.81,05030
5,31,267,6,2.25,261,97.75,05031
5,32,399,8,2.01,391,97.99,05032
5,33,268,7,2.61,261,97.39,05033
5,34,286,5,1.75,281,98.25,05034
5,35,203,35,17.24,168,82.76,05035
5,36,178,5,2.81,173,97.19,05036
5,37,226,35,15.49,191,84.51,05037
5,38,339,63,18.58,276,81.42,05038
5,39,306,66,21.57,240,78.43,05039
5,40,374,5,1.34,369,98.66,05040
5,41,276,63,22.83,213,77.17,05041
5,42,329,9,2.74,320,97.26,05042
5,43,312,25,8.01,287,91.99,05043
5,44,304,12,3.95,292,96.05,05044
5,45,172,4,2.33,168,97.67,05045
5,46,308,58,18.83,250,81.17,05046
5,47,248,8,3.23,240,96.77,05047
5,48,215,16,7.44,199,92.56,05048
5,49,67,2,2.99,65,97.01,05049
5,50,257,11,4.28,246,95.72,05050
5,51,241,6,2.49,235,97.51,05051
5,52,99,14,14.14,85,85.86,05052
5,53,382,42,10.99,340,89.01,05053
5,54,394,14,3.55,380,96.45,05054
6,1,357,18,5.04,339,94.96,06001
6,2,351,7,1.99,344,98.01,06002
6,3,338,8,2.37,330,97.63,06003
6,4,242,17,7.02,225,92.98,06004
6,5,193,7,3.63,186,96.37,06005
6,6,262,10,3.82,252,96.18,06006
6,7,342,10,2.92,332,97.08,06007
6,8,299,4,1.34,295,98.66,06008
6,9,242,11,4.55,231,95.45,06009
6,10,397,9,2.27,388,97.73,06010
6,11,288,11,3.82,277,96.18,06011
6,12,285,3,1.05,282,98.95,06012
6,13,282,6,2.13,276,97.87,06013
6,14,320,9,2.81,311,97.19,06014
6,15,283,8,2.83,275,97.17,06015
6,16,322,6,1.86,316,98.14,06016
6,17,367,11,3.0,356,97.0,06017
6,18,80,1,1.25,79,98.75,06018
6,19,381,9,2.36,372,97.64,06019
6,20,310,11,3.55,299,96.45,06020
6,21,287,9,3.14,278,96.86,06021
6,22,303,5,1.65,298,98.35,06022
6,23,262,2,0.76,260,99.24,06023
6,24,306,9,2.94,297,97.06,06024
6,25,194,6,3.09,188,96.91,06025
6,26,322,8,2.48,314,97.52,06026
6,27,392,10,2.55,382,97.45,06027
6,28,482,13,2.7,469,97.3,06028
6,29,363,2,0.55,361,99.45,06029
6,30,282,7,2.48,275,97.52,06030
6,31,353,8,2.27,345,97.73,06031
6,32,364,8,2.2,356,97.8,06032
6,33,366,11,3.01,355,96.99,06033
6,34,260,10,3.85,250,96.15,06034
6,35,374,17,4.55,357,95.45,06035
6,36,178,3,1.69,175,98.31,06036
6,37,346,9,2.6,337,97.4,06037
6,38,336,10,2.98,326,97.02,06038
6,39,275,7,2.55,268,97.45,06039
6,40,190,5,2.63,185,97.37,06040
6,41,317,5,1.58,312,98.42,06041
6,42,191,6,3.14,185,96.86,06042
6,43,362,12,3.31,350,96.69,06043
6,44,317,9,2.84,308,97.16,06044
6,45,196,6,3.06,190,96.94,06045
6,46,289,9,3.11,280,96.89,06046
6,47,323,7,2.17,316,97.83,06047
6,48,343,12,3.5,331,96.5,06048
6,49,318,4,1.26,314,98.74,06049
6,50,293,7,2.39,286,97.61,06050
6,51,252,5,1.98,247,98.02,06051
6,52,249,8,3.21,241,96.79,06052
6,53,272,13,4.78,259,95.22,06053
6,54,280,5,1.79,275,98.21,06054
6,55,271,11,4.06,260,95.94,06055
6,56,240,3,1.25,237,98.75,06056
6,57,173,2,1.16,171,98.84,06057
6,58,324,15,4.63,309,95.37,06058
6,59,258,10,3.88,248,96.12,06059
6,60,216,6,2.78,210,97.22,06060
6,61,212,2,0.94,210,99.06,06061
6,62,118,4,3.39,114,96.61,06062
6,63,255,6,2.35,249,97.65,06063
6,64,360,11,3.06,349,96.94,06064
6,65,105,0,0.0,105,100.0,06065
6,66,312,4,1.28,308,98.72,06066
7,1,316,12,3.8,304,96.2,07001
7,2,346,17,4.91,329,95.09,07002
7,3,198,4,2.02,194,97.98,07003
7,4,250,14,5.6,236,94.4,07004
7,5,237,15,6.33,222,93.67,07005
7,6,231,6,2.6,225,97.4,07006
7,7,187,3,1.6,184,98.4,07007
7,8,102,6,5.88,96,94.12,07008
7,9,261,10,3.83,251,96.17,07009
7,10,206,7,3.4,199,96.6,07010
7,11,272,10,3.68,262,96.32,07011
7,12,225,7,3.11,218,96.89,07012
