ward,precinct,total,ROBERTO MALDONADO,ROBERTO MALDONADO Percent,precinct_id
1,1,241,241,100.0,01001
1,6,41,41,100.0,01006
1,7,244,244,100.0,01007
1,9,227,227,100.0,01009
1,11,81,81,100.0,01011
1,13,201,201,100.0,01013
1,15,144,144,100.0,01015
1,16,149,149,100.0,01016
1,18,193,193,100.0,01018
1,19,246,246,100.0,01019
1,20,211,211,100.0,01020
1,22,230,230,100.0,01022
1,23,30,30,100.0,01023
1,24,295,295,100.0,01024
1,27,221,221,100.0,01027
1,28,222,222,100.0,01028
1,29,185,185,100.0,01029
1,30,257,257,100.0,01030
1,32,60,60,100.0,01032
1,33,255,255,100.0,01033
1,34,146,146,100.0,01034
1,36,88,88,100.0,01036
1,38,110,110,100.0,01038
1,39,272,272,100.0,01039
26,1,120,120,100.0,26001
26,2,131,131,100.0,26002
26,3,121,121,100.0,26003
26,4,115,115,100.0,26004
26,5,205,205,100.0,26005
26,6,127,127,100.0,26006
26,7,95,95,100.0,26007
26,8,100,100,100.0,26008
26,9,117,117,100.0,26009
26,10,109,109,100.0,26010
26,11,128,128,100.0,26011
26,12,104,104,100.0,26012
26,13,143,143,100.0,26013
26,14,132,132,100.0,26014
26,15,129,129,100.0,26015
26,16,124,124,100.0,26016
26,17,113,113,100.0,26017
26,18,99,99,100.0,26018
26,19,185,185,100.0,26019
26,20,168,168,100.0,26020
26,21,152,152,100.0,26021
26,22,96,96,100.0,26022
26,23,135,135,100.0,26023
26,24,119,119,100.0,26024
26,25,76,76,100.0,26025
26,26,92,92,100.0,26026
26,27,130,130,100.0,26027
26,28,135,135,100.0,26028
26,29,114,114,100.0,26029
26,30,151,151,100.0,26030
26,31,153,153,100.0,26031
26,32,159,159,100.0,26032
26,33,71,71,100.0,26033
26,34,143,143,100.0,26034
26,35,145,145,100.0,26035
26,36,139,139,100.0,26036
26,37,98,98,100.0,26037
26,38,113,113,100.0,26038
26,39,116,116,100.0,26039
26,40,50,50,100.0,26040
26,41,113,113,100.0,26041
26,42,119,119,100.0,26042
26,43,111,111,100.0,26043
26,44,102,102,100.0,26044
26,45,129,129,100.0,26045
26,46,130,130,100.0,26046
26,47,79,79,100.0,26047
26,48,180,180,100.0,26048
26,49,102,102,100.0,26049
26,50,76,76,100.0,26050
26,51,153,153,100.0,26051
26,52,75,75,100.0,26052
26,53,100,100,100.0,26053
26,54,111,111,100.0,26054
26,55,116,116,100.0,26055
26,56,133,133,100.0,26056
26,57,97,97,100.0,26057
