ward,precinct,total,LARRY SUFFREDIN,LARRY SUFFREDIN Percent,CALVIN R. SUTKER,CALVIN R. SUTKER Percent,precinct_id
49,1,113,91,80.53,22,19.47,49001
49,3,119,81,68.07,38,31.93,49003
49,4,0,0,0.0,0,0.0,49004
49,5,126,93,73.81,33,26.19,49005
49,6,109,72,66.06,37,33.94,49006
49,8,122,81,66.39,41,33.61,49008
49,10,178,127,71.35,51,28.65,49010
49,11,138,96,69.57,42,30.43,49011
49,13,134,98,73.13,36,26.87,49013
49,14,102,69,67.65,33,32.35,49014
49,15,108,63,58.33,45,41.67,49015
49,16,116,84,72.41,32,27.59,49016
49,18,23,15,65.22,8,34.78,49018
49,19,94,56,59.57,38,40.43,49019
49,20,134,88,65.67,46,34.33,49020
49,22,143,103,72.03,40,27.97,49022
49,23,100,70,70.0,30,30.0,49023
49,24,23,11,47.83,12,52.17,49024
49,25,96,59,61.46,37,38.54,49025
49,26,172,121,70.35,51,29.65,49026
49,27,127,74,58.27,53,41.73,49027
49,28,122,80,65.57,42,34.43,49028
49,29,69,44,63.77,25,36.23,49029
49,30,97,73,75.26,24,24.74,49030
49,31,117,69,58.97,48,41.03,49031
49,33,91,58,63.74,33,36.26,49033
49,34,75,44,58.67,31,41.33,49034
49,35,115,78,67.83,37,32.17,49035
49,36,75,63,84.0,12,16.0,49036
50,1,99,54,54.55,45,45.45,50001
50,2,141,78,55.32,63,44.68,50002
50,3,106,67,63.21,39,36.79,50003
50,4,163,74,45.4,89,54.6,50004
50,5,193,54,27.98,139,72.02,50005
50,6,97,42,43.3,55,56.7,50006
50,7,192,93,48.44,99,51.56,50007
50,9,110,54,49.09,56,50.91,50009
50,10,160,40,25.0,120,75.0,50010
50,11,147,38,25.85,109,74.15,50011
50,12,154,24,15.58,130,84.42,50012
50,13,98,36,36.73,62,63.27,50013
50,14,127,30,23.62,97,76.38,50014
50,15,175,108,61.71,67,38.29,50015
50,16,114,24,21.05,90,78.95,50016
50,18,121,39,32.23,82,67.77,50018
50,19,127,41,32.28,86,67.72,50019
50,20,113,61,53.98,52,46.02,50020
50,21,168,82,48.81,86,51.19,50021
50,22,114,49,42.98,65,57.02,50022
50,27,79,20,25.32,59,74.68,50027
50,28,169,43,25.44,126,74.56,50028
50,30,158,58,36.71,100,63.29,50030
50,31,93,19,20.43,74,79.57,50031
50,33,68,28,41.18,40,58.82,50033
50,34,0,0,0.0,0,0.0,50034
50,35,168,105,62.5,63,37.5,50035
50,36,131,76,58.02,55,41.98,50036
50,37,175,95,54.29,80,45.71,50037
50,38,133,25,18.8,108,81.2,50038
50,40,147,59,40.14,88,59.86,50040
50,41,209,60,28.71,149,71.29,50041
50,42,221,80,36.2,141,63.8,50042
50,43,164,55,33.54,109,66.46,50043
50,44,190,48,25.26,142,74.74,50044
50,45,166,81,48.8,85,51.2,50045
