ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
1,1,122,25,20.49,77,63.11,20,16.39,01001
1,2,149,24,16.11,88,59.06,37,24.83,01002
1,3,78,12,15.38,33,42.31,33,42.31,01003
1,4,104,14,13.46,61,58.65,29,27.88,01004
1,5,107,15,14.02,56,52.34,36,33.64,01005
1,6,33,12,36.36,13,39.39,8,24.24,01006
1,7,113,31,27.43,53,46.9,29,25.66,01007
1,8,66,18,27.27,30,45.45,18,27.27,01008
1,9,95,23,24.21,52,54.74,20,21.05,01009
1,10,103,17,16.5,51,49.51,35,33.98,01010
1,11,99,15,15.15,57,57.58,27,27.27,01011
1,12,136,20,14.71,68,50.0,48,35.29,01012
1,13,81,21,25.93,38,46.91,22,27.16,01013
1,14,96,34,35.42,37,38.54,25,26.04,01014
1,15,112,16,14.29,56,50.0,40,35.71,01015
1,16,93,27,29.03,31,33.33,35,37.63,01016
1,17,75,8,10.67,43,57.33,24,32.0,01017
1,18,112,34,30.36,46,41.07,32,28.57,01018
1,19,116,29,25.0,48,41.38,39,33.62,01019
1,20,78,13,16.67,41,52.56,24,30.77,01020
1,21,99,21,21.21,52,52.53,26,26.26,01021
1,22,68,21,30.88,31,45.59,16,23.53,01022
1,23,174,38,21.84,72,41.38,64,36.78,01023
1,24,79,14,17.72,48,60.76,17,21.52,01024
1,25,93,13,13.98,52,55.91,28,30.11,01025
1,26,113,21,18.58,58,51.33,34,30.09,01026
1,27,91,26,28.57,39,42.86,26,28.57,01027
1,28,17,4,23.53,5,29.41,8,47.06,01028
1,29,169,35,20.71,68,40.24,66,39.05,01029
1,30,98,24,24.49,45,45.92,29,29.59,01030
1,31,75,13,17.33,43,57.33,19,25.33,01031
1,32,120,19,15.83,64,53.33,37,30.83,01032
1,33,126,27,21.43,68,53.97,31,24.6,01033
1,34,26,5,19.23,15,57.69,6,23.08,01034
1,35,33,10,30.3,12,36.36,11,33.33,01035
1,36,98,18,18.37,54,55.1,26,26.53,01036
1,37,147,18,12.24,85,57.82,44,29.93,01037
2,1,126,29,23.02,55,43.65,42,33.33,02001
2,2,224,60,26.79,67,29.91,97,43.3,02002
2,3,90,37,41.11,28,31.11,25,27.78,02003
2,4,54,23,42.59,21,38.89,10,18.52,02004
2,5,72,32,44.44,25,34.72,15,20.83,02005
2,6,73,29,39.73,28,38.36,16,21.92,02006
2,7,197,72,36.55,68,34.52,57,28.93,02007
2,8,168,32,19.05,80,47.62,56,33.33,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,72,25,34.72,31,43.06,16,22.22,02010
2,11,245,58,23.67,130,53.06,57,23.27,02011
2,12,163,43,26.38,62,38.04,58,35.58,02012
2,13,200,58,29.0,60,30.0,82,41.0,02013
2,14,233,50,21.46,43,18.45,140,60.09,02014
2,15,39,8,20.51,16,41.03,15,38.46,02015
