ward,precinct,total,LEWIS NIXON,LEWIS NIXON Percent,DOMENICA ANN STEPHENSON,DOMENICA ANN STEPHENSON Percent,precinct_id
1,1,121,78,64.46,43,35.54,01001
1,2,143,77,53.85,66,46.15,01002
1,3,77,36,46.75,41,53.25,01003
1,4,103,62,60.19,41,39.81,01004
1,5,108,51,47.22,57,52.78,01005
1,6,33,22,66.67,11,33.33,01006
1,7,115,51,44.35,64,55.65,01007
1,8,73,35,47.95,38,52.05,01008
1,9,104,61,58.65,43,41.35,01009
1,10,101,61,60.4,40,39.6,01010
1,11,99,59,59.6,40,40.4,01011
1,12,137,58,42.34,79,57.66,01012
1,13,78,39,50.0,39,50.0,01013
1,14,102,50,49.02,52,50.98,01014
1,15,113,67,59.29,46,40.71,01015
1,16,94,50,53.19,44,46.81,01016
1,17,75,46,61.33,29,38.67,01017
1,18,108,60,55.56,48,44.44,01018
1,19,113,61,53.98,52,46.02,01019
1,20,80,38,47.5,42,52.5,01020
1,21,92,50,54.35,42,45.65,01021
1,22,65,29,44.62,36,55.38,01022
1,23,178,84,47.19,94,52.81,01023
1,24,83,51,61.45,32,38.55,01024
1,25,90,45,50.0,45,50.0,01025
1,26,111,60,54.05,51,45.95,01026
1,27,92,46,50.0,46,50.0,01027
1,28,19,7,36.84,12,63.16,01028
1,29,173,80,46.24,93,53.76,01029
1,30,95,56,58.95,39,41.05,01030
1,31,74,41,55.41,33,44.59,01031
1,32,127,65,51.18,62,48.82,01032
1,33,122,61,50.0,61,50.0,01033
1,34,27,17,62.96,10,37.04,01034
1,35,33,15,45.45,18,54.55,01035
1,36,93,55,59.14,38,40.86,01036
1,37,144,83,57.64,61,42.36,01037
2,1,120,72,60.0,48,40.0,02001
2,2,235,161,68.51,74,31.49,02002
2,3,88,47,53.41,41,46.59,02003
2,4,57,36,63.16,21,36.84,02004
2,5,69,35,50.72,34,49.28,02005
2,6,75,42,56.0,33,44.0,02006
2,7,195,110,56.41,85,43.59,02007
2,8,161,97,60.25,64,39.75,02008
2,9,0,0,0.0,0,0.0,02009
2,10,74,39,52.7,35,47.3,02010
2,11,240,161,67.08,79,32.92,02011
2,12,159,114,71.7,45,28.3,02012
2,13,208,137,65.87,71,34.13,02013
2,14,242,173,71.49,69,28.51,02014
2,15,40,22,55.0,18,45.0,02015
2,16,95,53,55.79,42,44.21,02016
2,17,126,76,60.32,50,39.68,02017
2,18,200,133,66.5,67,33.5,02018
2,19,65,32,49.23,33,50.77,02019
2,20,145,111,76.55,34,23.45,02020
2,21,139,89,64.03,50,35.97,02021
2,22,307,167,54.4,140,45.6,02022
2,23,104,62,59.62,42,40.38,02023
2,24,68,52,76.47,16,23.53,02024
2,25,63,31,49.21,32,50.79,02025
2,26,91,61,67.03,30,32.97,02026
2,27,21,11,52.38,10,47.62,02027
2,28,191,106,55.5,85,44.5,02028
2,29,67,44,65.67,23,34.33,02029
2,30,95,56,58.95,39,41.05,02030
2,31,179,125,69.83,54,30.17,02031
2,32,80,60,75.0,20,25.0,02032
2,33,224,153,68.3,71,31.7,02033
2,34,135,90,66.67,45,33.33,02034
2,35,29,16,55.17,13,44.83,02035
2,36,58,30,51.72,28,48.28,02036
2,37,169,93,55.03,76,44.97,02037
2,38,129,74,57.36,55,42.64,02038
2,39,154,83,53.9,71,46.1,02039
2,40,151,88,58.28,63,41.72,02040
2,41,32,17,53.13,15,46.88,02041
2,42,53,33,62.26,20,37.74,02042
2,43,159,92,57.86,67,42.14,02043
2,44,143,96,67.13,47,32.87,02044
2,45,63,45,71.43,18,28.57,02045
2,46,276,177,64.13,99,35.87,02046
2,47,104,60,57.69,44,42.31,02047
2,48,185,126,68.11,59,31.89,02048
2,49,54,26,48.15,28,51.85,02049
2,50,78,34,43.59,44,56.41,02050
2,51,136,69,50.74,67,49.26,02051
2,52,106,55,51.89,51,48.11,02052
2,53,73,42,57.53,31,42.47,02053
2,54,139,68,48.92,71,51.08,02054
2,55,113,62,54.87,51,45.13,02055
2,56,39,25,64.1,14,35.9,02056
3,1,111,83,74.77,28,25.23,03001
3,2,221,171,77.38,50,22.62,03002
3,3,21,17,80.95,4,19.05,03003
3,4,49,22,44.9,27,55.1,03004
3,5,0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,03007
3,8,80,51,63.75,29,36.25,03008
3,9,89,61,68.54,28,31.46,03009
3,10,78,52,66.67,26,33.33,03010
3,11,100,72,72.0,28,28.0,03011
3,12,146,95,65.07,51,34.93,03012
3,13,3,1,33.33,2,66.67,03013
3,14,58,33,56.9,25,43.1,03014
3,15,110,80,72.73,30,27.27,03015
3,16,206,152,73.79,54,26.21,03016
3,17,134,105,78.36,29,21.64,03017
3,18,111,72,64.86,39,35.14,03018
3,19,64,33,51.56,31,48.44,03019
3,20,34,14,41.18,20,58.82,03020
3,21,78,55,70.51,23,29.49,03021
3,22,110,80,72.73,30,27.27,03022
3,23,49,28,57.14,21,42.86,03023
3,24,135,89,65.93,46,34.07,03024
3,25,24,9,37.5,15,62.5,03025
3,26,90,63,70.0,27,30.0,03026
3,27,33,22,66.67,11,33.33,03027
3,28,140,101,72.14,39,27.86,03028
3,29,0,0,0.0,0,0.0,03029
3,30,137,107,78.1,30,21.9,03030
3,31,149,104,69.8,45,30.2,03031
3,32,156,109,69.87,47,30.13,03032
3,33,151,90,59.6,61,40.4,03033
3,34,47,35,74.47,12,25.53,03034
3,35,108,87,80.56,21,19.44,03035
3,36,49,32,65.31,17,34.69,03036
3,37,96,65,67.71,31,32.29,03037
3,38,175,120,68.57,55,31.43,03038
3,39,237,182,76.79,55,23.21,03039
3,40,119,81,68.07,38,31.93,03040
3,41,108,75,69.44,33,30.56,03041
3,42,71,38,53.52,33,46.48,03042
3,43,0,0,0.0,0,0.0,03043
3,44,88,71,80.68,17,19.32,03044
3,45,61,37,60.66,24,39.34,03045
3,46,18,7,38.89,11,61.11,03046
3,47,111,74,66.67,37,33.33,03047
3,48,127,89,70.08,38,29.92,03048
3,49,127,93,73.23,34,26.77,03049
3,50,153,126,82.35,27,17.65,03050
3,51,60,43,71.67,17,28.33,03051
3,52,165,115,69.7,50,30.3,03052
4,1,171,114,66.67,57,33.33,04001
4,2,43,27,62.79,16,37.21,04002
4,3,240,176,73.33,64,26.67,04003
4,4,219,139,63.47,80,36.53,04004
4,5,178,127,71.35,51,28.65,04005
4,6,0,0,0.0,0,0.0,04006
4,7,132,108,81.82,24,18.18,04007
4,8,252,192,76.19,60,23.81,04008
4,9,396,294,74.24,102,25.76,04009
4,10,296,190,64.19,106,35.81,04010
4,11,182,126,69.23,56,30.77,04011
4,12,136,111,81.62,25,18.38,04012
4,13,233,167,71.67,66,28.33,04013
4,14,94,67,71.28,27,28.72,04014
4,15,79,58,73.42,21,26.58,04015
4,16,186,128,68.82,58,31.18,04016
4,17,199,134,67.34,65,32.66,04017
4,18,148,92,62.16,56,37.84,04018
4,19,33,20,60.61,13,39.39,04019
4,20,59,34,57.63,25,42.37,04020
4,21,208,162,77.88,46,22.12,04021
4,22,229,165,72.05,64,27.95,04022
4,23,140,105,75.0,35,25.0,04023
4,24,195,143,73.33,52,26.67,04024
4,25,211,156,73.93,55,26.07,04025
4,26,168,126,75.0,42,25.0,04026
4,27,180,128,71.11,52,28.89,04027
4,28,158,110,69.62,48,30.38,04028
4,29,141,95,67.38,46,32.62,04029
4,30,47,25,53.19,22,46.81,04030
4,31,50,23,46.0,27,54.0,04031
4,32,181,133,73.48,48,26.52,04032
4,33,63,45,71.43,18,28.57,04033
