ward,precinct,total,JAMES A. DeLEO,JAMES A. DeLEO Percent,JOHN P. JOYCE,JOHN P. JOYCE Percent,precinct_id
26,1,5,1,20.0,4,80.0,26001
26,7,46,23,50.0,23,50.0,26007
26,30,59,31,52.54,28,47.46,26030
29,53,97,67,69.07,30,30.93,29053
29,54,98,84,85.71,14,14.29,29054
30,1,190,130,68.42,60,31.58,30001
30,2,124,84,67.74,40,32.26,30002
30,3,203,143,70.44,60,29.56,30003
30,4,52,45,86.54,7,13.46,30004
30,5,91,65,71.43,26,28.57,30005
30,6,157,101,64.33,56,35.67,30006
30,7,144,110,76.39,34,23.61,30007
30,8,175,125,71.43,50,28.57,30008
30,9,262,199,75.95,63,24.05,30009
30,10,126,93,73.81,33,26.19,30010
30,11,142,96,67.61,46,32.39,30011
30,12,148,95,64.19,53,35.81,30012
30,13,98,60,61.22,38,38.78,30013
30,14,113,77,68.14,36,31.86,30014
30,15,183,116,63.39,67,36.61,30015
30,16,83,53,63.86,30,36.14,30016
30,18,179,140,78.21,39,21.79,30018
30,19,96,76,79.17,20,20.83,30019
30,22,121,87,71.9,34,28.1,30022
30,23,92,59,64.13,33,35.87,30023
30,26,139,99,71.22,40,28.78,30026
30,27,122,91,74.59,31,25.41,30027
30,28,151,87,57.62,64,42.38,30028
30,29,148,93,62.84,55,37.16,30029
30,30,158,130,82.28,28,17.72,30030
30,31,122,98,80.33,24,19.67,30031
30,32,168,100,59.52,68,40.48,30032
30,33,4,4,100.0,0,0.0,30033
30,34,268,193,72.01,75,27.99,30034
30,35,113,74,65.49,39,34.51,30035
30,37,112,89,79.46,23,20.54,30037
30,38,164,120,73.17,44,26.83,30038
30,39,131,90,68.7,41,31.3,30039
30,40,126,92,73.02,34,26.98,30040
30,42,155,114,73.55,41,26.45,30042
30,43,113,83,73.45,30,26.55,30043
30,44,179,90,50.28,89,49.72,30044
31,5,6,5,83.33,1,16.67,31005
31,18,15,13,86.67,2,13.33,31018
31,32,0,0,0.0,0,0.0,31032
32,7,74,30,40.54,44,59.46,32007
32,8,111,60,54.05,51,45.95,32008
32,9,182,80,43.96,102,56.04,32009
32,10,71,32,45.07,39,54.93,32010
32,13,75,38,50.67,37,49.33,32013
32,15,124,58,46.77,66,53.23,32015
32,18,87,40,45.98,47,54.02,32018
32,19,213,109,51.17,104,48.83,32019
32,20,99,49,49.49,50,50.51,32020
32,21,151,70,46.36,81,53.64,32021
32,22,127,51,40.16,76,59.84,32022
32,23,100,47,47.0,53,53.0,32023
32,24,104,62,59.62,42,40.38,32024
32,25,138,75,54.35,63,45.65,32025
32,27,96,55,57.29,41,42.71,32027
32,32,104,45,43.27,59,56.73,32032
32,37,111,46,41.44,65,58.56,32037
32,38,148,58,39.19,90,60.81,32038
32,39,115,60,52.17,55,47.83,32039
32,40,127,61,48.03,66,51.97,32040
32,41,164,77,46.95,87,53.05,32041
32,42,137,74,54.01,63,45.99,32042
32,43,122,69,56.56,53,43.44,32043
32,44,107,58,54.21,49,45.79,32044
32,45,142,75,52.82,67,47.18,32045
32,48,111,39,35.14,72,64.86,32048
33,7,163,90,55.21,73,44.79,33007
33,8,139,81,58.27,58,41.73,33008
33,9,154,90,58.44,64,41.56,33009
33,11,161,83,51.55,78,48.45,33011
33,14,133,84,63.16,49,36.84,33014
33,16,170,119,70.0,51,30.0,33016
33,18,63,45,71.43,18,28.57,33018
33,22,167,103,61.68,64,38.32,33022
33,23,137,74,54.01,63,45.99,33023
33,24,160,78,48.75,82,51.25,33024
33,25,254,164,64.57,90,35.43,33025
33,26,4,2,50.0,2,50.0,33026
33,27,267,205,76.78,62,23.22,33027
33,28,146,72,49.32,74,50.68,33028
33,29,167,110,65.87,57,34.13,33029
33,35,23,19,82.61,4,17.39,33035
33,37,110,59,53.64,51,46.36,33037
33,38,61,39,63.93,22,36.07,33038
36,1,159,136,85.53,23,14.47,36001
36,2,141,111,78.72,30,21.28,36002
36,3,151,124,82.12,27,17.88,36003
36,5,145,125,86.21,20,13.79,36005
36,6,149,131,87.92,18,12.08,36006
36,7,188,143,76.06,45,23.94,36007
36,8,220,180,81.82,40,18.18,36008
36,9,198,160,80.81,38,19.19,36009
36,10,174,139,79.89,35,20.11,36010
36,11,287,250,87.11,37,12.89,36011
36,12,206,161,78.16,45,21.84,36012
36,13,321,290,90.34,31,9.66,36013
36,14,242,223,92.15,19,7.85,36014
36,15,169,142,84.02,27,15.98,36015
36,16,199,142,71.36,57,28.64,36016
36,17,169,141,83.43,28,16.57,36017
36,18,216,169,78.24,47,21.76,36018
36,19,358,346,96.65,12,3.35,36019
36,20,274,248,90.51,26,9.49,36020
36,21,203,173,85.22,30,14.78,36021
36,22,245,180,73.47,65,26.53,36022
36,25,129,94,72.87,35,27.13,36025
36,27,174,145,83.33,29,16.67,36027
36,28,164,137,83.54,27,16.46,36028
36,29,209,179,85.65,30,14.35,36029
