ward,precinct,total,ARTHUR L. TURNER,ARTHUR L. TURNER Percent,precinct_id
2,4,66,66,100.0,02004
2,9,0,0,0.0,02009
2,10,83,83,100.0,02010
2,17,125,125,100.0,02017
2,23,17,17,100.0,02023
2,25,66,66,100.0,02025
2,28,191,191,100.0,02028
2,30,94,94,100.0,02030
2,32,92,92,100.0,02032
2,34,161,161,100.0,02034
2,36,50,50,100.0,02036
2,38,127,127,100.0,02038
2,39,123,123,100.0,02039
2,41,35,35,100.0,02041
2,42,46,46,100.0,02042
2,50,92,92,100.0,02050
2,51,145,145,100.0,02051
11,50,2,2,100.0,11050
12,19,74,74,100.0,12019
22,7,117,117,100.0,22007
22,8,218,218,100.0,22008
22,12,145,145,100.0,22012
22,19,113,113,100.0,22019
22,20,113,113,100.0,22020
22,21,194,194,100.0,22021
22,28,185,185,100.0,22028
24,1,161,161,100.0,24001
24,2,153,153,100.0,24002
24,3,137,137,100.0,24003
24,4,137,137,100.0,24004
24,5,145,145,100.0,24005
24,6,191,191,100.0,24006
24,8,154,154,100.0,24008
24,9,150,150,100.0,24009
24,10,146,146,100.0,24010
24,11,41,41,100.0,24011
24,12,105,105,100.0,24012
24,13,125,125,100.0,24013
24,14,187,187,100.0,24014
24,15,133,133,100.0,24015
24,17,137,137,100.0,24017
24,18,0,0,0.0,24018
24,19,117,117,100.0,24019
24,20,177,177,100.0,24020
24,21,116,116,100.0,24021
24,22,168,168,100.0,24022
24,23,155,155,100.0,24023
24,24,116,116,100.0,24024
24,25,154,154,100.0,24025
24,26,178,178,100.0,24026
24,27,79,79,100.0,24027
24,28,170,170,100.0,24028
24,29,129,129,100.0,24029
24,30,139,139,100.0,24030
24,31,152,152,100.0,24031
24,32,160,160,100.0,24032
24,34,114,114,100.0,24034
24,35,162,162,100.0,24035
24,36,124,124,100.0,24036
24,37,166,166,100.0,24037
24,38,162,162,100.0,24038
24,39,145,145,100.0,24039
24,40,236,236,100.0,24040
24,42,144,144,100.0,24042
24,43,158,158,100.0,24043
24,44,57,57,100.0,24044
24,45,127,127,100.0,24045
24,47,143,143,100.0,24047
24,48,27,27,100.0,24048
24,49,176,176,100.0,24049
24,50,203,203,100.0,24050
24,51,209,209,100.0,24051
24,52,158,158,100.0,24052
24,53,102,102,100.0,24053
25,4,216,216,100.0,25004
25,6,154,154,100.0,25006
25,10,45,45,100.0,25010
25,12,124,124,100.0,25012
25,18,61,61,100.0,25018
27,1,45,45,100.0,27001
27,7,87,87,100.0,27007
27,17,147,147,100.0,27017
27,18,2,2,100.0,27018
27,50,73,73,100.0,27050
27,53,123,123,100.0,27053
27,54,53,53,100.0,27054
27,56,76,76,100.0,27056
27,57,72,72,100.0,27057
27,58,112,112,100.0,27058
27,59,44,44,100.0,27059
28,14,46,46,100.0,28014
28,17,75,75,100.0,28017
28,32,6,6,100.0,28032
28,35,104,104,100.0,28035
28,39,52,52,100.0,28039
28,48,35,35,100.0,28048
28,52,129,129,100.0,28052
28,53,37,37,100.0,28053
28,54,73,73,100.0,28054
42,9,28,28,100.0,42009
42,12,93,93,100.0,42012
42,14,94,94,100.0,42014
42,21,84,84,100.0,42021
42,26,95,95,100.0,42026
42,32,99,99,100.0,42032
42,39,141,141,100.0,42039
42,46,11,11,100.0,42046
42,48,61,61,100.0,42048
42,49,125,125,100.0,42049
42,57,1,1,100.0,42057
42,68,87,87,100.0,42068
