ward,precinct,total,MONIQUE D. DAVIS,MONIQUE D. DAVIS Percent,JEROME BROWN,JEROME BROWN Percent,precinct_id
9,10,216,181,83.8,35,16.2,09010
9,20,277,238,85.92,39,14.08,09020
9,21,172,149,86.63,23,13.37,09021
9,27,143,122,85.31,21,14.69,09027
9,51,169,143,84.62,26,15.38,09051
18,26,103,97,94.17,6,5.83,18026
18,39,60,55,91.67,5,8.33,18039
18,41,81,11,13.58,70,86.42,18041
18,44,15,12,80.0,3,20.0,18044
19,13,229,212,92.58,17,7.42,19013
19,20,222,180,81.08,42,18.92,19020
19,27,164,117,71.34,47,28.66,19027
19,28,339,291,85.84,48,14.16,19028
19,31,231,162,70.13,69,29.87,19031
19,40,281,197,70.11,84,29.89,19040
19,42,89,71,79.78,18,20.22,19042
19,43,268,232,86.57,36,13.43,19043
19,48,298,245,82.21,53,17.79,19048
19,49,310,257,82.9,53,17.1,19049
19,50,228,188,82.46,40,17.54,19050
19,60,243,220,90.53,23,9.47,19060
19,63,166,131,78.92,35,21.08,19063
19,64,391,308,78.77,83,21.23,19064
19,65,53,43,81.13,10,18.87,19065
21,1,318,277,87.11,41,12.89,21001
21,3,338,301,89.05,37,10.95,21003
21,4,315,274,86.98,41,13.02,21004
21,5,223,203,91.03,20,8.97,21005
21,6,213,186,87.32,27,12.68,21006
21,7,261,239,91.57,22,8.43,21007
21,8,229,198,86.46,31,13.54,21008
21,9,227,200,88.11,27,11.89,21009
21,10,162,143,88.27,19,11.73,21010
21,11,242,209,86.36,33,13.64,21011
21,12,257,233,90.66,24,9.34,21012
21,13,87,81,93.1,6,6.9,21013
21,14,219,191,87.21,28,12.79,21014
21,15,143,114,79.72,29,20.28,21015
21,16,94,76,80.85,18,19.15,21016
21,18,254,234,92.13,20,7.87,21018
21,19,200,185,92.5,15,7.5,21019
21,20,67,58,86.57,9,13.43,21020
21,21,251,204,81.27,47,18.73,21021
21,22,251,211,84.06,40,15.94,21022
21,24,269,243,90.33,26,9.67,21024
21,27,264,235,89.02,29,10.98,21027
21,28,200,181,90.5,19,9.5,21028
21,29,174,144,82.76,30,17.24,21029
21,30,118,79,66.95,39,33.05,21030
21,31,323,296,91.64,27,8.36,21031
21,33,229,214,93.45,15,6.55,21033
21,35,152,123,80.92,29,19.08,21035
21,36,274,243,88.69,31,11.31,21036
21,38,233,208,89.27,25,10.73,21038
21,39,167,127,76.05,40,23.95,21039
21,40,233,204,87.55,29,12.45,21040
21,42,261,238,91.19,23,8.81,21042
21,44,220,200,90.91,20,9.09,21044
21,45,187,160,85.56,27,14.44,21045
21,47,325,286,88.0,39,12.0,21047
21,49,296,251,84.8,45,15.2,21049
21,50,230,200,86.96,30,13.04,21050
21,51,250,218,87.2,32,12.8,21051
21,52,231,203,87.88,28,12.12,21052
21,53,194,166,85.57,28,14.43,21053
21,54,233,200,85.84,33,14.16,21054
21,56,141,104,73.76,37,26.24,21056
21,57,138,113,81.88,25,18.12,21057
21,58,160,137,85.63,23,14.38,21058
21,59,304,275,90.46,29,9.54,21059
21,60,102,89,87.25,13,12.75,21060
21,61,258,227,87.98,31,12.02,21061
21,63,229,206,89.96,23,10.04,21063
21,64,18,16,88.89,2,11.11,21064
21,66,195,168,86.15,27,13.85,21066
21,67,182,130,71.43,52,28.57,21067
21,68,120,92,76.67,28,23.33,21068
21,69,143,100,69.93,43,30.07,21069
34,1,342,294,85.96,48,14.04,34001
34,7,317,228,71.92,89,28.08,34007
34,8,262,192,73.28,70,26.72,34008
34,12,215,162,75.35,53,24.65,34012
34,21,200,125,62.5,75,37.5,34021
34,25,146,123,84.25,23,15.75,34025
34,29,283,205,72.44,78,27.56,34029
34,32,248,190,76.61,58,23.39,34032
34,33,165,102,61.82,63,38.18,34033
34,34,261,236,90.42,25,9.58,34034
34,44,273,202,73.99,71,26.01,34044
34,45,298,242,81.21,56,18.79,34045
34,46,168,147,87.5,21,12.5,34046
34,47,124,75,60.48,49,39.52,34047
34,48,236,188,79.66,48,20.34,34048
34,49,293,236,80.55,57,19.45,34049
34,51,306,236,77.12,70,22.88,34051
34,61,1,1,100.0,0,0.0,34061
