ward,precinct,total,CORINNE WOOD,CORINNE WOOD Percent,PATRICK J. O'MALLEY,PATRICK J. O'MALLEY Percent,JIM RYAN,JIM RYAN Percent,precinct_id
1,1,7,2,28.57,3,42.86,2,28.57,01001
1,2,14,5,35.71,3,21.43,6,42.86,01002
1,3,14,5,35.71,2,14.29,7,50.0,01003
1,4,10,7,70.0,1,10.0,2,20.0,01004
1,5,5,3,60.0,0,0.0,2,40.0,01005
1,6,2,0,0.0,1,50.0,1,50.0,01006
1,7,32,17,53.13,3,9.38,12,37.5,01007
1,8,10,8,80.0,0,0.0,2,20.0,01008
1,9,20,8,40.0,3,15.0,9,45.0,01009
1,10,20,9,45.0,3,15.0,8,40.0,01010
1,11,10,3,30.0,1,10.0,6,60.0,01011
1,12,12,4,33.33,1,8.33,7,58.33,01012
1,13,5,1,20.0,1,20.0,3,60.0,01013
1,14,4,1,25.0,2,50.0,1,25.0,01014
1,15,1,0,0.0,0,0.0,1,100.0,01015
1,16,2,0,0.0,2,100.0,0,0.0,01016
1,17,17,10,58.82,2,11.76,5,29.41,01017
1,18,7,2,28.57,2,28.57,3,42.86,01018
1,19,3,0,0.0,1,33.33,2,66.67,01019
1,20,5,0,0.0,3,60.0,2,40.0,01020
1,21,11,5,45.45,4,36.36,2,18.18,01021
1,22,2,0,0.0,1,50.0,1,50.0,01022
1,23,18,8,44.44,3,16.67,7,38.89,01023
1,24,9,3,33.33,3,33.33,3,33.33,01024
1,25,12,8,66.67,1,8.33,3,25.0,01025
1,26,11,6,54.55,3,27.27,2,18.18,01026
1,27,6,5,83.33,0,0.0,1,16.67,01027
1,28,2,1,50.0,1,50.0,0,0.0,01028
1,29,17,11,64.71,2,11.76,4,23.53,01029
1,30,2,1,50.0,0,0.0,1,50.0,01030
1,31,14,4,28.57,0,0.0,10,71.43,01031
1,32,10,5,50.0,1,10.0,4,40.0,01032
1,33,7,3,42.86,1,14.29,3,42.86,01033
1,34,5,4,80.0,1,20.0,0,0.0,01034
1,35,8,3,37.5,1,12.5,4,50.0,01035
1,36,13,3,23.08,6,46.15,4,30.77,01036
1,37,14,8,57.14,2,14.29,4,28.57,01037
2,1,28,14,50.0,3,10.71,11,39.29,02001
2,2,7,5,71.43,0,0.0,2,28.57,02002
2,3,0,0,0.0,0,0.0,0,0.0,02003
2,4,5,4,80.0,0,0.0,1,20.0,02004
2,5,4,2,50.0,1,25.0,1,25.0,02005
2,6,1,0,0.0,1,100.0,0,0.0,02006
2,7,2,2,100.0,0,0.0,0,0.0,02007
2,8,37,16,43.24,11,29.73,10,27.03,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,02010
2,11,29,16,55.17,3,10.34,10,34.48,02011
2,12,3,2,66.67,0,0.0,1,33.33,02012
2,13,3,3,100.0,0,0.0,0,0.0,02013
2,14,11,7,63.64,1,9.09,3,27.27,02014
2,15,0,0,0.0,0,0.0,0,0.0,02015
2,16,2,1,50.0,0,0.0,1,50.0,02016
2,17,2,0,0.0,0,0.0,2,100.0,02017
2,18,2,0,0.0,0,0.0,2,100.0,02018
2,19,0,0,0.0,0,0.0,0,0.0,02019
2,20,1,0,0.0,1,100.0,0,0.0,02020
2,21,1,0,0.0,1,100.0,0,0.0,02021
2,22,39,13,33.33,8,20.51,18,46.15,02022
2,23,1,0,0.0,0,0.0,1,100.0,02023
2,24,1,0,0.0,0,0.0,1,100.0,02024
2,25,10,4,40.0,3,30.0,3,30.0,02025
2,26,5,3,60.0,1,20.0,1,20.0,02026
2,27,0,0,0.0,0,0.0,0,0.0,02027
2,28,0,0,0.0,0,0.0,0,0.0,02028
2,29,0,0,0.0,0,0.0,0,0.0,02029
2,30,0,0,0.0,0,0.0,0,0.0,02030
2,31,3,1,33.33,1,33.33,1,33.33,02031
2,32,2,2,100.0,0,0.0,0,0.0,02032
2,33,6,2,33.33,2,33.33,2,33.33,02033
2,34,4,3,75.0,1,25.0,0,0.0,02034
2,35,16,8,50.0,1,6.25,7,43.75,02035
2,36,0,0,0.0,0,0.0,0,0.0,02036
2,37,28,17,60.71,3,10.71,8,28.57,02037
2,38,6,3,50.0,2,33.33,1,16.67,02038
2,39,9,1,11.11,1,11.11,7,77.78,02039
2,40,7,5,71.43,2,28.57,0,0.0,02040
2,41,1,0,0.0,1,100.0,0,0.0,02041
2,42,3,0,0.0,2,66.67,1,33.33,02042
2,43,50,24,48.0,7,14.0,19,38.0,02043
2,44,2,2,100.0,0,0.0,0,0.0,02044
2,45,1,1,100.0,0,0.0,0,0.0,02045
2,46,6,5,83.33,0,0.0,1,16.67,02046
2,47,3,1,33.33,1,33.33,1,33.33,02047
2,48,9,5,55.56,0,0.0,4,44.44,02048
2,49,14,9,64.29,2,14.29,3,21.43,02049
2,50,10,7,70.0,3,30.0,0,0.0,02050
2,51,3,1,33.33,1,33.33,1,33.33,02051
2,52,8,4,50.0,1,12.5,3,37.5,02052
2,53,1,1,100.0,0,0.0,0,0.0,02053
2,54,41,19,46.34,9,21.95,13,31.71,02054
2,55,7,3,42.86,0,0.0,4,57.14,02055
2,56,0,0,0.0,0,0.0,0,0.0,02056
3,1,1,1,100.0,0,0.0,0,0.0,03001
3,2,3,1,33.33,1,33.33,1,33.33,03002
3,3,1,1,100.0,0,0.0,0,0.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,0,0,0.0,0,0.0,0,0.0,03008
3,9,7,5,71.43,2,28.57,0,0.0,03009
3,10,1,0,0.0,1,100.0,0,0.0,03010
3,11,2,1,50.0,0,0.0,1,50.0,03011
3,12,5,4,80.0,0,0.0,1,20.0,03012
3,13,0,0,0.0,0,0.0,0,0.0,03013
3,14,2,1,50.0,0,0.0,1,50.0,03014
3,15,1,1,100.0,0,0.0,0,0.0,03015
3,16,2,1,50.0,1,50.0,0,0.0,03016
3,17,1,1,100.0,0,0.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,0,0.0,03018
3,19,2,0,0.0,1,50.0,1,50.0,03019
3,20,1,0,0.0,1,100.0,0,0.0,03020
3,21,1,1,100.0,0,0.0,0,0.0,03021
3,22,1,0,0.0,0,0.0,1,100.0,03022
3,23,0,0,0.0,0,0.0,0,0.0,03023
3,24,3,3,100.0,0,0.0,0,0.0,03024
3,25,3,1,33.33,2,66.67,0,0.0,03025
3,26,1,0,0.0,0,0.0,1,100.0,03026
3,27,1,1,100.0,0,0.0,0,0.0,03027
3,28,2,2,100.0,0,0.0,0,0.0,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,2,1,50.0,0,0.0,1,50.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,03031
