ward,precinct,total,MARK A. AUGUSTI,MARK A. AUGUSTI Percent,WILLIAM F. HURLEY,WILLIAM F. HURLEY Percent,GENE URBASZEWSKI,GENE URBASZEWSKI Percent,precinct_id
26,1,0,0,0.0,0,0.0,0,0.0,26001
26,7,4,1,25.0,3,75.0,0,0.0,26007
26,30,9,0,0.0,6,66.67,3,33.33,26030
29,53,16,3,18.75,9,56.25,4,25.0,29053
29,54,5,1,20.0,2,40.0,2,40.0,29054
30,1,19,5,26.32,11,57.89,3,15.79,30001
30,2,24,7,29.17,9,37.5,8,33.33,30002
30,3,22,7,31.82,12,54.55,3,13.64,30003
30,4,6,3,50.0,1,16.67,2,33.33,30004
30,5,14,4,28.57,8,57.14,2,14.29,30005
30,6,5,1,20.0,3,60.0,1,20.0,30006
30,7,6,2,33.33,4,66.67,0,0.0,30007
30,8,10,2,20.0,3,30.0,5,50.0,30008
30,9,14,5,35.71,5,35.71,4,28.57,30009
30,10,18,5,27.78,8,44.44,5,27.78,30010
30,11,15,4,26.67,7,46.67,4,26.67,30011
30,12,26,7,26.92,11,42.31,8,30.77,30012
30,13,5,1,20.0,3,60.0,1,20.0,30013
30,14,12,8,66.67,4,33.33,0,0.0,30014
30,15,10,5,50.0,4,40.0,1,10.0,30015
30,16,8,1,12.5,4,50.0,3,37.5,30016
30,18,8,3,37.5,5,62.5,0,0.0,30018
30,19,11,2,18.18,4,36.36,5,45.45,30019
30,22,18,5,27.78,10,55.56,3,16.67,30022
30,23,8,1,12.5,6,75.0,1,12.5,30023
30,26,5,1,20.0,1,20.0,3,60.0,30026
30,27,15,5,33.33,7,46.67,3,20.0,30027
30,28,31,16,51.61,11,35.48,4,12.9,30028
30,29,14,5,35.71,6,42.86,3,21.43,30029
30,30,12,2,16.67,4,33.33,6,50.0,30030
30,31,6,0,0.0,4,66.67,2,33.33,30031
30,32,21,8,38.1,12,57.14,1,4.76,30032
30,33,0,0,0.0,0,0.0,0,0.0,30033
30,34,20,8,40.0,9,45.0,3,15.0,30034
30,35,12,5,41.67,2,16.67,5,41.67,30035
30,37,6,0,0.0,1,16.67,5,83.33,30037
30,38,9,2,22.22,5,55.56,2,22.22,30038
30,39,9,1,11.11,5,55.56,3,33.33,30039
30,40,13,4,30.77,8,61.54,1,7.69,30040
30,42,4,2,50.0,1,25.0,1,25.0,30042
30,43,15,5,33.33,3,20.0,7,46.67,30043
30,44,23,3,13.04,18,78.26,2,8.7,30044
31,5,0,0,0.0,0,0.0,0,0.0,31005
31,18,1,1,100.0,0,0.0,0,0.0,31018
31,32,3,1,33.33,1,33.33,1,33.33,31032
32,7,22,6,27.27,13,59.09,3,13.64,32007
32,8,32,20,62.5,10,31.25,2,6.25,32008
32,9,25,4,16.0,16,64.0,5,20.0,32009
32,10,15,6,40.0,7,46.67,2,13.33,32010
32,13,18,9,50.0,8,44.44,1,5.56,32013
32,15,17,5,29.41,10,58.82,2,11.76,32015
32,18,24,10,41.67,7,29.17,7,29.17,32018
32,19,13,2,15.38,7,53.85,4,30.77,32019
32,20,13,6,46.15,5,38.46,2,15.38,32020
32,21,16,3,18.75,9,56.25,4,25.0,32021
32,22,25,8,32.0,13,52.0,4,16.0,32022
32,23,25,9,36.0,14,56.0,2,8.0,32023
32,24,18,5,27.78,7,38.89,6,33.33,32024
32,25,12,2,16.67,6,50.0,4,33.33,32025
32,27,12,3,25.0,8,66.67,1,8.33,32027
32,32,34,11,32.35,21,61.76,2,5.88,32032
32,37,11,5,45.45,5,45.45,1,9.09,32037
32,38,23,5,21.74,13,56.52,5,21.74,32038
32,39,23,8,34.78,11,47.83,4,17.39,32039
32,40,23,6,26.09,15,65.22,2,8.7,32040
32,41,30,17,56.67,8,26.67,5,16.67,32041
32,42,20,4,20.0,13,65.0,3,15.0,32042
32,43,48,17,35.42,24,50.0,7,14.58,32043
32,44,9,4,44.44,3,33.33,2,22.22,32044
32,45,19,5,26.32,10,52.63,4,21.05,32045
32,48,33,14,42.42,14,42.42,5,15.15,32048
33,7,9,1,11.11,4,44.44,4,44.44,33007
33,8,9,4,44.44,2,22.22,3,33.33,33008
