ward,precinct,total,BYRON F. REED,BYRON F. REED Percent,ROBERT DALLAS,ROBERT DALLAS Percent,MARK TUNNEY,MARK TUNNEY Percent,precinct_id
1,1,2,0,0.0,2,100.0,0,0.0,01001
1,6,2,1,50.0,1,50.0,0,0.0,01006
1,7,5,1,20.0,1,20.0,3,60.0,01007
1,11,1,0,0.0,0,0.0,1,100.0,01011
1,28,0,0,0.0,0,0.0,0,0.0,01028
1,31,9,1,11.11,3,33.33,5,55.56,01031
1,32,0,0,0.0,0,0.0,0,0.0,01032
1,35,5,1,20.0,1,20.0,3,60.0,01035
2,1,22,3,13.64,11,50.0,8,36.36,02001
2,3,0,0,0.0,0,0.0,0,0.0,02003
2,4,2,0,0.0,2,100.0,0,0.0,02004
2,5,4,0,0.0,4,100.0,0,0.0,02005
2,6,1,0,0.0,1,100.0,0,0.0,02006
2,7,1,1,100.0,0,0.0,0,0.0,02007
2,8,30,9,30.0,4,13.33,17,56.67,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,02010
2,11,17,4,23.53,2,11.76,11,64.71,02011
2,15,0,0,0.0,0,0.0,0,0.0,02015
2,16,1,1,100.0,0,0.0,0,0.0,02016
2,17,3,0,0.0,1,33.33,2,66.67,02017
2,19,0,0,0.0,0,0.0,0,0.0,02019
2,22,30,9,30.0,5,16.67,16,53.33,02022
2,23,1,0,0.0,0,0.0,1,100.0,02023
2,25,7,2,28.57,2,28.57,3,42.86,02025
2,26,3,0,0.0,1,33.33,2,66.67,02026
2,27,0,0,0.0,0,0.0,0,0.0,02027
2,28,0,0,0.0,0,0.0,0,0.0,02028
2,30,0,0,0.0,0,0.0,0,0.0,02030
2,32,1,1,100.0,0,0.0,0,0.0,02032
2,33,4,1,25.0,2,50.0,1,25.0,02033
2,34,4,1,25.0,2,50.0,1,25.0,02034
2,35,12,4,33.33,3,25.0,5,41.67,02035
2,36,0,0,0.0,0,0.0,0,0.0,02036
2,37,17,3,17.65,7,41.18,7,41.18,02037
2,38,4,2,50.0,1,25.0,1,25.0,02038
2,39,8,2,25.0,3,37.5,3,37.5,02039
2,40,6,1,16.67,2,33.33,3,50.0,02040
2,41,1,1,100.0,0,0.0,0,0.0,02041
2,42,3,1,33.33,0,0.0,2,66.67,02042
2,43,32,6,18.75,7,21.88,19,59.38,02043
2,48,8,6,75.0,2,25.0,0,0.0,02048
2,49,10,2,20.0,2,20.0,6,60.0,02049
2,50,9,3,33.33,4,44.44,2,22.22,02050
2,51,2,1,50.0,1,50.0,0,0.0,02051
2,52,7,0,0.0,5,71.43,2,28.57,02052
2,53,1,0,0.0,1,100.0,0,0.0,02053
2,54,26,8,30.77,5,19.23,13,50.0,02054
2,55,6,1,16.67,1,16.67,4,66.67,02055
2,56,0,0,0.0,0,0.0,0,0.0,02056
3,1,2,2,100.0,0,0.0,0,0.0,03001
3,2,3,2,66.67,0,0.0,1,33.33,03002
3,3,1,0,0.0,1,100.0,0,0.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,0,0,0.0,0,0.0,0,0.0,03008
3,9,3,2,66.67,1,33.33,0,0.0,03009
3,10,1,1,100.0,0,0.0,0,0.0,03010
3,11,1,0,0.0,0,0.0,1,100.0,03011
3,12,3,1,33.33,0,0.0,2,66.67,03012
3,13,1,0,0.0,0,0.0,1,100.0,03013
3,14,1,1,100.0,0,0.0,0,0.0,03014
3,15,0,0,0.0,0,0.0,0,0.0,03015
3,16,1,0,0.0,1,100.0,0,0.0,03016
3,17,1,0,0.0,1,100.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,0,0.0,03018
3,19,2,0,0.0,2,100.0,0,0.0,03019
3,20,0,0,0.0,0,0.0,0,0.0,03020
3,21,1,0,0.0,0,0.0,1,100.0,03021
3,22,0,0,0.0,0,0.0,0,0.0,03022
3,23,0,0,0.0,0,0.0,0,0.0,03023
3,24,3,2,66.67,0,0.0,1,33.33,03024
3,25,1,0,0.0,1,100.0,0,0.0,03025
3,26,0,0,0.0,0,0.0,0,0.0,03026
3,27,1,0,0.0,1,100.0,0,0.0,03027
3,28,0,0,0.0,0,0.0,0,0.0,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,0,0,0.0,0,0.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,03031
3,32,0,0,0.0,0,0.0,0,0.0,03032
3,33,2,1,50.0,1,50.0,0,0.0,03033
3,35,0,0,0.0,0,0.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,0,0.0,03036
3,37,0,0,0.0,0,0.0,0,0.0,03037
3,38,0,0,0.0,0,0.0,0,0.0,03038
3,39,6,2,33.33,3,50.0,1,16.67,03039
