ward,precinct,total,C. A. LOFTON,C. A. LOFTON Percent,precinct_id
6,11,0,0,0.0,06011
6,12,0,0,0.0,06012
6,18,0,0,0.0,06018
6,19,4,4,100.0,06019
6,20,0,0,0.0,06020
6,32,0,0,0.0,06032
6,42,0,0,0.0,06042
6,49,1,1,100.0,06049
13,1,25,25,100.0,13001
13,3,13,13,100.0,13003
13,8,27,27,100.0,13008
13,24,22,22,100.0,13024
13,47,0,0,0.0,13047
13,61,11,11,100.0,13061
13,63,16,16,100.0,13063
17,2,6,6,100.0,17002
17,3,1,1,100.0,17003
17,4,3,3,100.0,17004
17,5,0,0,0.0,17005
17,7,0,0,0.0,17007
17,9,1,1,100.0,17009
17,10,0,0,0.0,17010
17,11,0,0,0.0,17011
17,12,2,2,100.0,17012
17,15,3,3,100.0,17015
17,18,1,1,100.0,17018
17,20,1,1,100.0,17020
17,21,6,6,100.0,17021
17,22,1,1,100.0,17022
17,23,0,0,0.0,17023
17,24,4,4,100.0,17024
17,25,0,0,0.0,17025
17,26,3,3,100.0,17026
17,27,1,1,100.0,17027
17,28,0,0,0.0,17028
17,29,0,0,0.0,17029
17,30,2,2,100.0,17030
17,31,1,1,100.0,17031
17,32,0,0,0.0,17032
17,33,0,0,0.0,17033
17,35,3,3,100.0,17035
17,37,4,4,100.0,17037
17,38,0,0,0.0,17038
17,40,0,0,0.0,17040
17,44,0,0,0.0,17044
17,47,2,2,100.0,17047
17,48,1,1,100.0,17048
17,50,2,2,100.0,17050
17,51,4,4,100.0,17051
17,52,1,1,100.0,17052
17,53,5,5,100.0,17053
17,54,1,1,100.0,17054
17,55,2,2,100.0,17055
18,3,0,0,0.0,18003
18,4,7,7,100.0,18004
18,5,0,0,0.0,18005
18,6,1,1,100.0,18006
18,7,7,7,100.0,18007
18,8,5,5,100.0,18008
18,9,1,1,100.0,18009
18,10,7,7,100.0,18010
18,12,5,5,100.0,18012
18,13,8,8,100.0,18013
18,14,3,3,100.0,18014
18,15,0,0,0.0,18015
18,16,9,9,100.0,18016
18,18,2,2,100.0,18018
18,20,2,2,100.0,18020
18,22,7,7,100.0,18022
18,26,0,0,0.0,18026
18,28,0,0,0.0,18028
18,29,1,1,100.0,18029
18,30,0,0,0.0,18030
18,33,0,0,0.0,18033
18,35,7,7,100.0,18035
18,36,0,0,0.0,18036
18,37,5,5,100.0,18037
18,38,1,1,100.0,18038
18,39,0,0,0.0,18039
18,40,3,3,100.0,18040
18,44,1,1,100.0,18044
18,47,2,2,100.0,18047
18,48,2,2,100.0,18048
18,49,6,6,100.0,18049
18,50,3,3,100.0,18050
18,54,1,1,100.0,18054
18,55,0,0,0.0,18055
18,57,0,0,0.0,18057
18,58,0,0,0.0,18058
18,60,1,1,100.0,18060
18,61,0,0,0.0,18061
21,2,3,3,100.0,21002
21,13,0,0,0.0,21013
21,17,1,1,100.0,21017
21,34,0,0,0.0,21034
21,37,2,2,100.0,21037
21,41,1,1,100.0,21041
21,62,1,1,100.0,21062
21,64,3,3,100.0,21064
21,65,1,1,100.0,21065
21,70,0,0,0.0,21070
