ward,precinct,total,LIONEL O. PITTMAN,LIONEL O. PITTMAN Percent,precinct_id
5,3,0,0,0.0,05003
5,4,3,3,100.0,05004
5,6,4,4,100.0,05006
7,1,3,3,100.0,07001
7,2,0,0,0.0,07002
7,4,1,1,100.0,07004
7,5,1,1,100.0,07005
7,6,4,4,100.0,07006
7,7,0,0,0.0,07007
7,9,3,3,100.0,07009
7,12,1,1,100.0,07012
7,13,1,1,100.0,07013
7,17,2,2,100.0,07017
7,19,1,1,100.0,07019
7,21,2,2,100.0,07021
7,24,0,0,0.0,07024
7,25,3,3,100.0,07025
7,26,2,2,100.0,07026
7,27,3,3,100.0,07027
7,29,0,0,0.0,07029
7,30,0,0,0.0,07030
7,31,6,6,100.0,07031
7,33,1,1,100.0,07033
7,34,0,0,0.0,07034
7,36,0,0,0.0,07036
7,37,1,1,100.0,07037
7,38,4,4,100.0,07038
7,41,0,0,0.0,07041
7,42,3,3,100.0,07042
7,43,0,0,0.0,07043
7,46,1,1,100.0,07046
8,1,2,2,100.0,08001
8,2,1,1,100.0,08002
8,3,1,1,100.0,08003
8,4,0,0,0.0,08004
8,5,1,1,100.0,08005
8,6,0,0,0.0,08006
8,7,2,2,100.0,08007
8,8,2,2,100.0,08008
8,9,0,0,0.0,08009
8,10,1,1,100.0,08010
8,11,0,0,0.0,08011
8,12,4,4,100.0,08012
8,13,0,0,0.0,08013
8,14,3,3,100.0,08014
8,15,2,2,100.0,08015
8,16,2,2,100.0,08016
8,17,0,0,0.0,08017
8,19,0,0,0.0,08019
8,20,0,0,0.0,08020
8,21,3,3,100.0,08021
8,22,0,0,0.0,08022
8,23,4,4,100.0,08023
8,24,0,0,0.0,08024
8,25,3,3,100.0,08025
8,26,0,0,0.0,08026
8,27,3,3,100.0,08027
8,28,1,1,100.0,08028
8,29,0,0,0.0,08029
8,30,4,4,100.0,08030
8,31,0,0,0.0,08031
8,33,0,0,0.0,08033
8,35,5,5,100.0,08035
8,36,2,2,100.0,08036
8,37,1,1,100.0,08037
8,38,1,1,100.0,08038
8,40,4,4,100.0,08040
8,41,1,1,100.0,08041
8,42,4,4,100.0,08042
8,44,1,1,100.0,08044
8,45,0,0,0.0,08045
8,46,2,2,100.0,08046
8,48,0,0,0.0,08048
8,49,0,0,0.0,08049
8,50,1,1,100.0,08050
8,51,2,2,100.0,08051
8,52,1,1,100.0,08052
8,53,3,3,100.0,08053
8,54,4,4,100.0,08054
8,55,2,2,100.0,08055
8,56,0,0,0.0,08056
8,57,1,1,100.0,08057
8,58,0,0,0.0,08058
8,59,0,0,0.0,08059
8,60,4,4,100.0,08060
8,61,1,1,100.0,08061
8,62,4,4,100.0,08062
8,63,0,0,0.0,08063
8,64,1,1,100.0,08064
8,65,2,2,100.0,08065
10,3,0,0,0.0,10003
10,6,0,0,0.0,10006
10,8,10,10,100.0,10008
10,9,17,17,100.0,10009
10,10,1,1,100.0,10010
10,11,19,19,100.0,10011
10,12,19,19,100.0,10012
10,13,0,0,0.0,10013
10,16,0,0,0.0,10016
10,19,29,29,100.0,10019
10,20,29,29,100.0,10020
10,23,3,3,100.0,10023
10,24,21,21,100.0,10024
10,26,17,17,100.0,10026
10,27,19,19,100.0,10027
10,28,2,2,100.0,10028
10,29,6,6,100.0,10029
10,30,9,9,100.0,10030
10,31,15,15,100.0,10031
10,32,25,25,100.0,10032
10,33,13,13,100.0,10033
10,34,7,7,100.0,10034
10,35,19,19,100.0,10035
10,36,5,5,100.0,10036
10,38,24,24,100.0,10038
10,39,16,16,100.0,10039
10,40,0,0,0.0,10040
10,41,39,39,100.0,10041
10,42,15,15,100.0,10042
10,44,6,6,100.0,10044
10,46,10,10,100.0,10046
