ward,precinct,total,ANNE ZICKUS,ANNE ZICKUS Percent,precinct_id
19,1,14,14,100.0,19001
19,2,12,12,100.0,19002
19,3,16,16,100.0,19003
19,4,22,22,100.0,19004
19,5,9,9,100.0,19005
19,6,19,19,100.0,19006
19,7,5,5,100.0,19007
19,8,15,15,100.0,19008
19,10,16,16,100.0,19010
19,11,21,21,100.0,19011
19,12,21,21,100.0,19012
19,14,16,16,100.0,19014
19,15,9,9,100.0,19015
19,16,16,16,100.0,19016
19,17,12,12,100.0,19017
19,18,16,16,100.0,19018
19,19,15,15,100.0,19019
19,21,8,8,100.0,19021
19,22,19,19,100.0,19022
19,23,12,12,100.0,19023
19,24,18,18,100.0,19024
19,25,28,28,100.0,19025
19,26,24,24,100.0,19026
19,29,12,12,100.0,19029
19,30,30,30,100.0,19030
19,32,31,31,100.0,19032
19,33,21,21,100.0,19033
19,34,14,14,100.0,19034
19,35,10,10,100.0,19035
19,36,14,14,100.0,19036
19,37,11,11,100.0,19037
19,38,15,15,100.0,19038
19,39,8,8,100.0,19039
19,41,4,4,100.0,19041
19,42,9,9,100.0,19042
19,44,10,10,100.0,19044
19,45,26,26,100.0,19045
19,46,17,17,100.0,19046
19,47,8,8,100.0,19047
19,51,22,22,100.0,19051
19,52,27,27,100.0,19052
19,53,12,12,100.0,19053
19,54,31,31,100.0,19054
19,55,21,21,100.0,19055
19,57,21,21,100.0,19057
19,58,19,19,100.0,19058
19,59,30,30,100.0,19059
19,61,16,16,100.0,19061
19,62,19,19,100.0,19062
19,65,1,1,100.0,19065
