ward,precinct,total,Judy Rice,Judy Rice Percent,Owens J. Shelby,Owens J. Shelby Percent,Marianne Jackson,Marianne Jackson Percent,precinct_id
4,20,0,0,0.0,0,0.0,0,0.0,04020
11,6,28,12,42.86,2,7.14,14,50.0,11006
11,7,28,14,50.0,3,10.71,11,39.29,11007
22,19,0,0,0.0,0,0.0,0,0.0,22019
22,21,92,38,41.3,18,19.57,36,39.13,22021
24,1,87,45,51.72,14,16.09,28,32.18,24001
24,2,53,23,43.4,10,18.87,20,37.74,24002
24,3,72,33,45.83,15,20.83,24,33.33,24003
24,4,44,22,50.0,7,15.91,15,34.09,24004
24,5,42,21,50.0,3,7.14,18,42.86,24005
24,6,72,26,36.11,12,16.67,34,47.22,24006
24,8,42,14,33.33,4,9.52,24,57.14,24008
24,9,59,33,55.93,5,8.47,21,35.59,24009
24,10,35,18,51.43,4,11.43,13,37.14,24010
24,11,64,21,32.81,12,18.75,31,48.44,24011
24,12,38,10,26.32,2,5.26,26,68.42,24012
24,13,42,20,47.62,7,16.67,15,35.71,24013
24,14,63,25,39.68,6,9.52,32,50.79,24014
24,15,37,15,40.54,11,29.73,11,29.73,24015
24,17,60,29,48.33,9,15.0,22,36.67,24017
24,18,96,39,40.63,25,26.04,32,33.33,24018
24,19,94,53,56.38,7,7.45,34,36.17,24019
24,20,53,22,41.51,8,15.09,23,43.4,24020
24,21,44,16,36.36,10,22.73,18,40.91,24021
24,22,74,35,47.3,10,13.51,29,39.19,24022
24,23,56,21,37.5,11,19.64,24,42.86,24023
24,24,68,31,45.59,9,13.24,28,41.18,24024
24,25,53,15,28.3,12,22.64,26,49.06,24025
24,26,124,54,43.55,15,12.1,55,44.35,24026
24,27,93,46,49.46,17,18.28,30,32.26,24027
24,28,65,27,41.54,14,21.54,24,36.92,24028
24,29,56,25,44.64,10,17.86,21,37.5,24029
24,30,44,22,50.0,4,9.09,18,40.91,24030
24,31,71,33,46.48,14,19.72,24,33.8,24031
24,32,57,35,61.4,7,12.28,15,26.32,24032
24,33,32,12,37.5,5,15.63,15,46.88,24033
24,34,64,32,50.0,11,17.19,21,32.81,24034
24,35,66,17,25.76,13,19.7,36,54.55,24035
24,36,100,47,47.0,16,16.0,37,37.0,24036
24,37,26,14,53.85,4,15.38,8,30.77,24037
24,38,61,23,37.7,8,13.11,30,49.18,24038
24,40,62,33,53.23,12,19.35,17,27.42,24040
24,41,60,20,33.33,11,18.33,29,48.33,24041
25,3,33,13,39.39,4,12.12,16,48.48,25003
25,4,6,3,50.0,0,0.0,3,50.0,25004
25,10,26,9,34.62,3,11.54,14,53.85,25010
25,16,31,13,41.94,3,9.68,15,48.39,25016
25,20,26,7,26.92,3,11.54,16,61.54,25020
25,27,11,3,27.27,1,9.09,7,63.64,25027
25,29,67,25,37.31,12,17.91,30,44.78,25029
25,31,20,9,45.0,3,15.0,8,40.0,25031
26,2,35,15,42.86,6,17.14,14,40.0,26002
26,10,33,16,48.48,4,12.12,13,39.39,26010
26,17,25,14,56.0,4,16.0,7,28.0,26017
26,31,16,11,68.75,2,12.5,3,18.75,26031
26,46,14,10,71.43,1,7.14,3,21.43,26046
27,2,64,32,50.0,9,14.06,23,35.94,27002
27,3,45,19,42.22,13,28.89,13,28.89,27003
27,4,54,20,37.04,12,22.22,22,40.74,27004
27,5,50,24,48.0,5,10.0,21,42.0,27005
27,8,59,23,38.98,12,20.34,24,40.68,27008
27,10,96,46,47.92,18,18.75,32,33.33,27010
27,14,44,10,22.73,7,15.91,27,61.36,27014
27,15,58,20,34.48,14,24.14,24,41.38,27015
27,16,27,14,51.85,2,7.41,11,40.74,27016
27,17,57,28,49.12,8,14.04,21,36.84,27017
27,18,75,36,48.0,12,16.0,27,36.0,27018
27,19,54,25,46.3,13,24.07,16,29.63,27019
27,22,47,22,46.81,8,17.02,17,36.17,27022
27,23,93,59,63.44,14,15.05,20,21.51,27023
27,24,52,25,48.08,16,30.77,11,21.15,27024
27,25,63,15,23.81,14,22.22,34,53.97,27025
27,26,93,38,40.86,15,16.13,40,43.01,27026
27,27,64,37,57.81,11,17.19,16,25.0,27027
27,29,69,36,52.17,6,8.7,27,39.13,27029
27,30,45,21,46.67,8,17.78,16,35.56,27030
27,31,71,30,42.25,13,18.31,28,39.44,27031
27,32,60,19,31.67,12,20.0,29,48.33,27032
27,33,33,19,57.58,5,15.15,9,27.27,27033
27,34,88,57,64.77,12,13.64,19,21.59,27034
27,36,63,28,44.44,10,15.87,25,39.68,27036
27,39,87,47,54.02,14,16.09,26,29.89,27039
27,41,90,27,30.0,14,15.56,49,54.44,27041
27,43,43,15,34.88,9,20.93,19,44.19,27043
27,44,63,25,39.68,17,26.98,21,33.33,27044
27,45,19,11,57.89,1,5.26,7,36.84,27045
27,49,44,23,52.27,6,13.64,15,34.09,27049
27,50,80,29,36.25,30,37.5,21,26.25,27050
28,1,65,26,40.0,10,15.38,29,44.62,28001
28,2,75,31,41.33,13,17.33,31,41.33,28002
28,3,60,34,56.67,8,13.33,18,30.0,28003
28,4,20,10,50.0,3,15.0,7,35.0,28004
28,5,58,33,56.9,7,12.07,18,31.03,28005
28,6,66,37,56.06,6,9.09,23,34.85,28006
28,7,78,52,66.67,8,10.26,18,23.08,28007
28,8,20,11,55.0,1,5.0,8,40.0,28008
28,9,87,41,47.13,13,14.94,33,37.93,28009
28,10,44,27,61.36,8,18.18,9,20.45,28010
28,11,65,37,56.92,9,13.85,19,29.23,28011
28,12,84,26,30.95,8,9.52,50,59.52,28012
28,13,93,64,68.82,9,9.68,20,21.51,28013
28,14,86,44,51.16,18,20.93,24,27.91,28014
28,15,30,15,50.0,7,23.33,8,26.67,28015
28,16,60,30,50.0,8,13.33,22,36.67,28016
28,17,63,27,42.86,9,14.29,27,42.86,28017
28,18,68,28,41.18,16,23.53,24,35.29,28018
28,19,40,22,55.0,6,15.0,12,30.0,28019
28,20,84,47,55.95,9,10.71,28,33.33,28020
28,21,83,42,50.6,10,12.05,31,37.35,28021
28,22,74,34,45.95,15,20.27,25,33.78,28022
28,23,122,75,61.48,14,11.48,33,27.05,28023
28,24,70,36,51.43,14,20.0,20,28.57,28024
28,25,125,72,57.6,11,8.8,42,33.6,28025
28,26,105,62,59.05,16,15.24,27,25.71,28026
28,27,54,34,62.96,0,0.0,20,37.04,28027
28,28,55,29,52.73,5,9.09,21,38.18,28028
28,29,27,16,59.26,6,22.22,5,18.52,28029
28,30,25,9,36.0,3,12.0,13,52.0,28030
28,31,161,72,44.72,23,14.29,66,40.99,28031
28,32,68,31,45.59,7,10.29,30,44.12,28032
28,33,106,62,58.49,11,10.38,33,31.13,28033
28,34,90,56,62.22,7,7.78,27,30.0,28034
28,35,69,30,43.48,13,18.84,26,37.68,28035
28,36,52,31,59.62,10,19.23,11,21.15,28036
28,37,114,65,57.02,12,10.53,37,32.46,28037
28,38,52,24,46.15,7,13.46,21,40.38,28038
28,39,55,29,52.73,5,9.09,21,38.18,28039
28,40,129,62,48.06,21,16.28,46,35.66,28040
28,41,69,38,55.07,8,11.59,23,33.33,28041
28,42,95,57,60.0,13,13.68,25,26.32,28042
28,43,111,55,49.55,16,14.41,40,36.04,28043
28,44,88,49,55.68,11,12.5,28,31.82,28044
28,45,18,11,61.11,1,5.56,6,33.33,28045
28,46,89,46,51.69,8,8.99,35,39.33,28046
29,2,179,62,34.64,40,22.35,77,43.02,29002
29,3,124,45,36.29,34,27.42,45,36.29,29003
29,4,145,44,30.34,34,23.45,67,46.21,29004
29,5,105,36,34.29,26,24.76,43,40.95,29005
29,6,76,27,35.53,19,25.0,30,39.47,29006
29,8,54,24,44.44,5,9.26,25,46.3,29008
29,11,64,22,34.38,9,14.06,33,51.56,29011
29,13,91,37,40.66,23,25.27,31,34.07,29013
29,14,138,52,37.68,25,18.12,61,44.2,29014
29,16,149,31,20.81,28,18.79,90,60.4,29016
29,18,93,26,27.96,8,8.6,59,63.44,29018
