ward,precinct,total,Gina A. Crumble,Gina A. Crumble Percent,Joanne F. Rosado,Joanne F. Rosado Percent,Scott Michael Kozicki,Scott Michael Kozicki Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,precinct_id
29,1,109,21,19.27,17,15.6,25,22.94,46,42.2,29001
29,7,97,31,31.96,12,12.37,9,9.28,45,46.39,29007
29,9,125,22,17.6,24,19.2,25,20.0,54,43.2,29009
29,10,124,24,19.35,32,25.81,13,10.48,55,44.35,29010
29,12,123,40,32.52,22,17.89,14,11.38,47,38.21,29012
29,15,144,51,35.42,17,11.81,15,10.42,61,42.36,29015
29,17,94,16,17.02,6,6.38,4,4.26,68,72.34,29017
29,23,75,14,18.67,24,32.0,15,20.0,22,29.33,29023
29,24,97,27,27.84,19,19.59,15,15.46,36,37.11,29024
29,29,62,7,11.29,19,30.65,18,29.03,18,29.03,29029
29,30,156,40,25.64,26,16.67,20,12.82,70,44.87,29030
29,31,38,5,13.16,6,15.79,17,44.74,10,26.32,29031
29,32,59,4,6.78,11,18.64,33,55.93,11,18.64,29032
29,36,107,33,30.84,14,13.08,8,7.48,52,48.6,29036
29,38,57,7,12.28,21,36.84,11,19.3,18,31.58,29038
29,39,58,6,10.34,17,29.31,17,29.31,18,31.03,29039
29,43,102,27,26.47,20,19.61,9,8.82,46,45.1,29043
30,1,116,17,14.66,34,29.31,33,28.45,32,27.59,30001
30,2,78,13,16.67,24,30.77,22,28.21,19,24.36,30002
30,3,25,0,0.0,10,40.0,10,40.0,5,20.0,30003
30,4,98,9,9.18,30,30.61,29,29.59,30,30.61,30004
30,5,37,4,10.81,14,37.84,9,24.32,10,27.03,30005
30,6,49,5,10.2,14,28.57,15,30.61,15,30.61,30006
30,7,98,14,14.29,41,41.84,16,16.33,27,27.55,30007
30,8,78,13,16.67,30,38.46,16,20.51,19,24.36,30008
30,9,72,12,16.67,20,27.78,25,34.72,15,20.83,30009
30,10,68,9,13.24,35,51.47,13,19.12,11,16.18,30010
30,11,50,10,20.0,19,38.0,11,22.0,10,20.0,30011
30,12,49,7,14.29,17,34.69,19,38.78,6,12.24,30012
30,13,56,8,14.29,19,33.93,21,37.5,8,14.29,30013
30,16,20,2,10.0,7,35.0,4,20.0,7,35.0,30016
30,17,113,17,15.04,33,29.2,31,27.43,32,28.32,30017
30,18,78,13,16.67,38,48.72,15,19.23,12,15.38,30018
30,20,89,19,21.35,20,22.47,25,28.09,25,28.09,30020
30,21,49,10,20.41,11,22.45,14,28.57,14,28.57,30021
30,22,77,11,14.29,30,38.96,20,25.97,16,20.78,30022
30,23,65,10,15.38,20,30.77,23,35.38,12,18.46,30023
30,24,72,6,8.33,20,27.78,34,47.22,12,16.67,30024
30,25,70,5,7.14,23,32.86,29,41.43,13,18.57,30025
30,26,58,7,12.07,22,37.93,15,25.86,14,24.14,30026
30,27,52,7,13.46,19,36.54,12,23.08,14,26.92,30027
30,28,73,13,17.81,28,38.36,11,15.07,21,28.77,30028
30,29,31,6,19.35,12,38.71,11,35.48,2,6.45,30029
30,30,17,3,17.65,8,47.06,3,17.65,3,17.65,30030
30,31,50,6,12.0,25,50.0,11,22.0,8,16.0,30031
