ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,precinct_id
3,2,49,49,100.0,03002
3,4,144,144,100.0,03004
3,7,162,162,100.0,03007
3,12,19,19,100.0,03012
3,18,61,61,100.0,03018
3,23,22,22,100.0,03023
3,30,116,116,100.0,03030
3,31,4,4,100.0,03031
3,35,59,59,100.0,03035
3,38,205,205,100.0,03038
3,41,121,121,100.0,03041
4,1,116,116,100.0,04001
4,3,128,128,100.0,04003
4,4,50,50,100.0,04004
4,8,186,186,100.0,04008
4,9,266,266,100.0,04009
4,11,45,45,100.0,04011
4,12,156,156,100.0,04012
4,14,127,127,100.0,04014
4,15,147,147,100.0,04015
4,18,163,163,100.0,04018
4,19,163,163,100.0,04019
4,22,107,107,100.0,04022
4,23,114,114,100.0,04023
4,24,128,128,100.0,04024
4,26,164,164,100.0,04026
4,27,99,99,100.0,04027
4,28,169,169,100.0,04028
4,29,77,77,100.0,04029
4,30,131,131,100.0,04030
4,31,240,240,100.0,04031
4,32,137,137,100.0,04032
4,33,168,168,100.0,04033
4,36,72,72,100.0,04036
4,38,204,204,100.0,04038
5,2,89,89,100.0,05002
5,3,78,78,100.0,05003
5,4,117,117,100.0,05004
5,5,155,155,100.0,05005
5,7,116,116,100.0,05007
5,8,83,83,100.0,05008
5,9,117,117,100.0,05009
5,10,38,38,100.0,05010
5,11,38,38,100.0,05011
5,12,68,68,100.0,05012
5,13,120,120,100.0,05013
5,15,138,138,100.0,05015
5,16,115,115,100.0,05016
5,17,120,120,100.0,05017
5,18,88,88,100.0,05018
5,19,81,81,100.0,05019
5,20,126,126,100.0,05020
5,21,102,102,100.0,05021
5,22,98,98,100.0,05022
5,24,97,97,100.0,05024
5,25,31,31,100.0,05025
5,27,46,46,100.0,05027
5,30,84,84,100.0,05030
5,33,141,141,100.0,05033
5,34,56,56,100.0,05034
5,35,59,59,100.0,05035
5,39,64,64,100.0,05039
6,1,165,165,100.0,06001
6,2,127,127,100.0,06002
6,3,154,154,100.0,06003
6,4,81,81,100.0,06004
6,5,92,92,100.0,06005
6,6,135,135,100.0,06006
6,7,103,103,100.0,06007
6,8,155,155,100.0,06008
6,9,96,96,100.0,06009
6,10,69,69,100.0,06010
6,11,97,97,100.0,06011
6,12,71,71,100.0,06012
6,13,107,107,100.0,06013
6,14,107,107,100.0,06014
6,15,83,83,100.0,06015
6,16,157,157,100.0,06016
6,17,90,90,100.0,06017
6,18,114,114,100.0,06018
6,19,113,113,100.0,06019
6,20,79,79,100.0,06020
6,21,4,4,100.0,06021
6,22,62,62,100.0,06022
6,23,69,69,100.0,06023
6,24,52,52,100.0,06024
6,25,62,62,100.0,06025
6,26,68,68,100.0,06026
6,27,59,59,100.0,06027
6,28,54,54,100.0,06028
6,29,162,162,100.0,06029
6,30,84,84,100.0,06030
6,31,138,138,100.0,06031
6,32,103,103,100.0,06032
6,33,122,122,100.0,06033
6,34,121,121,100.0,06034
6,35,106,106,100.0,06035
6,36,145,145,100.0,06036
6,37,168,168,100.0,06037
6,38,154,154,100.0,06038
6,39,94,94,100.0,06039
6,40,111,111,100.0,06040
6,41,137,137,100.0,06041
6,42,111,111,100.0,06042
6,43,111,111,100.0,06043
6,44,105,105,100.0,06044
6,45,142,142,100.0,06045
6,46,93,93,100.0,06046
6,47,100,100,100.0,06047
6,48,112,112,100.0,06048
7,1,84,84,100.0,07001
8,1,73,73,100.0,08001
8,2,89,89,100.0,08002
8,3,213,213,100.0,08003
8,4,54,54,100.0,08004
8,5,193,193,100.0,08005
8,6,129,129,100.0,08006
8,8,184,184,100.0,08008
8,10,207,207,100.0,08010
8,11,140,140,100.0,08011
8,12,115,115,100.0,08012
8,13,105,105,100.0,08013
8,14,61,61,100.0,08014
8,15,81,81,100.0,08015
8,16,29,29,100.0,08016
8,18,96,96,100.0,08018
8,19,179,179,100.0,08019
8,20,132,132,100.0,08020
8,21,140,140,100.0,08021
8,22,115,115,100.0,08022
8,23,97,97,100.0,08023
8,24,83,83,100.0,08024
8,25,111,111,100.0,08025
8,26,110,110,100.0,08026
8,27,127,127,100.0,08027
8,29,151,151,100.0,08029
8,30,117,117,100.0,08030
8,31,106,106,100.0,08031
8,33,125,125,100.0,08033
8,34,112,112,100.0,08034
8,35,148,148,100.0,08035
8,37,124,124,100.0,08037
8,38,72,72,100.0,08038
8,40,80,80,100.0,08040
8,41,103,103,100.0,08041
8,43,58,58,100.0,08043
8,44,72,72,100.0,08044
8,45,78,78,100.0,08045
8,47,113,113,100.0,08047
8,48,100,100,100.0,08048
8,49,120,120,100.0,08049
8,50,89,89,100.0,08050
8,51,154,154,100.0,08051
8,52,184,184,100.0,08052
8,54,74,74,100.0,08054
8,55,90,90,100.0,08055
8,56,153,153,100.0,08056
9,12,131,131,100.0,09012
9,23,134,134,100.0,09023
9,24,121,121,100.0,09024
9,25,101,101,100.0,09025
9,36,87,87,100.0,09036
9,42,152,152,100.0,09042
9,47,156,156,100.0,09047
9,48,129,129,100.0,09048
9,49,125,125,100.0,09049
9,50,176,176,100.0,09050
9,51,134,134,100.0,09051
13,19,86,86,100.0,13019
13,41,15,15,100.0,13041
16,6,0,0,0.0,16006
16,9,85,85,100.0,16009
16,27,41,41,100.0,16027
16,28,89,89,100.0,16028
16,30,65,65,100.0,16030
16,31,15,15,100.0,16031
16,34,12,12,100.0,16034
17,1,47,47,100.0,17001
17,2,73,73,100.0,17002
17,3,62,62,100.0,17003
17,4,99,99,100.0,17004
17,5,87,87,100.0,17005
17,6,24,24,100.0,17006
17,8,85,85,100.0,17008
17,9,82,82,100.0,17009
17,10,94,94,100.0,17010
17,11,89,89,100.0,17011
17,12,6,6,100.0,17012
17,15,90,90,100.0,17015
17,16,53,53,100.0,17016
17,17,57,57,100.0,17017
17,18,107,107,100.0,17018
17,20,128,128,100.0,17020
17,21,135,135,100.0,17021
17,22,100,100,100.0,17022
17,23,75,75,100.0,17023
17,24,128,128,100.0,17024
17,25,63,63,100.0,17025
17,26,94,94,100.0,17026
17,27,87,87,100.0,17027
17,28,59,59,100.0,17028
17,29,101,101,100.0,17029
17,30,26,26,100.0,17030
17,32,62,62,100.0,17032
17,33,28,28,100.0,17033
17,34,62,62,100.0,17034
17,35,33,33,100.0,17035
17,36,91,91,100.0,17036
17,37,77,77,100.0,17037
17,38,101,101,100.0,17038
17,39,101,101,100.0,17039
17,40,107,107,100.0,17040
17,41,94,94,100.0,17041
18,1,59,59,100.0,18001
18,2,37,37,100.0,18002
18,3,48,48,100.0,18003
18,4,107,107,100.0,18004
18,5,69,69,100.0,18005
18,6,48,48,100.0,18006
18,7,65,65,100.0,18007
18,8,121,121,100.0,18008
18,9,124,124,100.0,18009
18,10,154,154,100.0,18010
18,11,54,54,100.0,18011
18,12,98,98,100.0,18012
18,13,81,81,100.0,18013
18,14,91,91,100.0,18014
18,15,4,4,100.0,18015
18,16,78,78,100.0,18016
18,17,63,63,100.0,18017
18,18,164,164,100.0,18018
18,19,120,120,100.0,18019
18,20,88,88,100.0,18020
18,21,129,129,100.0,18021
18,22,143,143,100.0,18022
18,23,79,79,100.0,18023
18,26,128,128,100.0,18026
18,27,51,51,100.0,18027
18,28,39,39,100.0,18028
18,29,70,70,100.0,18029
18,31,68,68,100.0,18031
18,32,124,124,100.0,18032
18,33,84,84,100.0,18033
18,34,184,184,100.0,18034
