ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,Jhatayn ''Jay'' Travis,Jhatayn ''Jay'' Travis Percent,precinct_id
2,2,61,47,77.05,14,22.95,02002
2,10,75,54,72.0,21,28.0,02010
2,11,77,64,83.12,13,16.88,02011
2,13,100,75,75.0,25,25.0,02013
2,18,75,52,69.33,23,30.67,02018
2,19,82,75,91.46,7,8.54,02019
2,23,59,50,84.75,9,15.25,02023
2,27,32,25,78.13,7,21.88,02027
2,29,47,37,78.72,10,21.28,02029
2,34,68,63,92.65,5,7.35,02034
2,42,27,19,70.37,8,29.63,02042
3,2,42,27,64.29,15,35.71,03002
3,4,159,62,38.99,97,61.01,03004
3,11,59,23,38.98,36,61.02,03011
3,12,53,15,28.3,38,71.7,03012
3,19,77,43,55.84,34,44.16,03019
3,21,31,19,61.29,12,38.71,03021
3,27,8,7,87.5,1,12.5,03027
3,30,132,37,28.03,95,71.97,03030
3,31,104,43,41.35,61,58.65,03031
4,3,129,59,45.74,70,54.26,04003
4,4,162,53,32.72,109,67.28,04004
4,6,59,37,62.71,22,37.29,04006
4,7,206,71,34.47,135,65.53,04007
4,8,210,93,44.29,117,55.71,04008
4,11,97,44,45.36,53,54.64,04011
4,12,167,81,48.5,86,51.5,04012
4,15,35,18,51.43,17,48.57,04015
4,18,161,75,46.58,86,53.42,04018
4,19,164,89,54.27,75,45.73,04019
4,23,7,5,71.43,2,28.57,04023
4,24,145,74,51.03,71,48.97,04024
4,26,169,86,50.89,83,49.11,04026
4,28,187,82,43.85,105,56.15,04028
4,29,111,34,30.63,77,69.37,04029
4,30,133,69,51.88,64,48.12,04030
4,32,140,74,52.86,66,47.14,04032
4,33,184,88,47.83,96,52.17,04033
4,34,30,17,56.67,13,43.33,04034
4,35,237,102,43.04,135,56.96,04035
4,36,103,43,41.75,60,58.25,04036
4,38,162,82,50.62,80,49.38,04038
5,4,132,58,43.94,74,56.06,05004
5,5,155,93,60.0,62,40.0,05005
5,6,105,41,39.05,64,60.95,05006
5,10,85,37,43.53,48,56.47,05010
5,13,121,45,37.19,76,62.81,05013
5,14,12,7,58.33,5,41.67,05014
5,15,147,81,55.1,66,44.9,05015
5,16,116,50,43.1,66,56.9,05016
5,17,67,30,44.78,37,55.22,05017
5,21,54,22,40.74,32,59.26,05021
5,28,56,23,41.07,33,58.93,05028
5,30,55,17,30.91,38,69.09,05030
5,36,114,62,54.39,52,45.61,05036
7,1,100,46,46.0,54,54.0,07001
7,2,97,51,52.58,46,47.42,07002
7,3,137,57,41.61,80,58.39,07003
7,4,139,49,35.25,90,64.75,07004
7,10,145,58,40.0,87,60.0,07010
7,11,10,7,70.0,3,30.0,07011
7,15,155,68,43.87,87,56.13,07015
7,16,10,7,70.0,3,30.0,07016
7,17,14,10,71.43,4,28.57,07017
7,19,114,58,50.88,56,49.12,07019
7,20,74,43,58.11,31,41.89,07020
7,21,7,4,57.14,3,42.86,07021
7,23,160,71,44.38,89,55.63,07023
7,24,134,62,46.27,72,53.73,07024
7,25,72,43,59.72,29,40.28,07025
7,28,57,39,68.42,18,31.58,07028
7,30,60,36,60.0,24,40.0,07030
7,31,48,28,58.33,20,41.67,07031
7,33,8,4,50.0,4,50.0,07033
8,1,7,4,57.14,3,42.86,08001
8,2,69,38,55.07,31,44.93,08002
8,21,1,1,100.0,0,0.0,08021
8,42,162,83,51.23,79,48.77,08042
10,18,44,16,36.36,28,63.64,10018
10,27,67,27,40.3,40,59.7,10027
10,34,17,3,17.65,14,82.35,10034
10,36,6,2,33.33,4,66.67,10036
20,3,0,0,0.0,0,0.0,20003
20,5,68,23,33.82,45,66.18,20005
20,9,117,50,42.74,67,57.26,20009
20,16,123,48,39.02,75,60.98,20016
20,22,136,58,42.65,78,57.35,20022
20,24,42,23,54.76,19,45.24,20024
42,1,92,78,84.78,14,15.22,42001
42,2,40,31,77.5,9,22.5,42002
42,4,64,46,71.88,18,28.13,42004
42,6,155,116,74.84,39,25.16,42006
42,7,68,51,75.0,17,25.0,42007
42,8,79,67,84.81,12,15.19,42008
42,11,71,50,70.42,21,29.58,42011
42,13,133,101,75.94,32,24.06,42013
42,19,13,10,76.92,3,23.08,42019
42,24,54,44,81.48,10,18.52,42024
42,26,54,38,70.37,16,29.63,42026
42,28,107,74,69.16,33,30.84,42028
42,29,34,23,67.65,11,32.35,42029
42,30,81,73,90.12,8,9.88,42030
42,31,45,35,77.78,10,22.22,42031
42,34,55,46,83.64,9,16.36,42034
42,35,100,82,82.0,18,18.0,42035
42,40,20,18,90.0,2,10.0,42040
43,35,92,70,76.09,22,23.91,43035
