ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,6,6,100.0,17018
18,9,27,27,100.0,18009
18,19,2,2,100.0,18019
18,26,8,8,100.0,18026
18,32,87,87,100.0,18032
18,34,161,161,100.0,18034
19,3,63,63,100.0,19003
19,5,153,153,100.0,19005
19,9,83,83,100.0,19009
19,12,88,88,100.0,19012
19,16,15,15,100.0,19016
19,18,29,29,100.0,19018
19,24,53,53,100.0,19024
19,30,2,2,100.0,19030
19,33,30,30,100.0,19033
19,55,59,59,100.0,19055
19,56,100,100,100.0,19056
21,7,111,111,100.0,21007
21,9,120,120,100.0,21009
21,13,64,64,100.0,21013
21,15,22,22,100.0,21015
21,26,1,1,100.0,21026
21,29,51,51,100.0,21029
