ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,62,37,59.68,25,40.32,01002
1,7,105,31,29.52,74,70.48,01007
1,9,157,72,45.86,85,54.14,01009
1,13,62,20,32.26,42,67.74,01013
1,16,103,29,28.16,74,71.84,01016
1,17,57,33,57.89,24,42.11,01017
1,19,198,55,27.78,143,72.22,01019
1,23,173,45,26.01,128,73.99,01023
1,34,104,29,27.88,75,72.12,01034
1,41,97,19,19.59,78,80.41,01041
1,42,32,17,53.13,15,46.88,01042
1,43,107,27,25.23,80,74.77,01043
26,7,67,29,43.28,38,56.72,26007
26,34,103,54,52.43,49,47.57,26034
26,37,3,2,66.67,1,33.33,26037
30,1,147,74,50.34,73,49.66,30001
30,4,115,59,51.3,56,48.7,30004
30,7,113,39,34.51,74,65.49,30007
30,9,79,54,68.35,25,31.65,30009
30,17,135,58,42.96,77,57.04,30017
30,18,57,29,50.88,28,49.12,30018
30,19,20,11,55.0,9,45.0,30019
30,20,136,47,34.56,89,65.44,30020
30,23,76,38,50.0,38,50.0,30023
30,24,25,9,36.0,16,64.0,30024
30,25,46,26,56.52,20,43.48,30025
30,26,72,26,36.11,46,63.89,30026
30,27,65,35,53.85,30,46.15,30027
30,31,58,27,46.55,31,53.45,30031
31,1,83,41,49.4,42,50.6,31001
31,2,77,38,49.35,39,50.65,31002
31,5,104,53,50.96,51,49.04,31005
31,6,96,63,65.63,33,34.38,31006
31,7,92,40,43.48,52,56.52,31007
31,8,62,30,48.39,32,51.61,31008
31,9,97,60,61.86,37,38.14,31009
31,10,65,31,47.69,34,52.31,31010
31,11,81,34,41.98,47,58.02,31011
31,12,68,19,27.94,49,72.06,31012
31,13,79,47,59.49,32,40.51,31013
31,14,63,35,55.56,28,44.44,31014
31,17,95,45,47.37,50,52.63,31017
31,18,88,44,50.0,44,50.0,31018
31,20,102,69,67.65,33,32.35,31020
31,21,73,46,63.01,27,36.99,31021
31,23,77,41,53.25,36,46.75,31023
31,24,124,85,68.55,39,31.45,31024
31,26,102,42,41.18,60,58.82,31026
31,27,103,71,68.93,32,31.07,31027
31,28,60,29,48.33,31,51.67,31028
31,29,109,67,61.47,42,38.53,31029
31,30,71,42,59.15,29,40.85,31030
31,32,67,28,41.79,39,58.21,31032
31,33,79,43,54.43,36,45.57,31033
31,34,80,29,36.25,51,63.75,31034
31,35,99,57,57.58,42,42.42,31035
31,36,89,59,66.29,30,33.71,31036
31,37,108,69,63.89,39,36.11,31037
31,38,67,25,37.31,42,62.69,31038
31,40,63,35,55.56,28,44.44,31040
31,41,72,42,58.33,30,41.67,31041
32,3,87,21,24.14,66,75.86,32003
32,11,156,24,15.38,132,84.62,32011
32,12,137,36,26.28,101,73.72,32012
32,14,138,35,25.36,103,74.64,32014
32,20,159,37,23.27,122,76.73,32020
32,22,176,38,21.59,138,78.41,32022
32,26,120,19,15.83,101,84.17,32026
32,28,82,10,12.2,72,87.8,32028
32,43,8,0,0.0,8,100.0,32043
35,2,15,1,6.67,14,93.33,35002
35,10,171,31,18.13,140,81.87,35010
35,11,89,36,40.45,53,59.55,35011
35,15,131,38,29.01,93,70.99,35015
35,17,123,54,43.9,69,56.1,35017
35,25,124,29,23.39,95,76.61,35025
35,28,139,48,34.53,91,65.47,35028
36,9,0,0,0.0,0,0.0,36009
36,14,121,35,28.93,86,71.07,36014
36,16,141,52,36.88,89,63.12,36016
36,17,173,60,34.68,113,65.32,36017
36,18,101,37,36.63,64,63.37,36018
36,20,132,55,41.67,77,58.33,36020
38,23,160,47,29.38,113,70.63,38023
38,34,124,47,37.9,77,62.1,38034
38,35,128,32,25.0,96,75.0,38035
38,39,51,9,17.65,42,82.35,38039
45,8,127,36,28.35,91,71.65,45008
45,9,151,58,38.41,93,61.59,45009
45,10,148,29,19.59,119,80.41,45010
45,11,119,40,33.61,79,66.39,45011
