ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,142,113,79.58,29,20.42,01001
1,2,268,202,75.37,66,24.63,01002
1,3,167,129,77.25,38,22.75,01003
1,4,138,117,84.78,21,15.22,01004
1,5,165,139,84.24,26,15.76,01005
1,6,118,102,86.44,16,13.56,01006
1,7,170,133,78.24,37,21.76,01007
1,8,89,80,89.89,9,10.11,01008
1,9,164,145,88.41,19,11.59,01009
1,10,213,174,81.69,39,18.31,01010
1,11,134,111,82.84,23,17.16,01011
1,12,194,147,75.77,47,24.23,01012
1,13,45,30,66.67,15,33.33,01013
1,14,94,65,69.15,29,30.85,01014
1,15,112,92,82.14,20,17.86,01015
1,16,100,80,80.0,20,20.0,01016
1,17,160,120,75.0,40,25.0,01017
1,18,91,68,74.73,23,25.27,01018
1,19,91,67,73.63,24,26.37,01019
1,20,76,59,77.63,17,22.37,01020
1,21,239,198,82.85,41,17.15,01021
1,22,98,68,69.39,30,30.61,01022
1,23,203,158,77.83,45,22.17,01023
1,24,123,101,82.11,22,17.89,01024
1,25,221,177,80.09,44,19.91,01025
1,26,267,211,79.03,56,20.97,01026
1,27,105,80,76.19,25,23.81,01027
1,28,17,14,82.35,3,17.65,01028
1,29,188,148,78.72,40,21.28,01029
1,30,97,73,75.26,24,24.74,01030
1,31,40,27,67.5,13,32.5,01031
1,32,76,61,80.26,15,19.74,01032
1,33,142,101,71.13,41,28.87,01033
1,34,36,25,69.44,11,30.56,01034
1,35,24,20,83.33,4,16.67,01035
1,36,125,102,81.6,23,18.4,01036
2,1,245,195,79.59,50,20.41,02001
2,2,199,167,83.92,32,16.08,02002
2,3,116,83,71.55,33,28.45,02003
2,4,36,26,72.22,10,27.78,02004
2,5,75,51,68.0,24,32.0,02005
2,6,70,53,75.71,17,24.29,02006
2,7,170,131,77.06,39,22.94,02007
2,8,174,148,85.06,26,14.94,02008
2,9,31,17,54.84,14,45.16,02009
2,10,78,52,66.67,26,33.33,02010
2,11,268,228,85.07,40,14.93,02011
2,12,96,75,78.13,21,21.88,02012
2,13,193,158,81.87,35,18.13,02013
2,14,173,144,83.24,29,16.76,02014
2,15,49,31,63.27,18,36.73,02015
2,16,83,71,85.54,12,14.46,02016
2,17,135,97,71.85,38,28.15,02017
2,18,172,143,83.14,29,16.86,02018
2,19,51,41,80.39,10,19.61,02019
2,20,134,108,80.6,26,19.4,02020
2,21,125,104,83.2,21,16.8,02021
2,22,328,274,83.54,54,16.46,02022
2,23,105,84,80.0,21,20.0,02023
2,24,98,89,90.82,9,9.18,02024
2,25,64,50,78.13,14,21.88,02025
2,26,75,55,73.33,20,26.67,02026
2,27,10,7,70.0,3,30.0,02027
2,28,146,98,67.12,48,32.88,02028
2,29,67,53,79.1,14,20.9,02029
2,30,63,45,71.43,18,28.57,02030
2,31,151,117,77.48,34,22.52,02031
2,32,67,48,71.64,19,28.36,02032
2,33,209,166,79.43,43,20.57,02033
2,34,74,63,85.14,11,14.86,02034
2,35,76,70,92.11,6,7.89,02035
2,36,63,49,77.78,14,22.22,02036
2,37,221,178,80.54,43,19.46,02037
2,38,142,105,73.94,37,26.06,02038
2,39,163,121,74.23,42,25.77,02039
2,40,199,136,68.34,63,31.66,02040
2,41,35,24,68.57,11,31.43,02041
2,42,60,49,81.67,11,18.33,02042
2,43,263,219,83.27,44,16.73,02043
2,44,129,114,88.37,15,11.63,02044
2,45,53,42,79.25,11,20.75,02045
2,46,230,185,80.43,45,19.57,02046
2,47,109,97,88.99,12,11.01,02047
2,48,205,160,78.05,45,21.95,02048
2,49,114,88,77.19,26,22.81,02049
2,50,95,80,84.21,15,15.79,02050
2,51,94,74,78.72,20,21.28,02051
2,52,254,191,75.2,63,24.8,02052
2,53,66,49,74.24,17,25.76,02053
2,54,233,183,78.54,50,21.46,02054
3,1,146,107,73.29,39,26.71,03001
3,2,107,89,83.18,18,16.82,03002
3,3,61,43,70.49,18,29.51,03003
3,4,56,43,76.79,13,23.21,03004
3,5,82,63,76.83,19,23.17,03005
3,6,39,33,84.62,6,15.38,03006
3,7,24,17,70.83,7,29.17,03007
3,8,58,40,68.97,18,31.03,03008
3,9,83,56,67.47,27,32.53,03009
3,10,121,86,71.07,35,28.93,03010
3,11,74,56,75.68,18,24.32,03011
3,12,95,75,78.95,20,21.05,03012
3,13,25,21,84.0,4,16.0,03013
3,14,31,18,58.06,13,41.94,03014
3,15,66,49,74.24,17,25.76,03015
3,16,150,104,69.33,46,30.67,03016
3,17,79,52,65.82,27,34.18,03017
3,18,65,54,83.08,11,16.92,03018
3,19,70,48,68.57,22,31.43,03019
3,20,34,25,73.53,9,26.47,03020
3,21,57,43,75.44,14,24.56,03021
3,22,69,48,69.57,21,30.43,03022
3,23,68,51,75.0,17,25.0,03023
3,24,77,54,70.13,23,29.87,03024
