ward,precinct,total,CALVIN L. GILES,CALVIN L. GILES Percent,precinct_id
24,7,296,296,100.0,24007
24,16,285,285,100.0,24016
24,19,261,261,100.0,24019
24,29,360,360,100.0,24029
24,32,0,0,0.0,24032
24,41,245,245,100.0,24041
24,46,328,328,100.0,24046
24,48,74,74,100.0,24048
28,1,371,371,100.0,28001
28,4,363,363,100.0,28004
28,8,177,177,100.0,28008
28,12,261,261,100.0,28012
28,19,347,347,100.0,28019
28,21,318,318,100.0,28021
28,27,241,241,100.0,28027
28,33,209,209,100.0,28033
28,40,321,321,100.0,28040
28,42,253,253,100.0,28042
28,44,163,163,100.0,28044
28,45,200,200,100.0,28045
28,47,369,369,100.0,28047
28,51,269,269,100.0,28051
28,58,198,198,100.0,28058
28,60,253,253,100.0,28060
28,61,148,148,100.0,28061
29,3,309,309,100.0,29003
29,4,329,329,100.0,29004
29,5,369,369,100.0,29005
29,8,413,413,100.0,29008
29,12,249,249,100.0,29012
29,13,352,352,100.0,29013
29,14,304,304,100.0,29014
29,15,391,391,100.0,29015
29,22,221,221,100.0,29022
29,28,264,264,100.0,29028
29,29,396,396,100.0,29029
29,31,333,333,100.0,29031
29,34,202,202,100.0,29034
29,35,269,269,100.0,29035
29,37,314,314,100.0,29037
29,38,274,274,100.0,29038
29,40,170,170,100.0,29040
29,41,363,363,100.0,29041
29,43,291,291,100.0,29043
29,44,219,219,100.0,29044
29,45,252,252,100.0,29045
29,46,208,208,100.0,29046
29,50,308,308,100.0,29050
29,51,330,330,100.0,29051
29,55,78,78,100.0,29055
36,16,276,276,100.0,36016
36,22,372,372,100.0,36022
36,24,314,314,100.0,36024
36,33,244,244,100.0,36033
36,44,226,226,100.0,36044
36,45,240,240,100.0,36045
36,54,366,366,100.0,36054
36,55,295,295,100.0,36055
37,1,261,261,100.0,37001
37,4,307,307,100.0,37004
37,5,268,268,100.0,37005
37,7,343,343,100.0,37007
37,9,330,330,100.0,37009
37,15,454,454,100.0,37015
37,18,301,301,100.0,37018
37,20,318,318,100.0,37020
37,21,355,355,100.0,37021
37,22,222,222,100.0,37022
37,23,283,283,100.0,37023
37,25,388,388,100.0,37025
37,26,229,229,100.0,37026
37,27,230,230,100.0,37027
37,29,343,343,100.0,37029
37,32,325,325,100.0,37032
37,33,286,286,100.0,37033
37,36,293,293,100.0,37036
37,37,351,351,100.0,37037
37,45,343,343,100.0,37045
37,46,266,266,100.0,37046
37,48,326,326,100.0,37048
